code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Klasse 0 Aktiva: Anlagevermögen,asset,group,debit,1,,,,,,Klasse 0 Aktiva: Anlagevermögen,
,0100 Konzessionen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0100 Konzessionen,
,0110 Patentrechte und Lizenzen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0110 Patentrechte und Lizenzen,
,0120 Datenverarbeitungsprogramme,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0120 Datenverarbeitungsprogramme,
,"0130 Marken, Warenzeichen und Musterschutzrechte, sonstige Urheberrechte",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0130 Marken, Warenzeichen und Musterschutzrechte, sonstige Urheberrechte",
,0140 Pacht- und Mietrechte,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0140 Pacht- und Mietrechte,
,0150 Bezugs- und ähnliche Rechte,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0150 Bezugs- und ähnliche Rechte,
,0160 Geschäfts-/Firmenwert,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0160 Geschäfts-/Firmenwert,
,0170 Umgründungsmehrwert,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0170 Umgründungsmehrwert,
,0180 Geleistete Anzahlungen auf immaterielle Vermögensgegenstände,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0180 Geleistete Anzahlungen auf immaterielle Vermögensgegenstände,
,0190 Kumulierte Abschreibungen zu immateriellen Vermögensgegenständen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0190 Kumulierte Abschreibungen zu immateriellen Vermögensgegenständen,
,"0200 Unbebaute Grundstücke, soweit nicht landwirtschaftlich genutzt",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0200 Unbebaute Grundstücke, soweit nicht landwirtschaftlich genutzt",
,0210 Bebaute Grundstücke (Grundwert),asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0210 Bebaute Grundstücke (Grundwert),
,0220 Landwirtschaftlich genutzte Grundstücke,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0220 Landwirtschaftlich genutzte Grundstücke,
,0230 Grundstücksgleiche Rechte,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0230 Grundstücksgleiche Rechte,
,0300 Betriebs- und Geschäftsgebäude auf eigenem Grund,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0300 Betriebs- und Geschäftsgebäude auf eigenem Grund,
,0310 Wohn- und Sozialgebäude auf eigenem Grund,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0310 Wohn- und Sozialgebäude auf eigenem Grund,
,0320 Betriebs- und Geschäftsgebäude auf fremdem Grund,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0320 Betriebs- und Geschäftsgebäude auf fremdem Grund,
,0330 Wohn- und Sozialgebäude auf fremdem Grund,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0330 Wohn- und Sozialgebäude auf fremdem Grund,
,0340 Grundstückseinrichtungen auf eigenem Grund,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0340 Grundstückseinrichtungen auf eigenem Grund,
,0350 Grundstückseinrichtungen auf fremdem Grund,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0350 Grundstückseinrichtungen auf fremdem Grund,
,0360 Bauliche Investitionen in fremden (gepachteten) Betriebs- und Geschäftsgebäuden,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0360 Bauliche Investitionen in fremden (gepachteten) Betriebs- und Geschäftsgebäuden,
,0370 Bauliche Investitionen in fremden (gepachteten) Wohn- und Sozialgebäuden,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0370 Bauliche Investitionen in fremden (gepachteten) Wohn- und Sozialgebäuden,
,0390 Kumulierte Abschreibungen zu Grundstücken,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0390 Kumulierte Abschreibungen zu Grundstücken,
,0400 Maschinen und Geräte,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0400 Maschinen und Geräte,
,0500 Maschinenwerkzeuge,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0500 Maschinenwerkzeuge,
,0510 Allgemeine Werkzeuge und Handwerkzeuge,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0510 Allgemeine Werkzeuge und Handwerkzeuge,
,"0520 Prototypen, Formen, Modelle",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0520 Prototypen, Formen, Modelle",
,0530 Andere Erzeugungshilfsmittel (auch Softwarewerkzeuge),asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0530 Andere Erzeugungshilfsmittel (auch Softwarewerkzeuge),
,0540 Hebezeuge und Montageanlagen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0540 Hebezeuge und Montageanlagen,
,"0550 Geringwertige Vermögensgegenstände, soweit im Erzeugungsprozess",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0550 Geringwertige Vermögensgegenstände, soweit im Erzeugungsprozess",
,0560 Festwerte technische Anlagen und Maschinen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0560 Festwerte technische Anlagen und Maschinen,
,0590 Kumulierte Abschreibungen zu technischen Anlagen und Maschinen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0590 Kumulierte Abschreibungen zu technischen Anlagen und Maschinen,
,"0600 Betriebs- und Geschäftsausstattung, soweit nicht gesondert angeführt",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0600 Betriebs- und Geschäftsausstattung, soweit nicht gesondert angeführt",
,"0610 Andere Anlagen, soweit nicht gesondert angeführt",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0610 Andere Anlagen, soweit nicht gesondert angeführt",
,"0620 Büromaschinen, EDV-Anlagen",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0620 Büromaschinen, EDV-Anlagen",
,0630 PKW und Kombis,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0630 PKW und Kombis,
,0640 LKW,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0640 LKW,
,0650 Andere Beförderungsmittel,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0650 Andere Beförderungsmittel,
,0660 Gebinde,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0660 Gebinde,
,"0670 Geringwertige Vermögensgegenstände, soweit nicht im Erzeugungssprozess verwendet",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0670 Geringwertige Vermögensgegenstände, soweit nicht im Erzeugungssprozess verwendet",
,0680 Festwerte außer technische Anlagen und Maschinen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0680 Festwerte außer technische Anlagen und Maschinen,
,"0690 Kumulierte Abschreibungen zu anderen Anlagen, Betriebs- und Geschäftsausstattung",asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,"Klasse 0 Aktiva: Anlagevermögen / 0690 Kumulierte Abschreibungen zu anderen Anlagen, Betriebs- und Geschäftsausstattung",
,0700 Geleistete Anzahlungen auf Sachanlagen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0700 Geleistete Anzahlungen auf Sachanlagen,
,0710 Anlagen in Bau,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0710 Anlagen in Bau,
,0790 Kumulierte Abschreibungen zu geleisteten Anzahlungen auf Sachanlagen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0790 Kumulierte Abschreibungen zu geleisteten Anzahlungen auf Sachanlagen,
,0800 Anteile an verbundenen Unternehmen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0800 Anteile an verbundenen Unternehmen,
,0810 Beteiligungen an Gemeinschaftsunternehmen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0810 Beteiligungen an Gemeinschaftsunternehmen,
,0820 Beteiligungen an angeschlossenen (assoziierten) Unternehmen,asset,fixed_asset,debit,0,,Klasse 0 Aktiva: Anlagevermögen,Fixed Asset,,,Klasse 0 Aktiva: Anlagevermögen / 0820 Beteiligungen an angeschlossenen (assoziierten) Unternehmen,
