code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Actif,asset,group,debit,1,,,,,,Actif,
,Actifs circulants,asset,group,debit,1,,Actif,,,,Actif / Actifs circulants,
,Actifs de régularisation,asset,group,debit,1,,Actif / Actifs circulants,,,,Actif / Actifs circulants / Actifs de régularisation,
,Actifs de régularisation (Actifs transitoires),asset,group,debit,1,,Actif / Actifs circulants / Actifs de régularisation,,,,Actif / Actifs circulants / Actifs de régularisation / Actifs de régularisation (Actifs transitoires),
,Charges constatées d'avance,asset,unspecified,debit,0,,Actif / Actifs circulants / Actifs de régularisation / Actifs de régularisation (Actifs transitoires),,,,Actif / Actifs circulants / Actifs de régularisation / Actifs de régularisation (Actifs transitoires) / Charges constatées d'avance,
,Produits à recevoir,asset,unspecified,debit,0,,Actif / Actifs circulants / Actifs de régularisation / Actifs de régularisation (Actifs transitoires),,,,Actif / Actifs circulants / Actifs de régularisation / Actifs de régularisation (Actifs transitoires) / Produits à recevoir,
,Créances,asset,group,debit,1,,Actif / Actifs circulants,,,,Actif / Actifs circulants / Créances,
,Autres créances à court terme,asset,group,debit,1,,Actif / Actifs circulants / Créances,,,,Actif / Actifs circulants / Créances / Autres créances à court terme,
,Autres créances à court terme,asset,group,debit,1,,Actif / Actifs circulants / Créances / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme,
,Acomptes aux fournisseurs,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme / Acomptes aux fournisseurs,
,Cautionnements en espèces,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme / Cautionnements en espèces,
,Compte courant de primes,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme / Compte courant de primes,
,Créances envers des sociétés de virement,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme / Créances envers des sociétés de virement,
,"Effets à recevoir, pas de remise à l'escompte",asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme,,,,"Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme / Effets à recevoir, pas de remise à l'escompte",
,Provisions pertes s/autres créances à court terme,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme / Provisions pertes s/autres créances à court terme,
,Autres créances à court terme envers actionnaires,asset,group,debit,1,,Actif / Actifs circulants / Créances / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers actionnaires,
,Créances d'emprunt envers l'actionnaire X,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers actionnaires,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers actionnaires / Créances d'emprunt envers l'actionnaire X,
,Créances d'emprunt envers l'actionnaire Y,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers actionnaires,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers actionnaires / Créances d'emprunt envers l'actionnaire Y,
,Provisions pertes s/autres créances actionnaires,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers actionnaires,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers actionnaires / Provisions pertes s/autres créances actionnaires,
,Autres créances à court terme envers des sociétés du groupe,asset,group,debit,1,,Actif / Actifs circulants / Créances / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des sociétés du groupe,
,Créances d'emprunt envers la filiale A,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des sociétés du groupe,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des sociétés du groupe / Créances d'emprunt envers la filiale A,
,Créances d'emprunt envers la filiale B,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des sociétés du groupe,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des sociétés du groupe / Créances d'emprunt envers la filiale B,
,Provisions pertes s/autres créances envers société,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des sociétés du groupe,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des sociétés du groupe / Provisions pertes s/autres créances envers société,
,Autres créances à court terme envers des tiers,asset,group,debit,1,,Actif / Actifs circulants / Créances / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers,
,Avances de frais,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers / Avances de frais,
,Avances à court terme,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers / Avances à court terme,
,Créances d'emprunt à court terme,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers / Créances d'emprunt à court terme,
,Provisions pertes s/autres créances envers tiers,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Autres créances à court terme envers des tiers / Provisions pertes s/autres créances envers tiers,
,Capital-actions non libéré,asset,group,debit,1,,Actif / Actifs circulants / Créances / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Capital-actions non libéré,
,"Capital-actions non libéré, réclamé",asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Capital-actions non libéré,,,,"Actif / Actifs circulants / Créances / Autres créances à court terme / Capital-actions non libéré / Capital-actions non libéré, réclamé",
,Créances envers des institutions publiques,asset,group,debit,1,,Actif / Actifs circulants / Créances / Autres créances à court terme,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques,
,Créances envers l'administration des douanes,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques / Créances envers l'administration des douanes,
,Créances envers la CNA,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques / Créances envers la CNA,
,Impôt anticipé à récupérer,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques / Impôt anticipé à récupérer,
,TVA: déductible s/achats de matières et services,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques / TVA: déductible s/achats de matières et services,
,TVA: déductible s/investissement et autres charges,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques,,,,Actif / Actifs circulants / Créances / Autres créances à court terme / Créances envers des institutions publiques / TVA: déductible s/investissement et autres charges,
,Créances résultant de vente et de prestations de services (débiteurs-clients),asset,group,debit,1,,Actif / Actifs circulants / Créances,,,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients),
,Créances résultant prestations envers actionnaires,asset,group,debit,1,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients),,,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers actionnaires,
,Créances envers l'actionnaire X,asset,receivable,debit,0,receivables,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers actionnaires,Receivable,,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers actionnaires / Créances envers l'actionnaire X,
,Créances envers l'actionnaire Y,asset,receivable,debit,0,receivables,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers actionnaires,Receivable,,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers actionnaires / Créances envers l'actionnaire Y,
,Provisions pertes s/créances envers actionnaires,asset,unspecified,debit,0,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers actionnaires,,,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers actionnaires / Provisions pertes s/créances envers actionnaires,
,Créances résultant prestations envers des sociétés du groupe,asset,group,debit,1,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients),,,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers des sociétés du groupe,
,Créances envers la filiale A,asset,receivable,debit,0,receivables,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers des sociétés du groupe,Receivable,,,Actif / Actifs circulants / Créances / Créances résultant de vente et de prestations de services (débiteurs-clients) / Créances résultant prestations envers des sociétés du groupe / Créances envers la filiale A,
