code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Cuentas de Movimiento,,group,,1,,,,,,Cuentas de Movimiento,missing_root_type
,Compras,,group,,1,,Cuentas de Movimiento,,,,Cuentas de Movimiento / Compras,missing_root_type
,Compras - Categoria de productos 01,,unspecified,,0,,Cuentas de Movimiento / Compras,,,,Cuentas de Movimiento / Compras / Compras - Categoria de productos 01,missing_root_type
,Costos de Producción,,unspecified,,0,,Cuentas de Movimiento,,,,Cuentas de Movimiento / Costos de Producción,missing_root_type
,Gastos de Administración,,unspecified,,0,,Cuentas de Movimiento,,,,Cuentas de Movimiento / Gastos de Administración,missing_root_type
,Gastos de Comercialización,,unspecified,,0,,Cuentas de Movimiento,,,,Cuentas de Movimiento / Gastos de Comercialización,missing_root_type
,Cuentas de Orden,,group,,1,,,,,,Cuentas de Orden,missing_root_type
,CUENTAS DE ORDEN ACREEDORAS,,group,,1,,Cuentas de Orden,,,,Cuentas de Orden / CUENTAS DE ORDEN ACREEDORAS,missing_root_type
,Acreedor por Documentos Descontados,,unspecified,,0,,Cuentas de Orden / CUENTAS DE ORDEN ACREEDORAS,,,,Cuentas de Orden / CUENTAS DE ORDEN ACREEDORAS / Acreedor por Documentos Descontados,missing_root_type
,Acreedor por Garantías Otorgadas,,unspecified,,0,,Cuentas de Orden / CUENTAS DE ORDEN ACREEDORAS,,,,Cuentas de Orden / CUENTAS DE ORDEN ACREEDORAS / Acreedor por Garantías Otorgadas,missing_root_type
,Comitente por Mercaderias Recibidas en Consignación,,unspecified,,0,,Cuentas de Orden / CUENTAS DE ORDEN ACREEDORAS,,,,Cuentas de Orden / CUENTAS DE ORDEN ACREEDORAS / Comitente por Mercaderias Recibidas en Consignación,missing_root_type
,CUENTAS DE ORDEN DEUDORAS,,group,,1,,Cuentas de Orden,,,,Cuentas de Orden / CUENTAS DE ORDEN DEUDORAS,missing_root_type
