code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,主营业务成本,,unspecified,,0,,,,,,主营业务成本,missing_root_type
,主营业务收入,,unspecified,,0,,,,,,主营业务收入,missing_root_type
,交易性金融负债,,unspecified,,0,,,,,,交易性金融负债,missing_root_type
,交易性金融资产,,unspecified,,0,,,,,,交易性金融资产,missing_root_type
,以前年度损益调整,,unspecified,,0,,,,,,以前年度损益调整,missing_root_type
,公允价值变动损益,,unspecified,,0,,,,,,公允价值变动损益,missing_root_type
,其他业务支出,,unspecified,,0,,,,,,其他业务支出,missing_root_type
,其他业务收入,,unspecified,,0,,,,,,其他业务收入,missing_root_type
,其他应付款,,unspecified,,0,,,,,,其他应付款,missing_root_type
,其他应收款,,unspecified,,0,,,,,,其他应收款,missing_root_type
,其他货币资金,,unspecified,,0,,,,,,其他货币资金,missing_root_type
,利润分配,,unspecified,,0,,,,,,利润分配,missing_root_type
,制造费用,,unspecified,,0,,,,,,制造费用,missing_root_type
,劳务成本,,unspecified,,0,,,,,,劳务成本,missing_root_type
,包装物及低值易耗品,,unspecified,,0,,,,,,包装物及低值易耗品,missing_root_type
,原材料,,unspecified,,0,,,,,,原材料,missing_root_type
,发出商品,,unspecified,,0,,,,,,发出商品,missing_root_type
,商品进销差价,,unspecified,,0,,,,,,商品进销差价,missing_root_type
,商誉,,unspecified,,0,,,,,,商誉,missing_root_type
,固定资产,,unspecified,,0,,,,,,固定资产,missing_root_type
,固定资产减值准备,,unspecified,,0,,,,,,固定资产减值准备,missing_root_type
,固定资产清理,,unspecified,,0,,,,,,固定资产清理,missing_root_type
,在建工程,,unspecified,,0,,,,,,在建工程,missing_root_type
,在途物资,,unspecified,,0,,,,,,在途物资,missing_root_type
,坏账准备,,unspecified,,0,,,,,,坏账准备,missing_root_type
,套期工具,,unspecified,,0,,,,,,套期工具,missing_root_type
,委托加工物资,,unspecified,,0,,,,,,委托加工物资,missing_root_type
,存货跌价准备,,unspecified,,0,,,,,,存货跌价准备,missing_root_type
,实收资本,,unspecified,,0,,,,,,实收资本,missing_root_type
,工程物资,,unspecified,,0,,,,,,工程物资,missing_root_type
,库存商品,,unspecified,,0,,,,,,库存商品,missing_root_type
,库存股,,unspecified,,0,,,,,,库存股,missing_root_type
,应交税费,,group,,1,,,,,,应交税费,missing_root_type
,应交个人所得税,,unspecified,,0,,应交税费,,,,应交税费 / 应交个人所得税,missing_root_type
,应交土地使用税,,unspecified,,0,,应交税费,,,,应交税费 / 应交土地使用税,missing_root_type
,应交土地增值税,,unspecified,,0,,应交税费,,,,应交税费 / 应交土地增值税,missing_root_type
,应交城市维护建设税,,unspecified,,0,,应交税费,,,,应交税费 / 应交城市维护建设税,missing_root_type
,应交增值税,,group,,1,,应交税费,,,,应交税费 / 应交增值税,missing_root_type
,减免税款,,unspecified,,0,,应交税费 / 应交增值税,,,,应交税费 / 应交增值税 / 减免税款,missing_root_type
