code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,0-Activo,asset,group,debit,1,,,,,,0-Activo,
,0-Activo circulante,asset,group,debit,1,,0-Activo,,,,0-Activo / 0-Activo circulante,
,0-Activo circulante disponible,asset,group,debit,1,,0-Activo / 0-Activo circulante,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible,
,0-Bancos,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos,
,0-Cuentas corrientes CRC,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos / 0-Cuentas corrientes CRC,
,0-Cuenta en CRC 1,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos / 0-Cuentas corrientes CRC,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos / 0-Cuentas corrientes CRC / 0-Cuenta en CRC 1,
,0-Cuentas corrientes USD,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos / 0-Cuentas corrientes USD,
,0-Cuenta en USD 1,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos / 0-Cuentas corrientes USD,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Bancos / 0-Cuentas corrientes USD / 0-Cuenta en USD 1,
,0-Fondos de caja,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja,
,0-Fondos de caja CRC,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja / 0-Fondos de caja CRC,
,0-Fondo de caja oficinas centrales CRC,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja / 0-Fondos de caja CRC,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja / 0-Fondos de caja CRC / 0-Fondo de caja oficinas centrales CRC,
,0-Fondos de caja USD,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja / 0-Fondos de caja USD,
,0-Fondo de caja oficinas centrales USD,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja / 0-Fondos de caja USD,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos de caja / 0-Fondos de caja USD / 0-Fondo de caja oficinas centrales USD,
,0-Fondos en tránsito,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos en tránsito,
,0-Fondos en tránsito de PayPal a Bancos,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos en tránsito,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos en tránsito / 0-Fondos en tránsito de PayPal a Bancos,
,0-Fondos en tránsito en bancos,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos en tránsito,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos en tránsito / 0-Fondos en tránsito en bancos,
,0-Fondos en tránsito en tesorería,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos en tránsito,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Fondos en tránsito / 0-Fondos en tránsito en tesorería,
,0-Inversiones a la vista,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Inversiones a la vista,
,0-Inversión 1,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Inversiones a la vista,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-Inversiones a la vista / 0-Inversión 1,
,0-PayPal,asset,group,debit,1,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-PayPal,
,0-Cuenta PayPal 1,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-PayPal,,,,0-Activo / 0-Activo circulante / 0-Activo circulante disponible / 0-PayPal / 0-Cuenta PayPal 1,
,0-Activo circulante exigible,asset,group,debit,1,,0-Activo / 0-Activo circulante,,,,0-Activo / 0-Activo circulante / 0-Activo circulante exigible,
,0-Cuentas por cobrar a compañías relacionadas,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante exigible,,,,0-Activo / 0-Activo circulante / 0-Activo circulante exigible / 0-Cuentas por cobrar a compañías relacionadas,
,0-Cuentas por cobrar a empleados,asset,unspecified,debit,0,,0-Activo / 0-Activo circulante / 0-Activo circulante exigible,,,,0-Activo / 0-Activo circulante / 0-Activo circulante exigible / 0-Cuentas por cobrar a empleados,
