code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,xActivo,asset,group,debit,1,,,,,,xActivo,
,xActivo circulante,asset,group,debit,1,,xActivo,,,,xActivo / xActivo circulante,
,xActivo circulante disponible,asset,group,debit,1,,xActivo / xActivo circulante,,,,xActivo / xActivo circulante / xActivo circulante disponible,
,xBancos,asset,unspecified,debit,0,,xActivo / xActivo circulante / xActivo circulante disponible,,,,xActivo / xActivo circulante / xActivo circulante disponible / xBancos,
,xFondos de caja,asset,group,debit,1,,xActivo / xActivo circulante / xActivo circulante disponible,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja,
,xFondos de caja CRC,asset,group,debit,1,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja / xFondos de caja CRC,
,xFondo de caja oficinas centrales CRC,asset,unspecified,debit,0,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja / xFondos de caja CRC,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja / xFondos de caja CRC / xFondo de caja oficinas centrales CRC,
,xFondos de caja USD,asset,group,debit,1,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja / xFondos de caja USD,
,xFondo de caja oficinas centrales USD,asset,unspecified,debit,0,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja / xFondos de caja USD,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos de caja / xFondos de caja USD / xFondo de caja oficinas centrales USD,
,xFondos en tránsito,asset,group,debit,1,,xActivo / xActivo circulante / xActivo circulante disponible,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos en tránsito,
,xFondos en tránsito de PayPal a Bancos,asset,unspecified,debit,0,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos en tránsito,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos en tránsito / xFondos en tránsito de PayPal a Bancos,
,xFondos en tránsito en bancos,asset,unspecified,debit,0,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos en tránsito,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos en tránsito / xFondos en tránsito en bancos,
,xFondos en tránsito en tesorería,asset,unspecified,debit,0,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos en tránsito,,,,xActivo / xActivo circulante / xActivo circulante disponible / xFondos en tránsito / xFondos en tránsito en tesorería,
,xInversiones a la vista,asset,group,debit,1,,xActivo / xActivo circulante / xActivo circulante disponible,,,,xActivo / xActivo circulante / xActivo circulante disponible / xInversiones a la vista,
