code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Aktiva,asset,group,debit,1,,,,,,Aktiva,
,Abgrenzung latenter Steuern,asset,group,debit,1,,Aktiva,,,,Aktiva / Abgrenzung latenter Steuern,
,Abgrenzung aktive latente Steuern,asset,unspecified,debit,0,,Aktiva / Abgrenzung latenter Steuern,,,,Aktiva / Abgrenzung latenter Steuern / Abgrenzung aktive latente Steuern,
,Anlagevermögen,asset,group,debit,1,,Aktiva,,,,Aktiva / Anlagevermögen,
,Finanzanlagen,asset,group,debit,1,,Aktiva / Anlagevermögen,,,,Aktiva / Anlagevermögen / Finanzanlagen,
,Anteile an verbundenen Unternehmen,asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Anteile an verbundenen Unternehmen,
,Anteile a.herrschender Gesellschaft,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Anteile an verbundenen Unternehmen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Anteile an verbundenen Unternehmen / Anteile a.herrschender Gesellschaft,
,Anteile an verbundenen Unternehmen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Anteile an verbundenen Unternehmen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Anteile an verbundenen Unternehmen / Anteile an verbundenen Unternehmen,
,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht",asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,"Aktiva / Anlagevermögen / Finanzanlagen / Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht",
,Ausleih. an UN mit Beteiligungsverh.,asset,unspecified,debit,0,,"Aktiva / Anlagevermögen / Finanzanlagen / Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht",,,,"Aktiva / Anlagevermögen / Finanzanlagen / Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht / Ausleih. an UN mit Beteiligungsverh.",
,Ausleihungen an verbundene Unternehmen,asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Ausleihungen an verbundene Unternehmen,
,Ausleihungen an verbundene Unternehmen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Ausleihungen an verbundene Unternehmen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Ausleihungen an verbundene Unternehmen / Ausleihungen an verbundene Unternehmen,
,Beteiligungen,asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen,
,Andere Beteiligungen an Kapitalges.,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen / Andere Beteiligungen an Kapitalges.,
,Andere Beteiligungen an Personenges.,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen / Andere Beteiligungen an Personenges.,
,Atypische stille Beteiligungen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen / Atypische stille Beteiligungen,
,Beteiligung GmbH Co.an Komplementär GmbH,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen / Beteiligung GmbH Co.an Komplementär GmbH,
,Beteiligungen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen / Beteiligungen,
,Typisch stille Beteiligungen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Beteiligungen / Typisch stille Beteiligungen,
,Genossenschaftsanteile,asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Genossenschaftsanteile,
,Genossenschaftsanteile z.lfr.Verbleib,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Genossenschaftsanteile,,,,Aktiva / Anlagevermögen / Finanzanlagen / Genossenschaftsanteile / Genossenschaftsanteile z.lfr.Verbleib,
,Rückdeckungsansprüche aus Lebensversicherungen,asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Rückdeckungsansprüche aus Lebensversicherungen,
,LV-Rückdeckungsansprüche z.lfr.Verbl.,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Rückdeckungsansprüche aus Lebensversicherungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Rückdeckungsansprüche aus Lebensversicherungen / LV-Rückdeckungsansprüche z.lfr.Verbl.,
,Wertpapiere des Anlagevermögens,asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,Aktiva / Anlagevermögen / Finanzanlagen / Wertpapiere des Anlagevermögens,
,Festverzinsliche Wertpapiere,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Wertpapiere des Anlagevermögens,,,,Aktiva / Anlagevermögen / Finanzanlagen / Wertpapiere des Anlagevermögens / Festverzinsliche Wertpapiere,
,Wertpapiere des Anlagevermögens,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Wertpapiere des Anlagevermögens,,,,Aktiva / Anlagevermögen / Finanzanlagen / Wertpapiere des Anlagevermögens / Wertpapiere des Anlagevermögens,
,Wertpapiere mit Gewinnbeteil.ansprüch.,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / Wertpapiere des Anlagevermögens,,,,Aktiva / Anlagevermögen / Finanzanlagen / Wertpapiere des Anlagevermögens / Wertpapiere mit Gewinnbeteil.ansprüch.,
,sonstige Ausleihungen,asset,group,debit,1,,Aktiva / Anlagevermögen / Finanzanlagen,,,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen,
,Ausleihungen an Gesellschafter,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen / Ausleihungen an Gesellschafter,
,Ausleihungen an nahe stehende Personen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen / Ausleihungen an nahe stehende Personen,
,Darlehen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen / Darlehen,
,Sonstige Ausleihungen,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen,,,,Aktiva / Anlagevermögen / Finanzanlagen / sonstige Ausleihungen / Sonstige Ausleihungen,
,Immaterielle Vermögensgegenstände,asset,group,debit,1,,Aktiva / Anlagevermögen,,,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände,
,Geschäfts- oder Firmenwert,asset,group,debit,1,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände,,,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Geschäfts- oder Firmenwert,
,Geschäfts- oder Firmenwert,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Geschäfts- oder Firmenwert,,,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Geschäfts- oder Firmenwert / Geschäfts- oder Firmenwert,
,Verschmelzungsmehrwert,asset,unspecified,debit,0,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Geschäfts- oder Firmenwert,,,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Geschäfts- oder Firmenwert / Verschmelzungsmehrwert,
,"Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten",asset,group,debit,1,,Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände,,,,"Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten",
,EDV-Software,asset,unspecified,debit,0,,"Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten",,,,"Aktiva / Anlagevermögen / Immaterielle Vermögensgegenstände / Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten / EDV-Software",
