code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ACTIVO CORRIENTE,,group,,1,,,,,,ACTIVO CORRIENTE,missing_root_type
,ACTIVO DISPONIBLE,,group,,1,,ACTIVO CORRIENTE,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE,missing_root_type
,Banco Central del Ecuador,,group,,1,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Banco Central del Ecuador,missing_root_type
,Cta. Cte. Moneda de curso legal,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Banco Central del Ecuador,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Banco Central del Ecuador / Cta. Cte. Moneda de curso legal,missing_root_type
,Cta. Cte. Otras monedas,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Banco Central del Ecuador,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Banco Central del Ecuador / Cta. Cte. Otras monedas,missing_root_type
,Caja,,group,,1,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Caja,missing_root_type
,Fondos rotativos,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Caja,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Caja / Fondos rotativos,missing_root_type
,Moneda de curso legal,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Caja,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Caja / Moneda de curso legal,missing_root_type
,Otras monedas,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Caja,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Caja / Otras monedas,missing_root_type
,Instituciones financieras,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Instituciones financieras,missing_root_type
,Otras Instituciones Financieras,,group,,1,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras,missing_root_type
,Cta Ahorros En el exterior,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras / Cta Ahorros En el exterior,missing_root_type
,Cta. Ahorros Moneda de curso legal,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras / Cta. Ahorros Moneda de curso legal,missing_root_type
,Cta. Cte. En el exterior,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras / Cta. Cte. En el exterior,missing_root_type
,Cta. Cte. Moneda de curso legal,,unspecified,,0,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras,,,,ACTIVO CORRIENTE / ACTIVO DISPONIBLE / Otras Instituciones Financieras / Cta. Cte. Moneda de curso legal,missing_root_type
