code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Acreedores y deudores por operaciones comerciales,,group,,1,,,,,,Acreedores y deudores por operaciones comerciales,missing_root_type
,Acreedores varios,,payable,,1,,Acreedores y deudores por operaciones comerciales,Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios,missing_root_type
,Acreedores por operaciones en común,,payable,,1,,Acreedores y deudores por operaciones comerciales / Acreedores varios,Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por operaciones en común,missing_root_type
,Acreedores por operaciones en común,,payable,,0,payables,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por operaciones en común,Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por operaciones en común / Acreedores por operaciones en común,missing_root_type
,Acreedores por prestaciones de servicios,,payable,,1,,Acreedores y deudores por operaciones comerciales / Acreedores varios,Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios,missing_root_type
,Acreedores por prestaciones de servicios (euros),,payable,,1,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios,Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios (euros),missing_root_type
,Acreedores por prestaciones de servicios (euros),,payable,,0,payables,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios (euros),Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios (euros) / Acreedores por prestaciones de servicios (euros),missing_root_type
,Acreedores por prestaciones de servicios (moneda extranjera),,payable,,1,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios,Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios (moneda extranjera),missing_root_type
,Acreedores por prestaciones de servicios (moneda extranjera),,payable,,0,payables,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios (moneda extranjera),Payable,,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios (moneda extranjera) / Acreedores por prestaciones de servicios (moneda extranjera),missing_root_type
,"Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar",,payable,,1,,Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios,Payable,,,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar",missing_root_type
,"Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar",,payable,,0,payables,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar",Payable,,,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores por prestaciones de servicios / Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar / Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar",missing_root_type
,"Acreedores, efectos comerciales a pagar",,payable,,1,,Acreedores y deudores por operaciones comerciales / Acreedores varios,Payable,,,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores, efectos comerciales a pagar",missing_root_type
,"Acreedores, efectos comerciales a pagar",,payable,,0,payables,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores, efectos comerciales a pagar",Payable,,,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Acreedores, efectos comerciales a pagar / Acreedores, efectos comerciales a pagar",missing_root_type
,"Beneficiarios, acreedores",,payable,,1,,Acreedores y deudores por operaciones comerciales / Acreedores varios,Payable,,,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Beneficiarios, acreedores",missing_root_type
,"Beneficiarios, acreedores",,payable,,0,payables,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Beneficiarios, acreedores",Payable,,,"Acreedores y deudores por operaciones comerciales / Acreedores varios / Beneficiarios, acreedores / Beneficiarios, acreedores",missing_root_type
,Administraciones públicas,,group,,1,,Acreedores y deudores por operaciones comerciales,,,,Acreedores y deudores por operaciones comerciales / Administraciones públicas,missing_root_type
,Activos por impuesto diferido,,group,,1,,Acreedores y deudores por operaciones comerciales / Administraciones públicas,,,,Acreedores y deudores por operaciones comerciales / Administraciones públicas / Activos por impuesto diferido,missing_root_type
,Activos por diferencias temporarias deducibles,,group,,1,,Acreedores y deudores por operaciones comerciales / Administraciones públicas / Activos por impuesto diferido,,,,Acreedores y deudores por operaciones comerciales / Administraciones públicas / Activos por impuesto diferido / Activos por diferencias temporarias deducibles,missing_root_type
