code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ASSETS,asset,group,debit,1,,,,,,ASSETS,
,Cash and Cash Equivalents,asset,group,debit,1,,ASSETS,,,,ASSETS / Cash and Cash Equivalents,
,Cash at bank in foreigh currency,asset,unspecified,debit,0,,ASSETS / Cash and Cash Equivalents,,,,ASSETS / Cash and Cash Equivalents / Cash at bank in foreigh currency,
,Cash on hand and at bank,asset,unspecified,debit,0,,ASSETS / Cash and Cash Equivalents,,,,ASSETS / Cash and Cash Equivalents / Cash on hand and at bank,
,Investments current assets,asset,unspecified,debit,0,,ASSETS / Cash and Cash Equivalents,,,,ASSETS / Cash and Cash Equivalents / Investments current assets,
,Letter of Credit restricted account,asset,unspecified,debit,0,,ASSETS / Cash and Cash Equivalents,,,,ASSETS / Cash and Cash Equivalents / Letter of Credit restricted account,
,Fixed Assets,asset,group,debit,1,,ASSETS,,,,ASSETS / Fixed Assets,
,Construction in Progress,asset,group,debit,1,,ASSETS / Fixed Assets,,,,ASSETS / Fixed Assets / Construction in Progress,
,Construction of buildings,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Construction in Progress,,,,ASSETS / Fixed Assets / Construction in Progress / Construction of buildings,
,Construction of infrastructure,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Construction in Progress,,,,ASSETS / Fixed Assets / Construction in Progress / Construction of infrastructure,
,Property and Equipment,asset,group,debit,1,,ASSETS / Fixed Assets,,,,ASSETS / Fixed Assets / Property and Equipment,
,"Aircraft, boats, etc",asset,unspecified,debit,0,,ASSETS / Fixed Assets / Property and Equipment,,,,"ASSETS / Fixed Assets / Property and Equipment / Aircraft, boats, etc",
,Buildings,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Property and Equipment,,,,ASSETS / Fixed Assets / Property and Equipment / Buildings,
,Furnishings and fixtures,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Property and Equipment,,,,ASSETS / Fixed Assets / Property and Equipment / Furnishings and fixtures,
,Infrastructure,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Property and Equipment,,,,ASSETS / Fixed Assets / Property and Equipment / Infrastructure,
,Livestock and tansport animals,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Property and Equipment,,,,ASSETS / Fixed Assets / Property and Equipment / Livestock and tansport animals,
,Plant machinery and equipment,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Property and Equipment,,,,ASSETS / Fixed Assets / Property and Equipment / Plant machinery and equipment,
,Vehicles and other vehicular transport,asset,unspecified,debit,0,,ASSETS / Fixed Assets / Property and Equipment,,,,ASSETS / Fixed Assets / Property and Equipment / Vehicles and other vehicular transport,
,Goods in Transit,asset,unspecified,debit,0,,ASSETS,,,,ASSETS / Goods in Transit,
,Investments,asset,unspecified,debit,0,,ASSETS,,,,ASSETS / Investments,
,Long Term Loans,asset,unspecified,debit,0,,ASSETS,,,,ASSETS / Long Term Loans,
,Production Stock,asset,group,debit,1,,ASSETS,,,,ASSETS / Production Stock,
,Finished Goods,asset,unspecified,debit,0,,ASSETS / Production Stock,,,,ASSETS / Production Stock / Finished Goods,
,Work in Progress,asset,unspecified,debit,0,,ASSETS / Production Stock,,,,ASSETS / Production Stock / Work in Progress,
,Receivables,asset,group,debit,1,,ASSETS,,,,ASSETS / Receivables,
,Accounts Receivable,asset,group,debit,1,,ASSETS / Receivables,,,,ASSETS / Receivables / Accounts Receivable,
,Advance to staff,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / Advance to staff,
,Cash Registers,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / Cash Registers,
,Cash shortage,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / Cash shortage,
,Suspense,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / Suspense,
,Trade Debtors,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / Trade Debtors,
,VAT Receivable on Purchases,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / VAT Receivable on Purchases,
,VAT Withholding Receivable on Sales,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / VAT Withholding Receivable on Sales,
,Withholding Receivable on Sales,asset,unspecified,debit,0,,ASSETS / Receivables / Accounts Receivable,,,,ASSETS / Receivables / Accounts Receivable / Withholding Receivable on Sales,
,Other Debtors,asset,unspecified,debit,0,,ASSETS / Receivables,,,,ASSETS / Receivables / Other Debtors,
,Prepayments,asset,group,debit,1,,ASSETS / Receivables,,,,ASSETS / Receivables / Prepayments,
,Advance to consultant,asset,unspecified,debit,0,,ASSETS / Receivables / Prepayments,,,,ASSETS / Receivables / Prepayments / Advance to consultant,
,Advance to contractors,asset,unspecified,debit,0,,ASSETS / Receivables / Prepayments,,,,ASSETS / Receivables / Prepayments / Advance to contractors,
,Advance to supplier,asset,unspecified,debit,0,,ASSETS / Receivables / Prepayments,,,,ASSETS / Receivables / Prepayments / Advance to supplier,
,Stock,asset,unspecified,debit,0,,ASSETS,,,,ASSETS / Stock,
,COST OF GOODS SOLD,expense,group,debit,1,,,,,,COST OF GOODS SOLD,
,Cost of Goods and Services,expense,unspecified,debit,0,,COST OF GOODS SOLD,,,,COST OF GOODS SOLD / Cost of Goods and Services,
,Inventory Adjustments,expense,unspecified,debit,0,,COST OF GOODS SOLD,,,,COST OF GOODS SOLD / Inventory Adjustments,
,Other,expense,unspecified,debit,0,,COST OF GOODS SOLD,,,,COST OF GOODS SOLD / Other,
,Purchase Returns and Allowances,expense,unspecified,debit,0,,COST OF GOODS SOLD,,,,COST OF GOODS SOLD / Purchase Returns and Allowances,
,EXPENSES,expense,group,debit,1,,,,,,EXPENSES,
,FIXED ASSETS AND CONSTRUCTION,expense,group,debit,1,,EXPENSES,,,,EXPENSES / FIXED ASSETS AND CONSTRUCTION,
,Construction,expense,group,debit,1,,EXPENSES / FIXED ASSETS AND CONSTRUCTION,,,,EXPENSES / FIXED ASSETS AND CONSTRUCTION / Construction,
,Construction of buildings,expense,unspecified,debit,0,,EXPENSES / FIXED ASSETS AND CONSTRUCTION / Construction,,,,EXPENSES / FIXED ASSETS AND CONSTRUCTION / Construction / Construction of buildings,
