code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ,,group,,1,,,,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ,missing_root_type
,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,,receivable,,1,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,missing_root_type
,Γραμμάτια εισπρακτέα,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Γραμμάτια εισπρακτέα,missing_root_type
,Λογαρ.διαχειρίσεως Προκατ/λών και πιστώσεων,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Λογαρ.διαχειρίσεως Προκατ/λών και πιστώσεων,missing_root_type
,Μεταβατικοί λογαριασμοί Ενεργητικού,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Μεταβατικοί λογαριασμοί Ενεργητικού,missing_root_type
,Παραγγελίες στο εξωτερικό,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Παραγγελίες στο εξωτερικό,missing_root_type
,Πελάτες,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Πελάτες,missing_root_type
,Χρεώγραφα,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Χρεώγραφα,missing_root_type
,Χρεώστες Διάφοροι,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Χρεώστες Διάφοροι,missing_root_type
,Χρηματικά Διαθέσιμα,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ ΥΠΟΚΑΤΑΣΤΗΜΑΤΩΝ Ή ΑΛΛΩΝ ΚΕΝΤΡΩΝ / Χρηματικά Διαθέσιμα,missing_root_type
,ΓΡΑΜΜΑΤΙΑ ΕΙΣΠΡΑΚΤΕΑ,,receivable,,1,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΓΡΑΜΜΑΤΙΑ ΕΙΣΠΡΑΚΤΕΑ,missing_root_type
,Γραμμάτια μεταβιβασμένα σε τρίτους,,receivable,,0,receivables,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΓΡΑΜΜΑΤΙΑ ΕΙΣΠΡΑΚΤΕΑ,Receivable,,,ΑΠΑΙΤΗΣΕΙΣ ΚΑΙ ΔΙΑΘΕΣΙΜΑ / ΓΡΑΜΜΑΤΙΑ ΕΙΣΠΡΑΚΤΕΑ / Γραμμάτια μεταβιβασμένα σε τρίτους,missing_root_type
