code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Activo,asset,group,debit,1,,,,,,Activo,
,Activo Corriente,asset,group,debit,1,,Activo,,,,Activo / Activo Corriente,
,Caja y Bancos,asset,group,debit,1,,Activo / Activo Corriente,,,,Activo / Activo Corriente / Caja y Bancos,
,Caja Chica,asset,unspecified,debit,0,,Activo / Activo Corriente / Caja y Bancos,,,,Activo / Activo Corriente / Caja y Bancos / Caja Chica,
,Cuentas y Documentos por Cobrar,asset,group,debit,1,,Activo / Activo Corriente,,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar,
,Cuentas por Cobrar Empresas Afilidas,asset,unspecified,debit,0,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar,,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar / Cuentas por Cobrar Empresas Afilidas,
,Cuentas por Cobrar Generales,asset,unspecified,debit,0,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar,,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar / Cuentas por Cobrar Generales,
,Otras Cuentas por Cobrar,asset,unspecified,debit,0,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar,,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar / Otras Cuentas por Cobrar,
,Prestamos al Personal,asset,unspecified,debit,0,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar,,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar / Prestamos al Personal,
,ISV por Cobrar,asset,group,debit,1,,Activo / Activo Corriente,,,,Activo / Activo Corriente / ISV por Cobrar,
,ISV por Cobrar,asset,unspecified,debit,0,,Activo / Activo Corriente / ISV por Cobrar,,,,Activo / Activo Corriente / ISV por Cobrar / ISV por Cobrar,
,Retenciones de ISV recibidas,asset,unspecified,debit,0,,Activo / Activo Corriente / ISV por Cobrar,,,,Activo / Activo Corriente / ISV por Cobrar / Retenciones de ISV recibidas,
,Inventario,asset,unspecified,debit,0,,Activo / Activo Corriente,,,,Activo / Activo Corriente / Inventario,
,Diferido,asset,group,debit,1,,Activo,,,,Activo / Diferido,
,Gastos Anticipados,asset,group,debit,1,,Activo / Diferido,,,,Activo / Diferido / Gastos Anticipados,
,Gastos Anticipados,asset,unspecified,debit,0,,Activo / Diferido / Gastos Anticipados,,,,Activo / Diferido / Gastos Anticipados / Gastos Anticipados,
,Gastos de Organización,asset,group,debit,1,,Activo / Diferido,,,,Activo / Diferido / Gastos de Organización,
,Gastos de Organización,asset,unspecified,debit,0,,Activo / Diferido / Gastos de Organización,,,,Activo / Diferido / Gastos de Organización / Gastos de Organización,
,Gastos por Amortizar,asset,group,debit,1,,Activo / Diferido,,,,Activo / Diferido / Gastos por Amortizar,
,Gastos por Amortizar,asset,unspecified,debit,0,,Activo / Diferido / Gastos por Amortizar,,,,Activo / Diferido / Gastos por Amortizar / Gastos por Amortizar,
,Otros Activos,asset,group,debit,1,,Activo / Diferido,,,,Activo / Diferido / Otros Activos,
,Otros Activos,asset,unspecified,debit,0,,Activo / Diferido / Otros Activos,,,,Activo / Diferido / Otros Activos / Otros Activos,
,No Corriente,asset,group,debit,1,,Activo,,,,Activo / No Corriente,
,Depreciaciones Acumuladas,asset,group,debit,1,,Activo / No Corriente,,,,Activo / No Corriente / Depreciaciones Acumuladas,
,Depreciaciones Acumuladas,asset,unspecified,debit,0,,Activo / No Corriente / Depreciaciones Acumuladas,,,,Activo / No Corriente / Depreciaciones Acumuladas / Depreciaciones Acumuladas,
,"Propiedad, Planta y Equipo",asset,group,debit,1,,Activo / No Corriente,,,,"Activo / No Corriente / Propiedad, Planta y Equipo",
,"Propiedad, Planta y Equipo",asset,unspecified,debit,0,,"Activo / No Corriente / Propiedad, Planta y Equipo",,,,"Activo / No Corriente / Propiedad, Planta y Equipo / Propiedad, Planta y Equipo",
,Pasivo,liability,group,credit,1,,,,,,Pasivo,
,Créditos Diferidos,liability,group,credit,1,,Pasivo,,,,Pasivo / Créditos Diferidos,
,Créditos Diferidos,liability,group,credit,1,,Pasivo / Créditos Diferidos,,,,Pasivo / Créditos Diferidos / Créditos Diferidos,
,Anticipos,liability,unspecified,credit,0,,Pasivo / Créditos Diferidos / Créditos Diferidos,,,,Pasivo / Créditos Diferidos / Créditos Diferidos / Anticipos,
,Pasivo Corto Plazo,liability,group,credit,1,,Pasivo,,,,Pasivo / Pasivo Corto Plazo,
