code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,FINANCIJSKI REZULTAT POSLOVANJA,,group,,1,,,,,,FINANCIJSKI REZULTAT POSLOVANJA,missing_root_type
,DOBITAK ILI GUBITAK RAZDOBLJA,,group,,1,,FINANCIJSKI REZULTAT POSLOVANJA,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA,missing_root_type
,Dobitak ili gubitak razdoblja,,group,,1,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak ili gubitak razdoblja,missing_root_type
,Dobitak razdoblja (poslije poreza),,unspecified,,0,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak ili gubitak razdoblja,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak ili gubitak razdoblja / Dobitak razdoblja (poslije poreza),missing_root_type
,Gubitak razdoblja,,unspecified,,0,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak ili gubitak razdoblja,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak ili gubitak razdoblja / Gubitak razdoblja,missing_root_type
,Dobitak prije oporezivanja,,group,,1,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak prije oporezivanja,missing_root_type
,Dobitak prije oporezivanja-a1,,unspecified,,0,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak prije oporezivanja,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Dobitak prije oporezivanja / Dobitak prije oporezivanja-a1,missing_root_type
,Gubitak prije oporezivanja,,group,,1,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Gubitak prije oporezivanja,missing_root_type
,Gubitak prije oporezivanja-a1,,unspecified,,0,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Gubitak prije oporezivanja,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Gubitak prije oporezivanja / Gubitak prije oporezivanja-a1,missing_root_type
,Porez na dobitak (gubitak),,group,,1,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA,,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Porez na dobitak (gubitak),missing_root_type
,Porez na dobitak (gubitak)-a1,,unspecified,,0,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Porez na dobitak (gubitak),,,,FINANCIJSKI REZULTAT POSLOVANJA / DOBITAK ILI GUBITAK RAZDOBLJA / Porez na dobitak (gubitak) / Porez na dobitak (gubitak)-a1,missing_root_type
