code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ATTIVO,,group,,1,,,,,,ATTIVO,missing_root_type
,CREDITI COMMERCIALI,,group,,1,,ATTIVO,,,,ATTIVO / CREDITI COMMERCIALI,missing_root_type
,cambiali all'incasso,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / cambiali all'incasso,missing_root_type
,cambiali allo sconto,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / cambiali allo sconto,missing_root_type
,cambiali attive,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / cambiali attive,missing_root_type
,cambiali insolute,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / cambiali insolute,missing_root_type
,clienti c/spese anticipate,,receivable,,0,receivables,ATTIVO / CREDITI COMMERCIALI,Receivable,,,ATTIVO / CREDITI COMMERCIALI / clienti c/spese anticipate,missing_root_type
,crediti commerciali diversi,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / crediti commerciali diversi,missing_root_type
,crediti da liquidare,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / crediti da liquidare,missing_root_type
,crediti insoluti,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / crediti insoluti,missing_root_type
,crediti v/clienti,,receivable,,0,receivables,ATTIVO / CREDITI COMMERCIALI,Receivable,,,ATTIVO / CREDITI COMMERCIALI / crediti v/clienti,missing_root_type
,fatture da emettere,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / fatture da emettere,missing_root_type
,fondo rischi su crediti,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / fondo rischi su crediti,missing_root_type
,fondo svalutazione crediti,,unspecified,,0,,ATTIVO / CREDITI COMMERCIALI,,,,ATTIVO / CREDITI COMMERCIALI / fondo svalutazione crediti,missing_root_type
,CREDITI DIVERSI,,group,,1,,ATTIVO,,,,ATTIVO / CREDITI DIVERSI,missing_root_type
,IVA c/acconto,,unspecified,,0,,ATTIVO / CREDITI DIVERSI,,,,ATTIVO / CREDITI DIVERSI / IVA c/acconto,missing_root_type
