code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,COMPTES DE BILAN,,group,,1,,,,,,COMPTES DE BILAN,missing_root_type
,COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE),,group,,1,,COMPTES DE BILAN,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE),missing_root_type
,CREANCES DE L'ACTIF CIRCULANT,,group,,1,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE),,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT,missing_root_type
,Autres débiteurs,,group,,1,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs,missing_root_type
,Créances rattachées aux autres débiteurs,,unspecified,,0,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs / Créances rattachées aux autres débiteurs,missing_root_type
,Créances sur cessions d'immobilisations,,unspecified,,0,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs / Créances sur cessions d'immobilisations,missing_root_type
,Créances sur cessions d'éléments d'actif circulant,,unspecified,,0,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs / Créances sur cessions d'éléments d'actif circulant,missing_root_type
,Divers débiteurs,,unspecified,,0,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Autres débiteurs / Divers débiteurs,missing_root_type
,Clients et comptes rattachés,,group,,1,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés,missing_root_type
,Autres clients et comptes rattachés,,unspecified,,0,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés / Autres clients et comptes rattachés,missing_root_type
,Clients,,group,,1,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés / Clients,missing_root_type
,Clients - catégorie A,,unspecified,,0,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés / Clients,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés / Clients / Clients - catégorie A,missing_root_type
,Clients - catégorie B,,unspecified,,0,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés / Clients,,,,COMPTES DE BILAN / COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE) / CREANCES DE L'ACTIF CIRCULANT / Clients et comptes rattachés / Clients / Clients - catégorie B,missing_root_type
