code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ACTIVOS,asset,group,debit,1,,,,,,ACTIVOS,
,Activo Fijo,asset,group,debit,1,,ACTIVOS,,,,ACTIVOS / Activo Fijo,
,Activo Fijo / (-) Depreciación Acumulada,asset,unspecified,debit,0,,ACTIVOS / Activo Fijo,,,,ACTIVOS / Activo Fijo / Activo Fijo / (-) Depreciación Acumulada,
,Activo Fijo / Equipos,asset,unspecified,debit,0,,ACTIVOS / Activo Fijo,,,,ACTIVOS / Activo Fijo / Activo Fijo / Equipos,
,Activo Fijo / Inmuebles,asset,unspecified,debit,0,,ACTIVOS / Activo Fijo,,,,ACTIVOS / Activo Fijo / Activo Fijo / Inmuebles,
,Activo Fijo / Maquinaria,asset,unspecified,debit,0,,ACTIVOS / Activo Fijo,,,,ACTIVOS / Activo Fijo / Activo Fijo / Maquinaria,
,Activo Fijo / Material Rodante Motorizado,asset,unspecified,debit,0,,ACTIVOS / Activo Fijo,,,,ACTIVOS / Activo Fijo / Activo Fijo / Material Rodante Motorizado,
,Activo Intangible,asset,group,debit,1,,ACTIVOS,,,,ACTIVOS / Activo Intangible,
,Activo Intangible / (-) Amortización Acumulada,asset,unspecified,debit,0,,ACTIVOS / Activo Intangible,,,,ACTIVOS / Activo Intangible / Activo Intangible / (-) Amortización Acumulada,
,Activo Intangible / Concesiones y Franquicias,asset,unspecified,debit,0,,ACTIVOS / Activo Intangible,,,,ACTIVOS / Activo Intangible / Activo Intangible / Concesiones y Franquicias,
,Activo Intangible / Derecho de Llaves,asset,unspecified,debit,0,,ACTIVOS / Activo Intangible,,,,ACTIVOS / Activo Intangible / Activo Intangible / Derecho de Llaves,
,Activo Intangible / Marcas y Patentes de Invención,asset,unspecified,debit,0,,ACTIVOS / Activo Intangible,,,,ACTIVOS / Activo Intangible / Activo Intangible / Marcas y Patentes de Invención,
,Caja y Bancos,asset,group,debit,1,,ACTIVOS,,,,ACTIVOS / Caja y Bancos,
,Caja y Bancos - Bancos,asset,group,debit,1,,ACTIVOS / Caja y Bancos,,,,ACTIVOS / Caja y Bancos / Caja y Bancos - Bancos,
,Caja y Bancos.../ BCO. CTA CTE PAB,asset,bank,debit,0,cash_bank,ACTIVOS / Caja y Bancos / Caja y Bancos - Bancos,Bank,,,ACTIVOS / Caja y Bancos / Caja y Bancos - Bancos / Caja y Bancos.../ BCO. CTA CTE PAB,
