code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Aktywa Trwałe,,group,,1,,,,,,Aktywa Trwałe,missing_root_type
,Długoterminowe aktywa finansowe,,group,,1,,Aktywa Trwałe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe,missing_root_type
,Inne inwestycje długoterminowe,,group,,1,,Aktywa Trwałe / Długoterminowe aktywa finansowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Inne inwestycje długoterminowe,missing_root_type
,Inne rodzaje długoterminowych aktywów finansowych,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Inne inwestycje długoterminowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Inne inwestycje długoterminowe / Inne rodzaje długoterminowych aktywów finansowych,missing_root_type
,Odpisy aktualizujące długoterminowe aktywa finansowe,,group,,1,,Aktywa Trwałe / Długoterminowe aktywa finansowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe,missing_root_type
,Inne długoterminowe aktywa finansowe,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe / Inne długoterminowe aktywa finansowe,missing_root_type
,Inne papiery wartościowe,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe / Inne papiery wartościowe,missing_root_type
,Udziały lub akcje,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe / Udziały lub akcje,missing_root_type
,Udzielone pożyczki,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / Odpisy aktualizujące długoterminowe aktywa finansowe / Udzielone pożyczki,missing_root_type
,W jednostkach powiązanych,,group,,1,,Aktywa Trwałe / Długoterminowe aktywa finansowe,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / W jednostkach powiązanych,missing_root_type
,Inne długoterminowe aktywa finansowe,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / W jednostkach powiązanych,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / W jednostkach powiązanych / Inne długoterminowe aktywa finansowe,missing_root_type
,Inne papiery wartościowe,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / W jednostkach powiązanych,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / W jednostkach powiązanych / Inne papiery wartościowe,missing_root_type
,Udziały lub akcje,,unspecified,,0,,Aktywa Trwałe / Długoterminowe aktywa finansowe / W jednostkach powiązanych,,,,Aktywa Trwałe / Długoterminowe aktywa finansowe / W jednostkach powiązanych / Udziały lub akcje,missing_root_type
