code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,"Capital, reservas e resultados transitados",,group,,1,,,,,,"Capital, reservas e resultados transitados",missing_root_type
,Acções (quotas) próprias,,group,,1,,"Capital, reservas e resultados transitados",,,,"Capital, reservas e resultados transitados / Acções (quotas) próprias",missing_root_type
,Descontos e prémios,,unspecified,,0,,"Capital, reservas e resultados transitados / Acções (quotas) próprias",,,,"Capital, reservas e resultados transitados / Acções (quotas) próprias / Descontos e prémios",missing_root_type
,Valor nominal,,unspecified,,0,,"Capital, reservas e resultados transitados / Acções (quotas) próprias",,,,"Capital, reservas e resultados transitados / Acções (quotas) próprias / Valor nominal",missing_root_type
,Ajustamentos em activos financeiros,,group,,1,,"Capital, reservas e resultados transitados",,,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros",missing_root_type
,Outros,,unspecified,,0,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros",,,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Outros",missing_root_type
,Relacionados com o método da equivalência patrimonial,,group,,1,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros",,,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Relacionados com o método da equivalência patrimonial",missing_root_type
,Ajustamentos de transição,,unspecified,,0,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Relacionados com o método da equivalência patrimonial",,,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Relacionados com o método da equivalência patrimonial / Ajustamentos de transição",missing_root_type
,Decorrentes de outras variações nos capitais próprios d,,unspecified,,0,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Relacionados com o método da equivalência patrimonial",,,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Relacionados com o método da equivalência patrimonial / Decorrentes de outras variações nos capitais próprios d",missing_root_type
,Lucros não atribuídos,,unspecified,,0,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Relacionados com o método da equivalência patrimonial",,,,"Capital, reservas e resultados transitados / Ajustamentos em activos financeiros / Relacionados com o método da equivalência patrimonial / Lucros não atribuídos",missing_root_type
,Capital,,unspecified,,0,,"Capital, reservas e resultados transitados",,,,"Capital, reservas e resultados transitados / Capital",missing_root_type
,Excedentes de revalor. de activos fixos tangíveis e int,,group,,1,,"Capital, reservas e resultados transitados",,,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int",missing_root_type
,Outros excedentes,,group,,1,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int",,,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Outros excedentes",missing_root_type
,Antes de imposto sobre o rendimento,,unspecified,,0,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Outros excedentes",,,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Outros excedentes / Antes de imposto sobre o rendimento",missing_root_type
,Impostos diferidos,,unspecified,,0,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Outros excedentes",,,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Outros excedentes / Impostos diferidos",missing_root_type
,Reavaliações decorrentes de diplomas legais,,group,,1,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int",,,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Reavaliações decorrentes de diplomas legais",missing_root_type
,Antes de imposto sobre o rendimento,,unspecified,,0,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Reavaliações decorrentes de diplomas legais",,,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Reavaliações decorrentes de diplomas legais / Antes de imposto sobre o rendimento",missing_root_type
,Impostos diferidos,,unspecified,,0,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Reavaliações decorrentes de diplomas legais",,,,"Capital, reservas e resultados transitados / Excedentes de revalor. de activos fixos tangíveis e int / Reavaliações decorrentes de diplomas legais / Impostos diferidos",missing_root_type
