code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,CONTURI FINANCIARE,,group,,1,,,,,,CONTURI FINANCIARE,missing_root_type
,CONTURI DE BILANT,,group,,1,,CONTURI FINANCIARE,,,,CONTURI FINANCIARE / CONTURI DE BILANT,missing_root_type
,CONTURI DE CAPITALURI,,group,,1,,CONTURI FINANCIARE / CONTURI DE BILANT,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI,missing_root_type
,CAPITAL SI REZERVER,,group,,1,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER,missing_root_type
,Actiuni proprii,,group,,1,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Actiuni proprii,missing_root_type
,Actiuni proprii detinute pe termen lung,,unspecified,,0,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Actiuni proprii,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Actiuni proprii / Actiuni proprii detinute pe termen lung,missing_root_type
,Actiuni proprii detinute pe termen scurt,,unspecified,,0,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Actiuni proprii,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Actiuni proprii / Actiuni proprii detinute pe termen scurt,missing_root_type
,Capital,,group,,1,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital,missing_root_type
,Capital subscris nevarsat,,unspecified,,0,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital / Capital subscris nevarsat,missing_root_type
,Capital subscris varsat,,unspecified,,0,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital / Capital subscris varsat,missing_root_type
,Patrimoniul public,,unspecified,,0,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital / Patrimoniul public,missing_root_type
,Patrimoniul regiei,,unspecified,,0,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Capital / Patrimoniul regiei,missing_root_type
,Interese care nu controleaza,,group,,1,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER,,,,CONTURI FINANCIARE / CONTURI DE BILANT / CONTURI DE CAPITALURI / CAPITAL SI REZERVER / Interese care nu controleaza,missing_root_type
