code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Comptes de bilan,,group,,1,,,,,,Comptes de bilan,missing_root_type
,Comptes d'immobilisations,,group,,1,,Comptes de bilan,,,,Comptes de bilan / Comptes d'immobilisations,missing_root_type
,AMORTISSEMENTS,,group,,1,,Comptes de bilan / Comptes d'immobilisations,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS,missing_root_type
,"AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,group,,1,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS,,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",missing_root_type
,Amortissements des aménagements de bureaux,,unspecified,,0,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS / Amortissements des aménagements de bureaux",missing_root_type
,Amortissements des autres installations et agencements,,unspecified,,0,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS / Amortissements des autres installations et agencements",missing_root_type
,"Amortissements des bâtiments industriels, agricoles et commerciaux mis en concession",,unspecified,,0,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS / Amortissements des bâtiments industriels, agricoles et commerciaux mis en concession",missing_root_type
,"Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d'autrui",,unspecified,,0,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS / Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d'autrui",missing_root_type
,"Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",,unspecified,,0,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS / Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",missing_root_type
,Amortissements des installations techniques,,unspecified,,0,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS / Amortissements des installations techniques",missing_root_type
,Amortissements des ouvrages d'infrastructure,,unspecified,,0,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS",,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS / Amortissements des ouvrages d'infrastructure",missing_root_type
,AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,group,,1,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,missing_root_type
,Amortissements des autres droits et valeurs incorporels,,unspecified,,0,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES / Amortissements des autres droits et valeurs incorporels,missing_root_type
,"Amortissements des brevets, licences, concessions et droits similaires",,unspecified,,0,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,,,"Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES / Amortissements des brevets, licences, concessions et droits similaires",missing_root_type
,Amortissements des frais de recherche et de développement,,unspecified,,0,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES / Amortissements des frais de recherche et de développement,missing_root_type
,Amortissements des investissements de création,,unspecified,,0,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES / Amortissements des investissements de création,missing_root_type
,Amortissements des logiciels,,unspecified,,0,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES / Amortissements des logiciels,missing_root_type
,Amortissements des marques,,unspecified,,0,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES / Amortissements des marques,missing_root_type
,Amortissements du droit au bail,,unspecified,,0,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,,,,Comptes de bilan / Comptes d'immobilisations / AMORTISSEMENTS / AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES / Amortissements du droit au bail,missing_root_type
