code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Assets,asset,group,debit,1,,,,,,Assets,
,Account Receivable,asset,unspecified,debit,0,,Assets,,,,Assets / Account Receivable,
,Building,asset,group,debit,1,,Assets,,,,Assets / Building,
,Accumulated Depreciation - Building,asset,unspecified,debit,0,,Assets / Building,,,,Assets / Building / Accumulated Depreciation - Building,
,Cash,asset,group,debit,1,,Assets,,,,Assets / Cash,
,Cash at Bank,asset,unspecified,debit,0,,Assets / Cash,,,,Assets / Cash / Cash at Bank,
,Petty Cash,asset,unspecified,debit,0,,Assets / Cash,,,,Assets / Cash / Petty Cash,
,Equipment,asset,group,debit,1,,Assets,,,,Assets / Equipment,
,Accumulated Depreciation - Equipment,asset,unspecified,debit,0,,Assets / Equipment,,,,Assets / Equipment / Accumulated Depreciation - Equipment,
,Input VAT,asset,unspecified,debit,0,,Assets,,,,Assets / Input VAT,
,Inventory,asset,unspecified,debit,0,,Assets,,,,Assets / Inventory,
,Outstanding Cheques,asset,unspecified,debit,0,,Assets,,,,Assets / Outstanding Cheques,
,Withholding Income Tax,asset,unspecified,debit,0,,Assets,,,,Assets / Withholding Income Tax,
,Equity,equity,group,credit,1,,,,,,Equity,
,Capital Stock,equity,unspecified,credit,0,,Equity,,,,Equity / Capital Stock,
,Dividends,equity,unspecified,credit,0,,Equity,,,,Equity / Dividends,
,Income Summary,equity,unspecified,credit,0,,Equity,,,,Equity / Income Summary,
,Retained Earnings,equity,unspecified,credit,0,,Equity,,,,Equity / Retained Earnings,
,Expenses,expense,group,debit,1,,,,,,Expenses,
,Cost of goods sold,expense,unspecified,debit,0,,Expenses,,,,Expenses / Cost of goods sold,
,Income tax expenses,expense,unspecified,debit,0,,Expenses,,,,Expenses / Income tax expenses,
,Interest expenses,expense,unspecified,debit,0,,Expenses,,,,Expenses / Interest expenses,
,Office Expenses,expense,unspecified,debit,0,,Expenses,,,,Expenses / Office Expenses,
,Rent,expense,unspecified,debit,0,,Expenses,,,,Expenses / Rent,
,Salary,expense,unspecified,debit,0,,Expenses,,,,Expenses / Salary,
,Income,income,group,credit,1,,,,,,Income,
,Income,income,unspecified,credit,0,,Income,,,,Income / Income,
,Liabilities,liability,group,credit,1,,,,,,Liabilities,
,Account Payable,liability,unspecified,credit,0,,Liabilities,,,,Liabilities / Account Payable,
,Accrued Expenses,liability,unspecified,credit,0,,Liabilities,,,,Liabilities / Accrued Expenses,
,Loans,liability,unspecified,credit,0,,Liabilities,,,,Liabilities / Loans,
,Output VAT,liability,unspecified,credit,0,,Liabilities,,,,Liabilities / Output VAT,
,Uninvoiced Receipts,liability,unspecified,credit,0,,Liabilities,,,,Liabilities / Uninvoiced Receipts,
,Withholding Tax,liability,unspecified,credit,0,,Liabilities,,,,Liabilities / Withholding Tax,
