code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ACTIVO,asset,group,debit,1,,,,,,ACTIVO,
,ACTIVO CORRIENTE,asset,group,debit,1,,ACTIVO,,,,ACTIVO / ACTIVO CORRIENTE,
,BIENES DE CAMBIO,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,
,Importaciones en tramite,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO / Importaciones en tramite,
,Materiales y Suministros,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO / Materiales y Suministros,
,Materias Primas,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO / Materias Primas,
,Mercaderia de Reventa,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO / Mercaderia de Reventa,
,Prevision p/desvalorizaciones,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO / Prevision p/desvalorizaciones,
,Productos Terminados,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO / Productos Terminados,
,Productos en Proceso,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO,,,,ACTIVO / ACTIVO CORRIENTE / BIENES DE CAMBIO / Productos en Proceso,
,CREDITOS POR VENTAS,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,
,Cheques en Cartera ME,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Cheques en Cartera ME,
,Cheques en Cartera MN,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Cheques en Cartera MN,
,Deudores Simples Plaza,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Deudores Simples Plaza,
,Deudores Varios (def),asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Deudores Varios (def),
,Deudores por Exportaciones,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Deudores por Exportaciones,
,Documentos a Cobrar ME,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Documentos a Cobrar ME,
,Documentos a Cobrar MN,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Documentos a Cobrar MN,
,Ingresos diferidos,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Ingresos diferidos,
,Intereses percibidos por adelantado,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Intereses percibidos por adelantado,
,Prevision p/dtos y Bonificaciones,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS,,,,ACTIVO / ACTIVO CORRIENTE / CREDITOS POR VENTAS / Prevision p/dtos y Bonificaciones,
