code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ACTIVO,,group,,1,,,,,,ACTIVO,missing_root_type
,ACTIVO CIRCULANTE,,group,,1,,ACTIVO,,,,ACTIVO / ACTIVO CIRCULANTE,missing_root_type
,DOCUMENTOS Y CUENTAS  POR COBRAR,,group,,1,,ACTIVO / ACTIVO CIRCULANTE,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,missing_root_type
,0TRAS CUENTAS POR COBRAR,,group,,1,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR,missing_root_type
,0TRAS CUENTAS X COBRAR OTROS DEUDORES,,receivable,,0,receivables,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR,Receivable,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR / 0TRAS CUENTAS X COBRAR OTROS DEUDORES,missing_root_type
,ADELANTO A PROVEEDORES,,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR / ADELANTO A PROVEEDORES,missing_root_type
,DEPOSITOS VARIOS,,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR / DEPOSITOS VARIOS,missing_root_type
,ENTES GUBERNAMENTALES,,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR / ENTES GUBERNAMENTALES,missing_root_type
,RECLAMO AL SEGURO,,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR / RECLAMO AL SEGURO,missing_root_type
,TRANSFERENCIAS BANCARIAS,,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / 0TRAS CUENTAS POR COBRAR / TRANSFERENCIAS BANCARIAS,missing_root_type
,COMPAÑIAS AFILIADAS Y RELACIONADAS,,group,,1,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS,missing_root_type
,"ACCESORIOS AMD COMPUTADORAS,C.A.",,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS,,,,"ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS / ACCESORIOS AMD COMPUTADORAS,C.A.",missing_root_type
,"AMD COMPUTER SHOP, C.A.",,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS,,,,"ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS / AMD COMPUTER SHOP, C.A.",missing_root_type
,"COMERCIALIZADORA JGV 3000, C.A.",,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS,,,,"ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS / COMERCIALIZADORA JGV 3000, C.A.",missing_root_type
,"COMERCIALIZADORA LVG ELECTRONIC, C.A.",,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS,,,,"ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS / COMERCIALIZADORA LVG ELECTRONIC, C.A.",missing_root_type
,"COMERCIALIZADORA M321,C.A.",,unspecified,,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS,,,,"ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS / COMERCIALIZADORA M321,C.A.",missing_root_type
,CUENTAS POR COBRAR ACCIONISTAS,,group,,1,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR ACCIONISTAS,missing_root_type
