code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Assets,asset,group,debit,1,,,,,,Assets,
,Current Assets,asset,group,debit,1,,Assets,,,,Assets / Current Assets,
,Accounts Receivable,asset,receivable,debit,1,,Assets / Current Assets,Receivable,,,Assets / Current Assets / Accounts Receivable,
,Corporate Credit Cards,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Corporate Credit Cards,
,Other Receivable,asset,receivable,debit,1,,Assets / Current Assets / Accounts Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Other Receivable,
,Accrued Rebates Due from Suppliers,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable / Other Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Other Receivable / Accrued Rebates Due from Suppliers,
,Accrued Income from Suppliers,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable / Other Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Other Receivable / Accrued Income from Suppliers,
,Other Debtors,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable / Other Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Other Receivable / Other Debtors,
,Post Dated Cheques Received,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Post Dated Cheques Received,
,Staff Receivable,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Staff Receivable,
,Trade Receivable,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Trade Receivable,
,Trade in Opening Fees,asset,receivable,debit,0,receivables,Assets / Current Assets / Accounts Receivable,Receivable,,,Assets / Current Assets / Accounts Receivable / Trade in Opening Fees,
,Cash in Hand & Banks,asset,group,debit,1,,Assets / Current Assets,,,,Assets / Current Assets / Cash in Hand & Banks,
,Banks,asset,bank,debit,1,,Assets / Current Assets / Cash in Hand & Banks,Bank,,,Assets / Current Assets / Cash in Hand & Banks / Banks,
,Bank Margin On LC & LG,asset,unspecified,debit,0,,Assets / Current Assets / Cash in Hand & Banks / Banks,,,,Assets / Current Assets / Cash in Hand & Banks / Banks / Bank Margin On LC & LG,
,Banks Blocked Deposits,asset,unspecified,debit,0,,Assets / Current Assets / Cash in Hand & Banks / Banks,,,,Assets / Current Assets / Cash in Hand & Banks / Banks / Banks Blocked Deposits,
,Banks Call Deposit Accounts,asset,unspecified,debit,0,,Assets / Current Assets / Cash in Hand & Banks / Banks,,,,Assets / Current Assets / Cash in Hand & Banks / Banks / Banks Call Deposit Accounts,
,Banks Current Accounts,asset,bank,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Banks,Bank,,,Assets / Current Assets / Cash in Hand & Banks / Banks / Banks Current Accounts,
,Cash in Hand,asset,cash,debit,1,,Assets / Current Assets / Cash in Hand & Banks,Cash,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand,
,Cash in Safe,asset,group,debit,1,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand,,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Cash in Safe,
,Main Safe,asset,cash,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Cash in Safe,Cash,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Cash in Safe / Main Safe,
,Main Safe - Foreign Currency,asset,cash,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Cash in Safe,Cash,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Cash in Safe / Main Safe - Foreign Currency,
,Petty Cash,asset,group,debit,1,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand,,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Petty Cash,
,Petty Cash - Administration,asset,cash,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Petty Cash,Cash,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Petty Cash / Petty Cash - Administration,
,Petty Cash - Others,asset,cash,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Petty Cash,Cash,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Hand / Petty Cash / Petty Cash - Others,
,Cash in Transit,asset,group,debit,1,,Assets / Current Assets / Cash in Hand & Banks,,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit,
,Credit Cards,asset,group,debit,1,,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit,,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards,
,Gateway Credit Cards,asset,bank,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards,Bank,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards / Gateway Credit Cards,
,Manual Visa & Master Cards,asset,bank,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards,Bank,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards / Manual Visa & Master Cards,
,PayPal Account,asset,bank,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards,Bank,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards / PayPal Account,
,Visa & Master Credit Cards,asset,bank,debit,0,cash_bank,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards,Bank,,,Assets / Current Assets / Cash in Hand & Banks / Cash in Transit / Credit Cards / Visa & Master Credit Cards,
,Inventory,asset,group,debit,1,,Assets / Current Assets,,,,Assets / Current Assets / Inventory,
,Consigned Stock,asset,group,debit,1,,Assets / Current Assets / Inventory,,,,Assets / Current Assets / Inventory / Consigned Stock,
,Handling Difference in Inventory,asset,unspecified,debit,0,,Assets / Current Assets / Inventory / Consigned Stock,,,,Assets / Current Assets / Inventory / Consigned Stock / Handling Difference in Inventory,
,Items Delivered to Customs on temporary Base,asset,unspecified,debit,0,,Assets / Current Assets / Inventory / Consigned Stock,,,,Assets / Current Assets / Inventory / Consigned Stock / Items Delivered to Customs on temporary Base,
,Stock in Hand,asset,inventory,debit,0,,Assets / Current Assets / Inventory,Stock,,,Assets / Current Assets / Inventory / Stock in Hand,
,Preliminary and Preoperating Expenses,asset,group,debit,1,,Assets / Current Assets,,,,Assets / Current Assets / Preliminary and Preoperating Expenses,
,Preoperating Expenses,asset,unspecified,debit,0,,Assets / Current Assets / Preliminary and Preoperating Expenses,,,,Assets / Current Assets / Preliminary and Preoperating Expenses / Preoperating Expenses,
,Prepayments & Deposits,asset,group,debit,1,,Assets / Current Assets,,,,Assets / Current Assets / Prepayments & Deposits,
,Deposits,asset,group,debit,1,,Assets / Current Assets / Prepayments & Deposits,,,,Assets / Current Assets / Prepayments & Deposits / Deposits,
,Deposit - Office Rent,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Deposits,,,,Assets / Current Assets / Prepayments & Deposits / Deposits / Deposit - Office Rent,
,Deposit Others,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Deposits,,,,Assets / Current Assets / Prepayments & Deposits / Deposits / Deposit Others,
,Deposit to Immigration (Visa),asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Deposits,,,,Assets / Current Assets / Prepayments & Deposits / Deposits / Deposit to Immigration (Visa),
,Deposits - Customs,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Deposits,,,,Assets / Current Assets / Prepayments & Deposits / Deposits / Deposits - Customs,
,Prepaid Taxes,asset,group,debit,1,,Assets / Current Assets / Prepayments & Deposits,,,,Assets / Current Assets / Prepayments & Deposits / Prepaid Taxes,
,Sales Taxes Receivables,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepaid Taxes,,,,Assets / Current Assets / Prepayments & Deposits / Prepaid Taxes / Sales Taxes Receivables,
,Withholding Tax Receivables,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepaid Taxes,,,,Assets / Current Assets / Prepayments & Deposits / Prepaid Taxes / Withholding Tax Receivables,
,Prepayments,asset,group,debit,1,,Assets / Current Assets / Prepayments & Deposits,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments,
,Other Prepayments,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Other Prepayments,
,PrePaid Advertisement Expenses,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / PrePaid Advertisement Expenses,
,Prepaid Bank Guarantee,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Bank Guarantee,
,Prepaid Consultancy Fees,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Consultancy Fees,
,Prepaid Employees Housing,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Employees Housing,
,Prepaid Finance charge for Loans,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Finance charge for Loans,
,Prepaid Legal Fees,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Legal Fees,
,Prepaid License Fees,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid License Fees,
,Prepaid Life Insurance,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Life Insurance,
,Prepaid Maintenance,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Maintenance,
,Prepaid Medical Insurance,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Medical Insurance,
,Prepaid Office Rent,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Office Rent,
,Prepaid Other Insurance,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Other Insurance,
,Prepaid Schooling Fees,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Schooling Fees,
,Prepaid Site Hosting Fees,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Site Hosting Fees,
,Prepaid Sponsorship Fees,asset,unspecified,debit,0,,Assets / Current Assets / Prepayments & Deposits / Prepayments,,,,Assets / Current Assets / Prepayments & Deposits / Prepayments / Prepaid Sponsorship Fees,
,Long Term Assets,asset,group,debit,1,,Assets,,,,Assets / Long Term Assets,
,Fixed Assets,asset,group,debit,1,,Assets / Long Term Assets,,,,Assets / Long Term Assets / Fixed Assets,
,Accumulated Depreciation,asset,accumulated_depreciation,credit,1,,Assets / Long Term Assets / Fixed Assets,Accumulated Depreciation,,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation,contra
,Acc. Depreciation of Motor Vehicles,asset,accumulated_depreciation,credit,0,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation / Acc. Depreciation of Motor Vehicles,contra
,Acc. Deprn.Computer Hardware & Software,asset,accumulated_depreciation,credit,0,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation / Acc. Deprn.Computer Hardware & Software,contra
,Acc.Deprn.of Furniture & Office Equipment,asset,accumulated_depreciation,credit,0,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation / Acc.Deprn.of Furniture & Office Equipment,contra
,Amortisation on Leasehold Improvement,asset,accumulated_depreciation,credit,0,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Long Term Assets / Fixed Assets / Accumulated Depreciation / Amortisation on Leasehold Improvement,contra
,Fixed Assets (Cost Price),asset,fixed_asset,debit,1,,Assets / Long Term Assets / Fixed Assets,Fixed Asset,,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price),
,Computer Hardware & Software,asset,fixed_asset,debit,0,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price),Fixed Asset,,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price) / Computer Hardware & Software,
,Furniture and Equipment,asset,fixed_asset,debit,0,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price),Fixed Asset,,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price) / Furniture and Equipment,
,Leasehold Improvement,asset,unspecified,debit,0,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price),,,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price) / Leasehold Improvement,
,Motor Vehicles,asset,fixed_asset,debit,0,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price),Fixed Asset,,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price) / Motor Vehicles,
,Work In Progress,asset,unspecified,debit,0,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price),,,,Assets / Long Term Assets / Fixed Assets / Fixed Assets (Cost Price) / Work In Progress,
