code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1.0.0.00.00,ACTIVO,asset,group,debit,1,,,,,,ACTIVO,
1.1.0.00.00,ACTIVO CORRIENTE,asset,group,debit,1,,ACTIVO,,,,ACTIVO / ACTIVO CORRIENTE,
1.1.1.00.00,CAJA Y BANCOS,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS,
1.1.1.02.00,BANCOS,asset,bank,debit,1,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS,Bank,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / BANCOS,
1.1.1.02.01,Banco de la Nación Argentina(ejemplo) c/c en,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / BANCOS,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / BANCOS / Banco de la Nación Argentina(ejemplo) c/c en,
1.1.1.02.03,Banco del exterior,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / BANCOS,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / BANCOS / Banco del exterior,
1.1.1.01.00,CAJAS,asset,cash,debit,1,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS,Cash,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS,
1.1.1.01.01,Caja,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS / Caja,
1.1.1.01.02,Caja chica,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS / Caja chica,
1.1.1.01.03,Caja en Moneda Extranjera,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS / Caja en Moneda Extranjera,
1.1.1.01.05,Tarjetas - Cupones,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS / Tarjetas - Cupones,
1.1.1.01.04,Valores a depositar,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS,,,,ACTIVO / ACTIVO CORRIENTE / CAJA Y BANCOS / CAJAS / Valores a depositar,
1.1.3.00.00,CRÉDITOS POR VENTAS DE SERVICIOS,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE,,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS,
1.1.3.01.00,DEUDORES EN CTA. CTE,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS,,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE,
1.1.3.01.03,Deudores Morosos,asset,chargeable,debit,0,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE,Chargeable,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE / Deudores Morosos,
1.1.3.01.02,Deudores del exterior,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE,Receivable,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE / Deudores del exterior,
1.1.3.01.04,Deudores en Gestión Judicial,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE,,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE / Deudores en Gestión Judicial,
1.1.3.01.01,Deudores locales,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE,Receivable,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / DEUDORES EN CTA. CTE / Deudores locales,
1.1.3.02.00,Documentos a cobrar por Vas. de Servicios,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS,Receivable,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / Documentos a cobrar por Vas. de Servicios,
1.1.3.03.00,Previsión para deudores incobrables,asset,unspecified,debit,0,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS,,,,ACTIVO / ACTIVO CORRIENTE / CRÉDITOS POR VENTAS DE SERVICIOS / Previsión para deudores incobrables,
1.1.6.00.00,INVENTARIOS,asset,inventory,debit,1,,ACTIVO / ACTIVO CORRIENTE,Stock,,,ACTIVO / ACTIVO CORRIENTE / INVENTARIOS,
1.1.2.00.00,INVERSIONES TEMPORARIAS,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE,,,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS,
1.1.2.02.00,DEPÓSITOS A PLAZO FIJO,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS,,,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / DEPÓSITOS A PLAZO FIJO,
1.1.2.02.02,Depósitos a Plazo Fijo en moneda,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / DEPÓSITOS A PLAZO FIJO,Receivable,,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / DEPÓSITOS A PLAZO FIJO / Depósitos a Plazo Fijo en moneda,
1.1.2.02.01,Depósitos a Plazo Fijo en pesos,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / DEPÓSITOS A PLAZO FIJO,Receivable,,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / DEPÓSITOS A PLAZO FIJO / Depósitos a Plazo Fijo en pesos,
1.1.2.01.00,INVERSIONES EN ACCIONES,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS,,,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / INVERSIONES EN ACCIONES,
1.1.2.01.01,Acciones,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / INVERSIONES EN ACCIONES,Receivable,,,ACTIVO / ACTIVO CORRIENTE / INVERSIONES TEMPORARIAS / INVERSIONES EN ACCIONES / Acciones,
1.1.5.00.00,OTROS ACTIVOS CORRIENTES,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE,,,,ACTIVO / ACTIVO CORRIENTE / OTROS ACTIVOS CORRIENTES,
1.1.4.00.00,OTROS CRÉDITOS CORRIENTES,asset,group,debit,1,,ACTIVO / ACTIVO CORRIENTE,,,,ACTIVO / ACTIVO CORRIENTE / OTROS CRÉDITOS CORRIENTES,
