code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Assets,asset,group,debit,1,,,,,,Assets,
11,Current Assets,asset,group,debit,1,,Assets,,,,Assets / Current Assets,
110,Cash On Hand,asset,group,debit,1,,Assets / Current Assets,,,,Assets / Current Assets / Cash On Hand,
11010,Cash On Hand,asset,cash,debit,0,cash_bank,Assets / Current Assets / Cash On Hand,Cash,,,Assets / Current Assets / Cash On Hand / Cash On Hand,
115,Cash at Bank,asset,bank,debit,1,,Assets / Current Assets,Bank,,,Assets / Current Assets / Cash at Bank,
11510,Every Day Bank Account,asset,bank,debit,0,cash_bank,Assets / Current Assets / Cash at Bank,Bank,,,Assets / Current Assets / Cash at Bank / Every Day Bank Account,
11520,Business Savings Account,asset,unspecified,debit,0,,Assets / Current Assets / Cash at Bank,,,,Assets / Current Assets / Cash at Bank / Business Savings Account,
11530,Business Term Deposit,asset,unspecified,debit,0,,Assets / Current Assets / Cash at Bank,,,,Assets / Current Assets / Cash at Bank / Business Term Deposit,
120,Trade Receivables,asset,group,debit,1,,Assets / Current Assets,,,,Assets / Current Assets / Trade Receivables,
12010,Trade Debtors,asset,receivable,debit,0,receivables,Assets / Current Assets / Trade Receivables,Receivable,,,Assets / Current Assets / Trade Receivables / Trade Debtors,
12020,Provision for Doubtful Debts,asset,unspecified,debit,0,,Assets / Current Assets / Trade Receivables,,,,Assets / Current Assets / Trade Receivables / Provision for Doubtful Debts,
12030,Sundry Debtors,asset,unspecified,debit,0,,Assets / Current Assets / Trade Receivables,,,,Assets / Current Assets / Trade Receivables / Sundry Debtors,
12040,Debtor Refund,asset,unspecified,debit,0,,Assets / Current Assets / Trade Receivables,,,,Assets / Current Assets / Trade Receivables / Debtor Refund,
130,Inventory,asset,group,debit,1,,Assets / Current Assets,,,,Assets / Current Assets / Inventory,
13010,Stock On Hand,asset,inventory,debit,0,,Assets / Current Assets / Inventory,Stock,,,Assets / Current Assets / Inventory / Stock On Hand,
