code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,KLASSE 1 : EIGEN VERMOGEN,equity,group,credit,1,,,,,,KLASSE 1 : EIGEN VERMOGEN,
10,Kapitaal,equity,equity,credit,1,,KLASSE 1 : EIGEN VERMOGEN,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Kapitaal,
100,Geplaatst kapitaal,equity,equity,credit,0,,KLASSE 1 : EIGEN VERMOGEN / Kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Kapitaal / Geplaatst kapitaal,
101,Niet opgevraagd kapitaal (-),equity,equity,credit,0,,KLASSE 1 : EIGEN VERMOGEN / Kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Kapitaal / Niet opgevraagd kapitaal (-),
11,Inbreng buiten kapitaal,equity,equity,credit,1,,KLASSE 1 : EIGEN VERMOGEN,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal,
110,Beschikbare inbreng buiten kapitaal,equity,equity,credit,1,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Beschikbare inbreng buiten kapitaal,
1100,Uitgiftepremie,equity,equity,credit,0,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Beschikbare inbreng buiten kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Beschikbare inbreng buiten kapitaal / Uitgiftepremie,
1109,Andere,equity,equity,credit,0,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Beschikbare inbreng buiten kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Beschikbare inbreng buiten kapitaal / Andere,
111,Onbeschikbare inbreng buiten kapitaal,equity,equity,credit,1,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Onbeschikbare inbreng buiten kapitaal,
1110,Uitgiftepremie,equity,equity,credit,0,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Onbeschikbare inbreng buiten kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Onbeschikbare inbreng buiten kapitaal / Uitgiftepremie,
1119,Andere,equity,equity,credit,0,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Onbeschikbare inbreng buiten kapitaal,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Inbreng buiten kapitaal / Onbeschikbare inbreng buiten kapitaal / Andere,
12,Herwaarderingsmeerwaarden,equity,equity,credit,1,,KLASSE 1 : EIGEN VERMOGEN,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Herwaarderingsmeerwaarden,
120,Herwaarderingsmeerwaarden op immateriële vaste activa,equity,equity,credit,0,,KLASSE 1 : EIGEN VERMOGEN / Herwaarderingsmeerwaarden,Equity,,,KLASSE 1 : EIGEN VERMOGEN / Herwaarderingsmeerwaarden / Herwaarderingsmeerwaarden op immateriële vaste activa,
