code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS,equity,group,credit,1,,,,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS,
10,Fondsen van de vereniging of stichting,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Fondsen van de vereniging of stichting,
12,Herwaarderingsmeerwaarden,equity,equity,credit,1,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden,
120,Herwaarderingsmeerwaarden op immateriële vaste activa,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden / Herwaarderingsmeerwaarden op immateriële vaste activa,
121,Herwaarderingsmeerwaarden op materiële vaste activa,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden / Herwaarderingsmeerwaarden op materiële vaste activa,
122,Herwaarderingsmeerwaarden op financiële vaste activa,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden / Herwaarderingsmeerwaarden op financiële vaste activa,
124,Terugneming van waardeverminderingen op geldbeleggingen,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Herwaarderingsmeerwaarden / Terugneming van waardeverminderingen op geldbeleggingen,
13,Bestemde fondsen en andere reserves,equity,equity,credit,1,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Bestemde fondsen en andere reserves,
130,Fondsen bestemd voor investeringen,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Bestemde fondsen en andere reserves,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Bestemde fondsen en andere reserves / Fondsen bestemd voor investeringen,
131,Fondsen bestemd voor sociaal passief,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Bestemde fondsen en andere reserves,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Bestemde fondsen en andere reserves / Fondsen bestemd voor sociaal passief,
132,Belastingvrije reserves,equity,equity,credit,0,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Bestemde fondsen en andere reserves,Equity,,,KLASSE 1 : VERENIGINGSFONDS EN STICHTINGSFONDS / Bestemde fondsen en andere reserves / Belastingvrije reserves,
