code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION,equity,group,credit,1,,,,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION,
10,Fonds de l'association ou de la fondation,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds de l'association ou de la fondation,
12,Plus-values de réévaluation,equity,equity,credit,1,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation,
120,Plus-values de réévaluation sur immobilisations incorporelles,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation / Plus-values de réévaluation sur immobilisations incorporelles,
121,Plus-values de réévaluation sur immobilisations corporelles,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation / Plus-values de réévaluation sur immobilisations corporelles,
122,Plus-values de réévaluation sur immobilisations financières,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation / Plus-values de réévaluation sur immobilisations financières,
124,Reprises de réductions de valeur sur placements de trésorerie,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Plus-values de réévaluation / Reprises de réductions de valeur sur placements de trésorerie,
13,Fonds affectés et autres réserves,equity,equity,credit,1,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves,
130,Fonds affectés pour investissements,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves / Fonds affectés pour investissements,
131,Fonds affectés pour passif social,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves / Fonds affectés pour passif social,
132,Réserves immunisées,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves / Réserves immunisées,
139,Autres fonds affectés et autres réserves,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Fonds affectés et autres réserves / Autres fonds affectés et autres réserves,
14,Résultats reportés (+)(-),equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Résultats reportés (+)(-),
15,Subsides en capital,equity,equity,credit,0,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION,Equity,,,CLASSE 1 : FONDS ASSOCIATIFS ET DE LA FONDATION / Subsides en capital,
,CLASSE 1 : PROVISIONS ET DETTES À PLUS D'UN AN,liability,group,credit,1,,,,,,CLASSE 1 : PROVISIONS ET DETTES À PLUS D'UN AN,
