code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ATIVO,asset,group,debit,1,,,,,,ATIVO,
,CIRCULANTE 1,asset,group,debit,1,,ATIVO,,,,ATIVO / CIRCULANTE 1,
,CONTAS RETIFICADORAS,asset,group,debit,1,,ATIVO / CIRCULANTE 1,,,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS,
,(-) Duplicatas Descontadas,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS,,,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS / (-) Duplicatas Descontadas,
,(-) Outras Contas Retificadoras,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS,,,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS / (-) Outras Contas Retificadoras,
,(-) Provisão para Ajuste do Estoque ao Valor de Mercado,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS,,,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS / (-) Provisão para Ajuste do Estoque ao Valor de Mercado,
,(-) Provisões para Ajuste ao Valor Provável de Realização,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS,,,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS / (-) Provisões para Ajuste ao Valor Provável de Realização,
,(-) Provisões para Créditos de Liquidação Duvidosa,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS,,,,ATIVO / CIRCULANTE 1 / CONTAS RETIFICADORAS / (-) Provisões para Créditos de Liquidação Duvidosa,
,CRÉDITOS,asset,group,debit,1,,ATIVO / CIRCULANTE 1,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS,
,Adiantamentos a Fornecedores,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Adiantamentos a Fornecedores,
,CSLL a Recuperar,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / CSLL a Recuperar,
,Clientes,asset,receivable,debit,0,receivables,ATIVO / CIRCULANTE 1 / CRÉDITOS,Receivable,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Clientes,
,Créditos Fiscais CSLL – Diferenças Temporárias e Base de Cálculo Negativa,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Créditos Fiscais CSLL – Diferenças Temporárias e Base de Cálculo Negativa,
,Créditos Fiscais IRPJ – Diferenças Temporárias e Prejuízos Fiscais,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Créditos Fiscais IRPJ – Diferenças Temporárias e Prejuízos Fiscais,
,Créditos por Contribuições e Doações,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Créditos por Contribuições e Doações,
,ICMS e Contribuições a Recuperar,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / ICMS e Contribuições a Recuperar,
,IPI a Recuperar,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / IPI a Recuperar,
,Imposto de Renda a Recuperar,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Imposto de Renda a Recuperar,
,Outras 9,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Outras 9,
,Outros Impostos e Contribuições a Recuperar,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Outros Impostos e Contribuições a Recuperar,
,PIS e COFINS a Recuperar,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / PIS e COFINS a Recuperar,
,Tributos Municipais a Recuperar,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / CRÉDITOS,,,,ATIVO / CIRCULANTE 1 / CRÉDITOS / Tributos Municipais a Recuperar,
,DESPESAS DO EXERCÍCIO SEGUINTE,asset,group,debit,1,,ATIVO / CIRCULANTE 1,,,,ATIVO / CIRCULANTE 1 / DESPESAS DO EXERCÍCIO SEGUINTE,
,Despesas do Exercício Seguinte 1,asset,unspecified,debit,0,,ATIVO / CIRCULANTE 1 / DESPESAS DO EXERCÍCIO SEGUINTE,,,,ATIVO / CIRCULANTE 1 / DESPESAS DO EXERCÍCIO SEGUINTE / Despesas do Exercício Seguinte 1,
