code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Actif,asset,group,debit,1,,,,,,Actif,
,Actif à court terme,asset,group,debit,1,,Actif,,,,Actif / Actif à court terme,
,Avances,asset,group,debit,1,,Actif / Actif à court terme,,,,Actif / Actif à court terme / Avances,
,Avances aux actionnaires,asset,unspecified,debit,0,,Actif / Actif à court terme / Avances,,,,Actif / Actif à court terme / Avances / Avances aux actionnaires,
,Avances aux employés,asset,unspecified,debit,0,,Actif / Actif à court terme / Avances,,,,Actif / Actif à court terme / Avances / Avances aux employés,
,Avances sur commissions,asset,unspecified,debit,0,,Actif / Actif à court terme / Avances,,,,Actif / Actif à court terme / Avances / Avances sur commissions,
,Banque,asset,bank,debit,1,,Actif / Actif à court terme,Bank,,,Actif / Actif à court terme / Banque,
,Comptes à recevoir,asset,group,debit,1,,Actif / Actif à court terme,,,,Actif / Actif à court terme / Comptes à recevoir,
,Comptes clients,asset,receivable,debit,0,receivables,Actif / Actif à court terme / Comptes à recevoir,Receivable,,,Actif / Actif à court terme / Comptes à recevoir / Comptes clients,
,Provision pour créances douteuses,asset,unspecified,debit,0,,Actif / Actif à court terme / Comptes à recevoir,,,,Actif / Actif à court terme / Comptes à recevoir / Provision pour créances douteuses,
,Encaisse,asset,group,debit,1,,Actif / Actif à court terme,,,,Actif / Actif à court terme / Encaisse,
,Frais payés d’avance,asset,group,debit,1,,Actif / Actif à court terme,,,,Actif / Actif à court terme / Frais payés d’avance,
,Assurances payés d'avance,asset,unspecified,debit,0,,Actif / Actif à court terme / Frais payés d’avance,,,,Actif / Actif à court terme / Frais payés d’avance / Assurances payés d'avance,
,Publicité payé d'avance,asset,unspecified,debit,0,,Actif / Actif à court terme / Frais payés d’avance,,,,Actif / Actif à court terme / Frais payés d’avance / Publicité payé d'avance,
,Taxes payés d'avance,asset,unspecified,debit,0,,Actif / Actif à court terme / Frais payés d’avance,,,,Actif / Actif à court terme / Frais payés d’avance / Taxes payés d'avance,
,Petite caisse,asset,cash,debit,1,,Actif / Actif à court terme,Cash,,,Actif / Actif à court terme / Petite caisse,
,Stocks,asset,inventory,debit,1,,Actif / Actif à court terme,Stock,,,Actif / Actif à court terme / Stocks,
,Matières premières,asset,unspecified,debit,0,,Actif / Actif à court terme / Stocks,,,,Actif / Actif à court terme / Stocks / Matières premières,
,Stock de produits fini,asset,inventory,debit,0,,Actif / Actif à court terme / Stocks,Stock,,,Actif / Actif à court terme / Stocks / Stock de produits fini,
,Stock expédié non-facturé,asset,unspecified,debit,0,,Actif / Actif à court terme / Stocks,,,,Actif / Actif à court terme / Stocks / Stock expédié non-facturé,
,Travaux en cours,asset,unspecified,debit,0,,Actif / Actif à court terme / Stocks,,,,Actif / Actif à court terme / Stocks / Travaux en cours,
,Subventions à recevoir,asset,unspecified,debit,0,,Actif / Actif à court terme,,,,Actif / Actif à court terme / Subventions à recevoir,
,TRÉSORERIE OU ÉQUIVALENTS DE TRÉSORERIE,asset,unspecified,debit,0,,Actif / Actif à court terme,,,,Actif / Actif à court terme / TRÉSORERIE OU ÉQUIVALENTS DE TRÉSORERIE,
,Taxes à recevoir,asset,group,debit,1,,Actif / Actif à court terme,,,,Actif / Actif à court terme / Taxes à recevoir,
,TPS à recevoir,asset,unspecified,debit,0,,Actif / Actif à court terme / Taxes à recevoir,,,,Actif / Actif à court terme / Taxes à recevoir / TPS à recevoir,
,TVH à recevoir,asset,group,debit,1,,Actif / Actif à court terme / Taxes à recevoir,,,,Actif / Actif à court terme / Taxes à recevoir / TVH à recevoir,
,TVH à recevoir - 13%,asset,unspecified,debit,0,,Actif / Actif à court terme / Taxes à recevoir / TVH à recevoir,,,,Actif / Actif à court terme / Taxes à recevoir / TVH à recevoir / TVH à recevoir - 13%,
,TVH à recevoir - 14%,asset,unspecified,debit,0,,Actif / Actif à court terme / Taxes à recevoir / TVH à recevoir,,,,Actif / Actif à court terme / Taxes à recevoir / TVH à recevoir / TVH à recevoir - 14%,
,TVH à recevoir - 15%,asset,unspecified,debit,0,,Actif / Actif à court terme / Taxes à recevoir / TVH à recevoir,,,,Actif / Actif à court terme / Taxes à recevoir / TVH à recevoir / TVH à recevoir - 15%,
,TVP/TVQ à recevoir,asset,unspecified,debit,0,,Actif / Actif à court terme / Taxes à recevoir,,,,Actif / Actif à court terme / Taxes à recevoir / TVP/TVQ à recevoir,
,Autres actifs,asset,group,debit,1,,Actif,,,,Actif / Autres actifs,
,Frais de premier établissement,asset,unspecified,debit,0,,Actif / Autres actifs,,,,Actif / Autres actifs / Frais de premier établissement,
,Achalandage,asset,unspecified,debit,0,,Actif / Autres actifs,,,,Actif / Autres actifs / Achalandage,
,"Brevets, droits",asset,unspecified,debit,0,,Actif / Autres actifs,,,,"Actif / Autres actifs / Brevets, droits",
,Frais de recherche et de développement - actif,asset,unspecified,debit,0,,Actif / Autres actifs,,,,Actif / Autres actifs / Frais de recherche et de développement - actif,
,Immobilisations,asset,fixed_asset,debit,1,,Actif,Fixed Asset,,,Actif / Immobilisations,
,Amortissement accumulé - bâtiment,asset,unspecified,debit,0,,Actif / Immobilisations,,,,Actif / Immobilisations / Amortissement accumulé - bâtiment,
