code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Aktiven,asset,group,debit,1,,,,,,Aktiven,
10,Umlaufvermögen,asset,group,debit,1,,Aktiven,,,,Aktiven / Umlaufvermögen,
100,Flüssige Mittel,asset,group,debit,1,,Aktiven / Umlaufvermögen,,,,Aktiven / Umlaufvermögen / Flüssige Mittel,
1000,Kasse,asset,cash,debit,0,cash_bank,Aktiven / Umlaufvermögen / Flüssige Mittel,Cash,,,Aktiven / Umlaufvermögen / Flüssige Mittel / Kasse,
1020,Bankguthaben,asset,bank,debit,0,cash_bank,Aktiven / Umlaufvermögen / Flüssige Mittel,Bank,,,Aktiven / Umlaufvermögen / Flüssige Mittel / Bankguthaben,
106,Kurzfristig gehaltene Aktiven mit Börsenkurs,asset,group,debit,1,,Aktiven / Umlaufvermögen,,,,Aktiven / Umlaufvermögen / Kurzfristig gehaltene Aktiven mit Börsenkurs,
1060,Wertschriften,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Kurzfristig gehaltene Aktiven mit Börsenkurs,,,,Aktiven / Umlaufvermögen / Kurzfristig gehaltene Aktiven mit Börsenkurs / Wertschriften,
1069,Wertberichtigungen Wertschriften,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Kurzfristig gehaltene Aktiven mit Börsenkurs,,,,Aktiven / Umlaufvermögen / Kurzfristig gehaltene Aktiven mit Börsenkurs / Wertberichtigungen Wertschriften,
110,Forderungen aus Lieferungen und Leistungen,asset,group,debit,1,,Aktiven / Umlaufvermögen,,,,Aktiven / Umlaufvermögen / Forderungen aus Lieferungen und Leistungen,
1100,Forderungen aus Lieferungen und Leistungen (Debitoren),asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Forderungen aus Lieferungen und Leistungen,,,,Aktiven / Umlaufvermögen / Forderungen aus Lieferungen und Leistungen / Forderungen aus Lieferungen und Leistungen (Debitoren),
1109,Delkredere,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Forderungen aus Lieferungen und Leistungen,,,,Aktiven / Umlaufvermögen / Forderungen aus Lieferungen und Leistungen / Delkredere,
114,Übrige kurzfristige Forderungen,asset,group,debit,1,,Aktiven / Umlaufvermögen,,,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,
1140,Vorschüsse und Darlehen,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,,,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen / Vorschüsse und Darlehen,
1149,Wertberichtigungen Vorschüsse und Darlehen,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,,,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen / Wertberichtigungen Vorschüsse und Darlehen,
1170,"Vorsteuer MWST Material, Waren, Dienstleistungen, Energie",asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,,,,"Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen / Vorsteuer MWST Material, Waren, Dienstleistungen, Energie",
1171,"Vorsteuer MWST Investitionen, übriger Betriebsaufwand",asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,,,,"Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen / Vorsteuer MWST Investitionen, übriger Betriebsaufwand",
1176,Verrechnungssteuer,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,,,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen / Verrechnungssteuer,
1180,Forderungen gegenüber Sozialversicherungen und Vorsorgeeinrichtungen,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,,,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen / Forderungen gegenüber Sozialversicherungen und Vorsorgeeinrichtungen,
1189,Quellensteuer,asset,unspecified,debit,0,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen,,,,Aktiven / Umlaufvermögen / Übrige kurzfristige Forderungen / Quellensteuer,
