code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Activo,asset,group,debit,1,,,,,,Activo,
11,Disponible,asset,group,debit,1,,Activo,,,,Activo / Disponible,
1105,Caja,asset,cash,debit,1,,Activo / Disponible,Cash,,,Activo / Disponible / Caja,
110505,Caja general,asset,cash,debit,0,cash_bank,Activo / Disponible / Caja,Cash,,,Activo / Disponible / Caja / Caja general,
110510,Cajas menores,asset,cash,debit,0,cash_bank,Activo / Disponible / Caja,Cash,,,Activo / Disponible / Caja / Cajas menores,
110515,Moneda extranjera,asset,cash,debit,0,cash_bank,Activo / Disponible / Caja,Cash,,,Activo / Disponible / Caja / Moneda extranjera,
1110,Bancos,asset,bank,debit,1,,Activo / Disponible,Bank,,,Activo / Disponible / Bancos,
111005,Moneda nacional,asset,bank,debit,0,cash_bank,Activo / Disponible / Bancos,Bank,,,Activo / Disponible / Bancos / Moneda nacional,
111010,Moneda extranjera,asset,bank,debit,0,cash_bank,Activo / Disponible / Bancos,Bank,,,Activo / Disponible / Bancos / Moneda extranjera,
1115,Remesas en tránsito,asset,group,debit,1,,Activo / Disponible,,,,Activo / Disponible / Remesas en tránsito,
111505,Moneda nacional,asset,unspecified,debit,0,,Activo / Disponible / Remesas en tránsito,,,,Activo / Disponible / Remesas en tránsito / Moneda nacional,
111510,Moneda extranjera,asset,unspecified,debit,0,,Activo / Disponible / Remesas en tránsito,,,,Activo / Disponible / Remesas en tránsito / Moneda extranjera,
1120,Cuentas de ahorro,asset,group,debit,1,,Activo / Disponible,,,,Activo / Disponible / Cuentas de ahorro,
112005,Bancos,asset,unspecified,debit,0,,Activo / Disponible / Cuentas de ahorro,,,,Activo / Disponible / Cuentas de ahorro / Bancos,
112010,Corporaciones de ahorro y vivienda,asset,unspecified,debit,0,,Activo / Disponible / Cuentas de ahorro,,,,Activo / Disponible / Cuentas de ahorro / Corporaciones de ahorro y vivienda,
112015,Organismos cooperativos financieros,asset,unspecified,debit,0,,Activo / Disponible / Cuentas de ahorro,,,,Activo / Disponible / Cuentas de ahorro / Organismos cooperativos financieros,
1125,Fondos,asset,group,debit,1,,Activo / Disponible,,,,Activo / Disponible / Fondos,
112505,Rotatorios moneda nacional,asset,unspecified,debit,0,,Activo / Disponible / Fondos,,,,Activo / Disponible / Fondos / Rotatorios moneda nacional,
112510,Rotatorios moneda extranjera,asset,unspecified,debit,0,,Activo / Disponible / Fondos,,,,Activo / Disponible / Fondos / Rotatorios moneda extranjera,
112515,Especiales moneda nacional,asset,unspecified,debit,0,,Activo / Disponible / Fondos,,,,Activo / Disponible / Fondos / Especiales moneda nacional,
112520,Especiales moneda extranjera,asset,unspecified,debit,0,,Activo / Disponible / Fondos,,,,Activo / Disponible / Fondos / Especiales moneda extranjera,
112525,De amortización moneda nacional,asset,unspecified,debit,0,,Activo / Disponible / Fondos,,,,Activo / Disponible / Fondos / De amortización moneda nacional,
112530,De amortización moneda extranjera,asset,unspecified,debit,0,,Activo / Disponible / Fondos,,,,Activo / Disponible / Fondos / De amortización moneda extranjera,
12,Inversiones,asset,group,debit,1,,Activo,,,,Activo / Inversiones,
1205,Acciones,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Acciones,
120505,"Agricultura, ganadería, caza y silvicultura",asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,"Activo / Inversiones / Acciones / Agricultura, ganadería, caza y silvicultura",
120510,Pesca,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Pesca,
120515,Explotación de minas y canteras,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Explotación de minas y canteras,
120520,Industria manufacturera,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Industria manufacturera,
120525,"Suministro de electricidad, gas y agua",asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,"Activo / Inversiones / Acciones / Suministro de electricidad, gas y agua",
120530,Construcción,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Construcción,
120535,Comercio al por mayor y al por menor,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Comercio al por mayor y al por menor,
120540,Hoteles y restaurantes,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Hoteles y restaurantes,
120545,"Transporte, almacenamiento y comunicaciones",asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,"Activo / Inversiones / Acciones / Transporte, almacenamiento y comunicaciones",
120550,Actividad financiera,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Actividad financiera,
120555,"Actividades inmobiliarias, empresariales y de alquiler",asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,"Activo / Inversiones / Acciones / Actividades inmobiliarias, empresariales y de alquiler",
120560,Enseñanza,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Enseñanza,
120565,Servicios sociales y de salud,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Servicios sociales y de salud,
120570,"Otras actividades de servicios comunitarios, sociales y personales",asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,"Activo / Inversiones / Acciones / Otras actividades de servicios comunitarios, sociales y personales",
120599,Ajustes por inflación,asset,unspecified,debit,0,,Activo / Inversiones / Acciones,,,,Activo / Inversiones / Acciones / Ajustes por inflación,
1210,Cuotas o partes de interés social,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Cuotas o partes de interés social,
121005,"Agricultura, ganadería, caza y silvicultura",asset,unspecified,debit,0,,Activo / Inversiones / Cuotas o partes de interés social,,,,"Activo / Inversiones / Cuotas o partes de interés social / Agricultura, ganadería, caza y silvicultura",
121010,Pesca,asset,unspecified,debit,0,,Activo / Inversiones / Cuotas o partes de interés social,,,,Activo / Inversiones / Cuotas o partes de interés social / Pesca,
121015,Explotación de minas y canteras,asset,unspecified,debit,0,,Activo / Inversiones / Cuotas o partes de interés social,,,,Activo / Inversiones / Cuotas o partes de interés social / Explotación de minas y canteras,
121020,Industria manufacturera,asset,unspecified,debit,0,,Activo / Inversiones / Cuotas o partes de interés social,,,,Activo / Inversiones / Cuotas o partes de interés social / Industria manufacturera,
121025,"Suministro de electricidad, gas y agua",asset,unspecified,debit,0,,Activo / Inversiones / Cuotas o partes de interés social,,,,"Activo / Inversiones / Cuotas o partes de interés social / Suministro de electricidad, gas y agua",
121030,Construcción,asset,unspecified,debit,0,,Activo / Inversiones / Cuotas o partes de interés social,,,,Activo / Inversiones / Cuotas o partes de interés social / Construcción,
