code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Activo,asset,group,debit,1,,,,,,Activo,
11,Disponible,asset,group,debit,1,,Activo,,,,Activo / Disponible,
1105,Caja,asset,cash,debit,1,,Activo / Disponible,Cash,,,Activo / Disponible / Caja,
1110,Bancos,asset,bank,debit,1,,Activo / Disponible,Bank,,,Activo / Disponible / Bancos,
1115,Remesas en tránsito,asset,group,debit,1,,Activo / Disponible,,,,Activo / Disponible / Remesas en tránsito,
1120,Cuentas de ahorro,asset,group,debit,1,,Activo / Disponible,,,,Activo / Disponible / Cuentas de ahorro,
1125,Fondos,asset,group,debit,1,,Activo / Disponible,,,,Activo / Disponible / Fondos,
12,Inversiones,asset,group,debit,1,,Activo,,,,Activo / Inversiones,
1205,Acciones,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Acciones,
1210,Cuotas o partes de interés social,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Cuotas o partes de interés social,
1215,Bonos,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Bonos,
1220,Cédulas,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Cédulas,
1225,Certificados,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Certificados,
1230,Papeles comerciales,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Papeles comerciales,
1235,Títulos,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Títulos,
1240,Aceptaciones bancarias o financieras,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Aceptaciones bancarias o financieras,
1245,Derechos fiduciarios,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Derechos fiduciarios,
1250,Derechos de recompra de inversiones negociadas (repos),asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Derechos de recompra de inversiones negociadas (repos),
1255,Obligatorias,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Obligatorias,
1260,Cuentas en participación,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Cuentas en participación,
1295,Otras inversiones,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Otras inversiones,
1299,Provisiones,asset,group,debit,1,,Activo / Inversiones,,,,Activo / Inversiones / Provisiones,
13,Deudores,asset,receivable,debit,1,,Activo,Receivable,,,Activo / Deudores,
1305,Clientes,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Clientes,
1310,Cuentas corrientes comerciales,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Cuentas corrientes comerciales,
1315,Cuentas por cobrar a casa matriz,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Cuentas por cobrar a casa matriz,
1320,Cuentas por cobrar a vinculados económicos,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Cuentas por cobrar a vinculados económicos,
1323,Cuentas por cobrar a directores,asset,receivable,debit,0,receivables,Activo / Deudores,Receivable,,,Activo / Deudores / Cuentas por cobrar a directores,
1325,Cuentas por cobrar a socios y accionistas,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Cuentas por cobrar a socios y accionistas,
1328,Aportes por cobrar,asset,receivable,debit,0,receivables,Activo / Deudores,Receivable,,,Activo / Deudores / Aportes por cobrar,
1330,Anticipos y avances,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Anticipos y avances,
1332,Cuentas de operación conjunta,asset,receivable,debit,0,receivables,Activo / Deudores,Receivable,,,Activo / Deudores / Cuentas de operación conjunta,
1335,Depósitos,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Depósitos,
1340,Promesas de compra venta,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Promesas de compra venta,
1345,Ingresos por cobrar,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Ingresos por cobrar,
1350,Retención sobre contratos,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Retención sobre contratos,
1355,Anticipo de impuestos y contribuciones o saldos a favor,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Anticipo de impuestos y contribuciones o saldos a favor,
1360,Reclamaciones,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Reclamaciones,
1365,Cuentas por cobrar a trabajadores,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Cuentas por cobrar a trabajadores,
1370,Préstamos a particulares,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Préstamos a particulares,
1380,Deudores varios,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Deudores varios,
1385,Derechos de recompra de cartera negociada,asset,receivable,debit,0,receivables,Activo / Deudores,Receivable,,,Activo / Deudores / Derechos de recompra de cartera negociada,
1390,Deudas de difícil cobro,asset,receivable,debit,0,receivables,Activo / Deudores,Receivable,,,Activo / Deudores / Deudas de difícil cobro,
1399,Provisiones,asset,receivable,debit,1,,Activo / Deudores,Receivable,,,Activo / Deudores / Provisiones,
14,Inventarios,asset,inventory,debit,1,,Activo,Stock,,,Activo / Inventarios,
1405,Materias primas,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Materias primas,
1410,Productos en proceso,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Productos en proceso,
1415,Obras de construcción en curso,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Obras de construcción en curso,
1417,Obras de urbanismo,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Obras de urbanismo,
1420,Contratos en ejecución,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Contratos en ejecución,
1425,Cultivos en desarrollo,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Cultivos en desarrollo,
1428,Plantaciones agrícolas,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Plantaciones agrícolas,
1430,Productos terminados,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Productos terminados,
1435,Mercancías no fabricadas por la empresa,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Mercancías no fabricadas por la empresa,
1440,Bienes raíces para la venta,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Bienes raíces para la venta,
1445,Semovientes,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Semovientes,
1450,Terrenos,asset,inventory,debit,1,,Activo / Inventarios,Stock,,,Activo / Inventarios / Terrenos,
