code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Aktiva,asset,group,debit,1,,,,,,Aktiva,
,A - Anlagevermögen,asset,group,debit,1,,Aktiva,,,,Aktiva / A - Anlagevermögen,
0027,EDV-Software,asset,fixed_asset,debit,0,,Aktiva / A - Anlagevermögen,Fixed Asset,,,Aktiva / A - Anlagevermögen / EDV-Software,
0410,Geschäftsausstattung,asset,fixed_asset,debit,0,,Aktiva / A - Anlagevermögen,Fixed Asset,,,Aktiva / A - Anlagevermögen / Geschäftsausstattung,
0420,Büroeinrichtung,asset,fixed_asset,debit,0,,Aktiva / A - Anlagevermögen,Fixed Asset,,,Aktiva / A - Anlagevermögen / Büroeinrichtung,
0565,Darlehen,asset,unspecified,debit,0,,Aktiva / A - Anlagevermögen,,,,Aktiva / A - Anlagevermögen / Darlehen,
0210,Maschinen,asset,fixed_asset,debit,0,,Aktiva / A - Anlagevermögen,Fixed Asset,,,Aktiva / A - Anlagevermögen / Maschinen,
0400,Betriebsausstattung,asset,fixed_asset,debit,0,,Aktiva / A - Anlagevermögen,Fixed Asset,,,Aktiva / A - Anlagevermögen / Betriebsausstattung,
0430,Ladeneinrichtung,asset,fixed_asset,debit,0,,Aktiva / A - Anlagevermögen,Fixed Asset,,,Aktiva / A - Anlagevermögen / Ladeneinrichtung,
,Anlagen im Bau,asset,group,debit,1,,Aktiva / A - Anlagevermögen,,,,Aktiva / A - Anlagevermögen / Anlagen im Bau,
0498,"Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau",asset,capital_work_in_progress,debit,0,,Aktiva / A - Anlagevermögen / Anlagen im Bau,Capital Work in Progress,,,"Aktiva / A - Anlagevermögen / Anlagen im Bau / Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau",
,Accumulated Depreciation,asset,accumulated_depreciation,credit,0,,Aktiva / A - Anlagevermögen,Accumulated Depreciation,,,Aktiva / A - Anlagevermögen / Accumulated Depreciation,missing_code;contra
,B - Umlaufvermögen,asset,group,debit,1,,Aktiva,,,,Aktiva / B - Umlaufvermögen,
,I. Vorräte,asset,group,debit,1,,Aktiva / B - Umlaufvermögen,,,,Aktiva / B - Umlaufvermögen / I. Vorräte,
3970,"Roh-, Hilfs- und Betriebsstoffe (Bestand)",asset,inventory,debit,0,,Aktiva / B - Umlaufvermögen / I. Vorräte,Stock,,,"Aktiva / B - Umlaufvermögen / I. Vorräte / Roh-, Hilfs- und Betriebsstoffe (Bestand)",
3980,Waren (Bestand),asset,inventory,debit,0,,Aktiva / B - Umlaufvermögen / I. Vorräte,Stock,,,Aktiva / B - Umlaufvermögen / I. Vorräte / Waren (Bestand),
,II. Forderungen und sonstige Vermögensgegenstände,asset,group,debit,1,,Aktiva / B - Umlaufvermögen,,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände,
1400,Forderungen aus Lieferungen und Leistungen mit Kontokorrent,asset,receivable,debit,1,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände,Receivable,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Forderungen aus Lieferungen und Leistungen mit Kontokorrent,
1410,Forderungen aus Lieferungen und Leistungen ohne Kontokorrent,asset,receivable,debit,0,receivables,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände,Receivable,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Forderungen aus Lieferungen und Leistungen ohne Kontokorrent,
1590,Durchlaufende Posten,asset,unspecified,debit,0,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände,,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Durchlaufende Posten,
1371,"Verrechnungskonto Gewinnermittlung § 4 Abs. 3 EStG, nicht ergebniswirksam",asset,unspecified,debit,0,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände,,,,"Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Verrechnungskonto Gewinnermittlung § 4 Abs. 3 EStG, nicht ergebniswirksam",
,Abziehbare Vorsteuer,asset,group,debit,1,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände,,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Abziehbare Vorsteuer,
1571,Abziehbare Vorsteuer 7 %,asset,tax,debit,0,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Abziehbare Vorsteuer,Tax,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Abziehbare Vorsteuer / Abziehbare Vorsteuer 7 %,
1576,Abziehbare Vorsteuer 19 %,asset,tax,debit,0,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Abziehbare Vorsteuer,Tax,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Abziehbare Vorsteuer / Abziehbare Vorsteuer 19 %,
1577,Abziehbare Vorsteuer nach § 13b UStG 19 %,asset,tax,debit,0,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Abziehbare Vorsteuer,Tax,,,Aktiva / B - Umlaufvermögen / II. Forderungen und sonstige Vermögensgegenstände / Abziehbare Vorsteuer / Abziehbare Vorsteuer nach § 13b UStG 19 %,
,III. Wertpapiere,asset,group,debit,1,,Aktiva / B - Umlaufvermögen,,,,Aktiva / B - Umlaufvermögen / III. Wertpapiere,
1340,Anteile an verbundenen Unternehmen (Umlaufvermögen),asset,unspecified,debit,0,,Aktiva / B - Umlaufvermögen / III. Wertpapiere,,,,Aktiva / B - Umlaufvermögen / III. Wertpapiere / Anteile an verbundenen Unternehmen (Umlaufvermögen),
1344,Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,asset,unspecified,debit,0,,Aktiva / B - Umlaufvermögen / III. Wertpapiere,,,,Aktiva / B - Umlaufvermögen / III. Wertpapiere / Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,
1348,Sonstige Wertpapiere,asset,unspecified,debit,0,,Aktiva / B - Umlaufvermögen / III. Wertpapiere,,,,Aktiva / B - Umlaufvermögen / III. Wertpapiere / Sonstige Wertpapiere,
,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks.",asset,group,debit,1,,Aktiva / B - Umlaufvermögen,,,,"Aktiva / B - Umlaufvermögen / IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks.",
,Kasse,asset,cash,debit,1,,"Aktiva / B - Umlaufvermögen / IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks.",Cash,,,"Aktiva / B - Umlaufvermögen / IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks. / Kasse",
1000,Kasse,asset,cash,debit,0,cash_bank,"Aktiva / B - Umlaufvermögen / IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks. / Kasse",Cash,,,"Aktiva / B - Umlaufvermögen / IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks. / Kasse / Kasse",
