code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,CLASSE 1 : CAPITAUX,equity,group,credit,1,,,,,,CLASSE 1 : CAPITAUX,
10,"Capital, Réserves et assimilés",equity,group,credit,1,,CLASSE 1 : CAPITAUX,,,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés",
101,Capital émis,equity,group,credit,1,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés",,,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis",
1011,Capital social,equity,group,credit,1,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis",,,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis / Capital social",
10111,Capital souscrit non appelé,equity,unspecified,credit,0,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis / Capital social",,,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis / Capital social / Capital souscrit non appelé",
10112,"Capital souscrit - appelé, non versé",equity,unspecified,credit,0,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis / Capital social",,,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis / Capital social / Capital souscrit - appelé, non versé",
10113,"Capital souscrit - appelé, versé",equity,unspecified,credit,0,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis / Capital social",,,,"CLASSE 1 : CAPITAUX / Capital, Réserves et assimilés / Capital émis / Capital social / Capital souscrit - appelé, versé",
11,Report à Nouveau,equity,unspecified,credit,0,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / Report à Nouveau,
12,Résultat de l'Exercice,equity,unspecified,credit,0,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / Résultat de l'Exercice,
13,Produits et charges différés – hors cycle d’exploitation,equity,unspecified,credit,0,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / Produits et charges différés – hors cycle d’exploitation,
14,(Disponible),equity,unspecified,credit,0,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / (Disponible),
15,Provisions pour charges - passifs non courants,equity,unspecified,credit,0,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / Provisions pour charges - passifs non courants,
16,Emprunts et Dettes Assimilées,equity,unspecified,credit,0,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / Emprunts et Dettes Assimilées,
17,Dettes Rattachées à des Participations,equity,unspecified,credit,0,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / Dettes Rattachées à des Participations,
18,Comptes de liaison des établisssements et sociétés en participation,equity,group,credit,1,,CLASSE 1 : CAPITAUX,,,,CLASSE 1 : CAPITAUX / Comptes de liaison des établisssements et sociétés en participation,
