code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100000,100000 - ACTIVOS - xmC,asset,group,debit,1,,,,,,100000 - ACTIVOS - xmC,
11000000,11000000 - ACTIVOS CORRIENTES - xmC,asset,group,debit,1,,100000 - ACTIVOS - xmC,,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC,
11010000,11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC,asset,cash,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC,Cash,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / 11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC,
11010100,11010100 - Caja general - xmC,asset,cash,debit,0,cash_bank,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / 11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC,Cash,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / 11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC / 11010100 - Caja general - xmC,
11010200,Caja chica,asset,cash,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / 11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC,Cash,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / 11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC / Caja chica,
11010300,Efectivo en bancos,asset,bank,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / 11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC,Bank,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / 11010000 - EFECTIVO Y EQUIVALENTES AL EFECTIVO - xmC / Efectivo en bancos,
11040000,CUENTAS POR COBRAR ARRENDAMIENTOS FINANCIEROS,asset,group,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC,,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / CUENTAS POR COBRAR ARRENDAMIENTOS FINANCIEROS,
11040100,Arrendamientos financieros por cobrar,asset,group,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / CUENTAS POR COBRAR ARRENDAMIENTOS FINANCIEROS,,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / CUENTAS POR COBRAR ARRENDAMIENTOS FINANCIEROS / Arrendamientos financieros por cobrar,
11040200,Estimación para cuentas de cobro dudoso (CR),asset,group,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / CUENTAS POR COBRAR ARRENDAMIENTOS FINANCIEROS,,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / CUENTAS POR COBRAR ARRENDAMIENTOS FINANCIEROS / Estimación para cuentas de cobro dudoso (CR),
11030000,DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR,asset,receivable,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC,Receivable,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR,
11030100,11030100 - Deudores comerciales - xmC,asset,receivable,debit,0,receivables,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR,Receivable,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR / 11030100 - Deudores comerciales - xmC,
11030200,Estimación para cuentas de cobro dudoso (CR),asset,receivable,debit,1,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR,Receivable,,,100000 - ACTIVOS - xmC / 11000000 - ACTIVOS CORRIENTES - xmC / DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR / Estimación para cuentas de cobro dudoso (CR),
