code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,1-Comptes de capitaux,equity,group,credit,1,,,,,,1-Comptes de capitaux,
,10-Capital et réserves,equity,group,credit,1,,1-Comptes de capitaux,,,,1-Comptes de capitaux / 10-Capital et réserves,
,101-Capital,equity,group,credit,1,,1-Comptes de capitaux / 10-Capital et réserves,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,
1011,Capital souscrit - non appelé,equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Capital souscrit - non appelé,
1012,"Capital souscrit - appelé, non versé",equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Capital souscrit - appelé, non versé",
,"1013-Capital souscrit - appelé, versé",equity,group,credit,1,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1013-Capital souscrit - appelé, versé",
10131,Capital non amorti,equity,unspecified,credit,0,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1013-Capital souscrit - appelé, versé",,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1013-Capital souscrit - appelé, versé / Capital non amorti",
10132,Capital amorti,equity,unspecified,credit,0,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1013-Capital souscrit - appelé, versé",,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1013-Capital souscrit - appelé, versé / Capital amorti",
1018,Capital souscrit soumis à des réglementations particulières,equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Capital souscrit soumis à des réglementations particulières,
102,Fonds fiduciaires,equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves,,,,1-Comptes de capitaux / 10-Capital et réserves / Fonds fiduciaires,
,104-Primes liées au capital,equity,group,credit,1,,1-Comptes de capitaux / 10-Capital et réserves,,,,1-Comptes de capitaux / 10-Capital et réserves / 104-Primes liées au capital,
1041,Primes d'émission,equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 104-Primes liées au capital,,,,1-Comptes de capitaux / 10-Capital et réserves / 104-Primes liées au capital / Primes d'émission,
