code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,1-Comptes de capitaux,equity,group,credit,1,,,,,,1-Comptes de capitaux,
,10-Capital et réserves,equity,group,credit,1,,1-Comptes de capitaux,,,,1-Comptes de capitaux / 10-Capital et réserves,
,101-Capital,equity,group,credit,1,,1-Comptes de capitaux / 10-Capital et réserves,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,
1011,Capital individuel initial (au ../../../),equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Capital individuel initial (au ../../../),
1012,Variations capital individuel initial,equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Variations capital individuel initial,
1013,Capital souscrit - non appelé,equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Capital souscrit - non appelé,
1014,"Capital souscrit - appelé, versé",equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Capital souscrit - appelé, versé",
,"1015-Capital souscrit - appelé, non versé",equity,group,credit,1,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1015-Capital souscrit - appelé, non versé",
10151,Capital non amorti,equity,unspecified,credit,0,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1015-Capital souscrit - appelé, non versé",,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1015-Capital souscrit - appelé, non versé / Capital non amorti",
10152,Capital amorti,equity,unspecified,credit,0,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1015-Capital souscrit - appelé, non versé",,,,"1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / 1015-Capital souscrit - appelé, non versé / Capital amorti",
1018,Capital souscrit soumis à des réglementations particulières,equity,unspecified,credit,0,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital,,,,1-Comptes de capitaux / 10-Capital et réserves / 101-Capital / Capital souscrit soumis à des réglementations particulières,
,104-Primes liées au capital social,equity,group,credit,1,,1-Comptes de capitaux / 10-Capital et réserves,,,,1-Comptes de capitaux / 10-Capital et réserves / 104-Primes liées au capital social,
