code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Comptes de Capitaux,equity,group,credit,1,,,,,,Comptes de Capitaux,
10,Fonds propres et réserves,equity,group,credit,1,,Comptes de Capitaux,,,,Comptes de Capitaux / Fonds propres et réserves,
101,Capital,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Capital,
1011,Capital souscrit - non appelé,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Capital,,,,Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit - non appelé,
1012,"Capital souscrit - appelé, non versé",equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Capital,,,,"Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit - appelé, non versé",
1013,"Capital souscrit - appelé, versé",equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves / Capital,,,,"Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit - appelé, versé",
10131,Capital non amorti,equity,unspecified,credit,0,,"Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit - appelé, versé",,,,"Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit - appelé, versé / Capital non amorti",
10132,Capital amorti,equity,unspecified,credit,0,,"Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit - appelé, versé",,,,"Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit - appelé, versé / Capital amorti",
1018,Capital souscrit soumis à des réglementations particulières,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Capital,,,,Comptes de Capitaux / Fonds propres et réserves / Capital / Capital souscrit soumis à des réglementations particulières,
102,Fonds propres sans droit de reprise,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise,
1021,Première situation nette établie,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise,,,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Première situation nette établie,
1022,Fonds statutaires (à subdiviser en fonction des statuts),equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise,,,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Fonds statutaires (à subdiviser en fonction des statuts),
1023,Dotations non consomptibles,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise,,,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Dotations non consomptibles,
10231,Dotations non consomptibles initiales,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Dotations non consomptibles,,,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Dotations non consomptibles / Dotations non consomptibles initiales,
10232,Dotations non consomptibles complémentaires,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Dotations non consomptibles,,,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Dotations non consomptibles / Dotations non consomptibles complémentaires,
1024,Autres fonds propres sans droit de reprise,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise,,,,Comptes de Capitaux / Fonds propres et réserves / Fonds propres sans droit de reprise / Autres fonds propres sans droit de reprise,
104,Primes liées au capital social,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social,
1041,Primes d'émission,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social,,,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social / Primes d'émission,
1042,Primes de fusion,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social,,,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social / Primes de fusion,
1043,Primes d'apport,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social,,,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social / Primes d'apport,
1044,Primes de conversion d'obligations en actions,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social,,,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social / Primes de conversion d'obligations en actions,
1045,Bons de souscription d'actions,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social,,,,Comptes de Capitaux / Fonds propres et réserves / Primes liées au capital social / Bons de souscription d'actions,
105,Ecarts de réévaluation,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation,
1051,Ecarts de réévaluation sur des biens sans droit de reprise,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation,,,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation / Ecarts de réévaluation sur des biens sans droit de reprise,
1052,Ecarts de réévaluation sur des biens avec droit de reprise,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation,,,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation / Ecarts de réévaluation sur des biens avec droit de reprise,
1053,Réserve de réévaluation,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation,,,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation / Réserve de réévaluation,
1055,Ecarts de réévaluation (autres opérations légales),equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation,,,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation / Ecarts de réévaluation (autres opérations légales),
1057,Autres écarts de réévaluation en France,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation,,,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation / Autres écarts de réévaluation en France,
1058,Autres écarts de réévaluation à l'étranger,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation,,,,Comptes de Capitaux / Fonds propres et réserves / Ecarts de réévaluation / Autres écarts de réévaluation à l'étranger,
106,Réserves,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves,
1061,Réserve légale,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves / Réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserve légale,
10611,Réserve légale proprement dite,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserve légale,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserve légale / Réserve légale proprement dite,
10612,Plus-values nettes à long terme,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserve légale,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserve légale / Plus-values nettes à long terme,
1062,Réserves indisponibles,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves indisponibles,
1063,Réserves statutaires ou contractuelles,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves statutaires ou contractuelles,
1064,Réserves réglementées,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves / Réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves réglementées,
10641,Plus-values nettes à long terme,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves réglementées,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves réglementées / Plus-values nettes à long terme,
10643,Réserves consécutives à l'octroi de subventions d'investissement,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves réglementées,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves réglementées / Réserves consécutives à l'octroi de subventions d'investissement,
10648,Autres réserves réglementées,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves réglementées,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves réglementées / Autres réserves réglementées,
1068,Réserves pour projet de l’entité,equity,group,credit,1,,Comptes de Capitaux / Fonds propres et réserves / Réserves,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves pour projet de l’entité,
10681,Réserve de propre assureur,equity,unspecified,credit,0,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves pour projet de l’entité,,,,Comptes de Capitaux / Fonds propres et réserves / Réserves / Réserves pour projet de l’entité / Réserve de propre assureur,
