code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Activos,asset,group,debit,1,,,,,,Activos,
1.0,Activo Corriente,asset,group,debit,1,,Activos,,,,Activos / Activo Corriente,
1.5,Activos Biológicos,asset,inventory,debit,1,,Activos / Activo Corriente,Stock,,,Activos / Activo Corriente / Activos Biológicos,
1.5.2,Activos Biológicos a Valor Razonable,asset,inventory,debit,1,,Activos / Activo Corriente / Activos Biológicos,Stock,,,Activos / Activo Corriente / Activos Biológicos / Activos Biológicos a Valor Razonable,
1.5.2.1,Animales,asset,inventory,debit,1,,Activos / Activo Corriente / Activos Biológicos / Activos Biológicos a Valor Razonable,Stock,,,Activos / Activo Corriente / Activos Biológicos / Activos Biológicos a Valor Razonable / Animales,
1.5.2.2,Plantas,asset,inventory,debit,1,,Activos / Activo Corriente / Activos Biológicos / Activos Biológicos a Valor Razonable,Stock,,,Activos / Activo Corriente / Activos Biológicos / Activos Biológicos a Valor Razonable / Plantas,
1.5.1,Activos Biológicos al Costo,asset,inventory,debit,1,,Activos / Activo Corriente / Activos Biológicos,Stock,,,Activos / Activo Corriente / Activos Biológicos / Activos Biológicos al Costo,
1.1,Activos Corrientes Adicionales,asset,chargeable,debit,1,,Activos / Activo Corriente,Chargeable,,,Activos / Activo Corriente / Activos Corrientes Adicionales,
1.1.2,Activos Diferidos o Restringidos,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Corrientes Adicionales,Chargeable,,,Activos / Activo Corriente / Activos Corrientes Adicionales / Activos Diferidos o Restringidos,
1.1.2.1,Crédito Fiscal (IVA Por Cobrar),asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Corrientes Adicionales / Activos Diferidos o Restringidos,Chargeable,,,Activos / Activo Corriente / Activos Corrientes Adicionales / Activos Diferidos o Restringidos / Crédito Fiscal (IVA Por Cobrar),
1.1.1,Inversiones Corrientes no Clasificados como Equivalentes de Caja y Bancos,asset,unspecified,debit,0,,Activos / Activo Corriente / Activos Corrientes Adicionales,,,,Activos / Activo Corriente / Activos Corrientes Adicionales / Inversiones Corrientes no Clasificados como Equivalentes de Caja y Bancos,
1.6,Activos Devengables y Otros Activos,asset,chargeable,debit,1,,Activos / Activo Corriente,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos,
1.6.6,Activos Adicionales y Otros,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Devengables y Otros Activos,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Activos Adicionales y Otros,
1.6.2,Cobrables Relacionados con Impuestos,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Devengables y Otros Activos,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Cobrables Relacionados con Impuestos,
1.6.4,Contratos de Construccion,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Devengables y Otros Activos,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Contratos de Construccion,
1.6.5,Costos de Montaje,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Devengables y Otros Activos,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Costos de Montaje,
1.6.1,Pagos Anticipados y Otros Activos Circulantes,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Devengables y Otros Activos,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Pagos Anticipados y Otros Activos Circulantes,
1.6.1.0,Seguro Pagado Anticipadamente,asset,chargeable,debit,0,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Pagos Anticipados y Otros Activos Circulantes,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Pagos Anticipados y Otros Activos Circulantes / Seguro Pagado Anticipadamente,
1.6.3,Proveedores de Servicio,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Devengables y Otros Activos,Chargeable,,,Activos / Activo Corriente / Activos Devengables y Otros Activos / Proveedores de Servicio,
1.4,Activos Financieros,asset,chargeable,debit,1,,Activos / Activo Corriente,Chargeable,,,Activos / Activo Corriente / Activos Financieros,
1.4.6,Activos Financieros Clasificados por Designación,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Financieros,Chargeable,,,Activos / Activo Corriente / Activos Financieros / Activos Financieros Clasificados por Designación,
1.4.3,Activos Financieros Derivados,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Financieros,Chargeable,,,Activos / Activo Corriente / Activos Financieros / Activos Financieros Derivados,
1.4.1,Inversion o Participación Accionaria en Empresas Afiliadas,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Financieros,Chargeable,,,Activos / Activo Corriente / Activos Financieros / Inversion o Participación Accionaria en Empresas Afiliadas,
1.4.2,Inversiones Bursátiles e Instrumentos Financieros,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Financieros,Chargeable,,,Activos / Activo Corriente / Activos Financieros / Inversiones Bursátiles e Instrumentos Financieros,
1.4.4,Otros Activos Financieros,asset,chargeable,debit,1,,Activos / Activo Corriente / Activos Financieros,Chargeable,,,Activos / Activo Corriente / Activos Financieros / Otros Activos Financieros,
1.4.5,Provisión por Riesgo de Crédito (agregado) (Contra-activo),asset,round_off,debit,1,,Activos / Activo Corriente / Activos Financieros,Round Off,,,Activos / Activo Corriente / Activos Financieros / Provisión por Riesgo de Crédito (agregado) (Contra-activo),
1.3,Activos Intangibles,asset,chargeable,debit,1,,Activos / Activo Corriente,Chargeable,,,Activos / Activo Corriente / Activos Intangibles,
1.9,Caja y Equivalentes,asset,bank,debit,1,,Activos / Activo Corriente,Bank,,,Activos / Activo Corriente / Caja y Equivalentes,
