code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,asset,group,debit,1,,,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,
,11. IMMATERIÁLIS JAVAK,asset,group,debit,1,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK,
,111. Alapítás-átszervezés aktivált értéke,asset,unspecified,debit,0,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK / 111. Alapítás-átszervezés aktivált értéke,
,112. Kísérleti fejlesztés aktivált értéke,asset,unspecified,debit,0,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK / 112. Kísérleti fejlesztés aktivált értéke,
,113. Vagyoni értékű jogok,asset,unspecified,debit,0,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK / 113. Vagyoni értékű jogok,
,114. Szellemi termékek,asset,unspecified,debit,0,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK / 114. Szellemi termékek,
,115. Üzleti vagy cégérték,asset,unspecified,debit,0,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK / 115. Üzleti vagy cégérték,
,117. Immateriális javak értékhelyesbítése,asset,unspecified,debit,0,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 11. IMMATERIÁLIS JAVAK / 117. Immateriális javak értékhelyesbítése,
,12-16. TÁRGYI ESZKÖZÖK,asset,group,debit,1,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 12-16. TÁRGYI ESZKÖZÖK,
,12. INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKÛ JOGOK,asset,group,debit,1,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 12-16. TÁRGYI ESZKÖZÖK,,,,1. SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / 12-16. TÁRGYI ESZKÖZÖK / 12. INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKÛ JOGOK,
