code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,asset,group,debit,1,,,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,
11,IMMATERIÁLIS JAVAK,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK,
113,Vagyoni értékű jogok,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Vagyoni értékű jogok,
1131,Vagyoni értékű jogok bruttó értéke,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Vagyoni értékű jogok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Vagyoni értékű jogok / Vagyoni értékű jogok bruttó értéke,
1138,Vagyoni értékű jogok terven felüli értékcsökkenése és annak visszaírása,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Vagyoni értékű jogok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Vagyoni értékű jogok / Vagyoni értékű jogok terven felüli értékcsökkenése és annak visszaírása,
1139,Vagyoni értékű jogok terv szerinti értékcsökkenése,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Vagyoni értékű jogok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Vagyoni értékű jogok / Vagyoni értékű jogok terv szerinti értékcsökkenése,
114,Szellemi termékek,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Szellemi termékek,
1141,Szellemi termékek bruttó értéke,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Szellemi termékek,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Szellemi termékek / Szellemi termékek bruttó értéke,
1148,Szellemi termékek terven felüli értékcsökkenése és annak visszaírása,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Szellemi termékek,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Szellemi termékek / Szellemi termékek terven felüli értékcsökkenése és annak visszaírása,
1149,Szellemi termékek terv szerinti értékcsökkenése,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Szellemi termékek,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Szellemi termékek / Szellemi termékek terv szerinti értékcsökkenése,
119,Kis értékű immateriális javak,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Kis értékű immateriális javak,
1191,Kis értékű immateriális javak bruttó értéke,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Kis értékű immateriális javak,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Kis értékű immateriális javak / Kis értékű immateriális javak bruttó értéke,
1199,Kis értékű immateriális javak terv szerinti értékcsökkenése,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Kis értékű immateriális javak,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / IMMATERIÁLIS JAVAK / Kis értékű immateriális javak / Kis értékű immateriális javak terv szerinti értékcsökkenése,
12,INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK,
121,"Telkek, földterületek",asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK,,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Telkek, földterületek",
1211,"Telkek, földterületek bruttó értéke",asset,unspecified,debit,0,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Telkek, földterületek",,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Telkek, földterületek / Telkek, földterületek bruttó értéke",
1218,"Telkek, földterületek terven felüli értékcsökkenése és annak visszaírása",asset,unspecified,debit,0,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Telkek, földterületek",,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Telkek, földterületek / Telkek, földterületek terven felüli értékcsökkenése és annak visszaírása",
1219,"Telkek, földterületek terv szerinti értékcsökkenése",asset,unspecified,debit,0,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Telkek, földterületek",,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Telkek, földterületek / Telkek, földterületek terv szerinti értékcsökkenése",
122,Ingatlanokhoz kapcsolódó vagyoni értékű jogok,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Ingatlanokhoz kapcsolódó vagyoni értékű jogok,
1221,Ingatlanokhoz kapcsolódó vagyoni értékű jogok bruttó értéke,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Ingatlanokhoz kapcsolódó vagyoni értékű jogok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Ingatlanokhoz kapcsolódó vagyoni értékű jogok / Ingatlanokhoz kapcsolódó vagyoni értékű jogok bruttó értéke,
1228,Ingatlanokhoz kapcsolódó vagyoni értékű jogok terven felüli értékcsökkenése és annak visszaírása,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Ingatlanokhoz kapcsolódó vagyoni értékű jogok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Ingatlanokhoz kapcsolódó vagyoni értékű jogok / Ingatlanokhoz kapcsolódó vagyoni értékű jogok terven felüli értékcsökkenése és annak visszaírása,
1229,Ingatlanokhoz kapcsolódó vagyoni értékű jogok terv szerinti értékcsökkenése,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Ingatlanokhoz kapcsolódó vagyoni értékű jogok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Ingatlanokhoz kapcsolódó vagyoni értékű jogok / Ingatlanokhoz kapcsolódó vagyoni értékű jogok terv szerinti értékcsökkenése,
123,"Épületek, épületrészek, tulajdoni hányadok",asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK,,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Épületek, épületrészek, tulajdoni hányadok",
1231,"Épületek, épületrészek, tulajdoni hányadok bruttó értéke",asset,unspecified,debit,0,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Épületek, épületrészek, tulajdoni hányadok",,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Épületek, épületrészek, tulajdoni hányadok / Épületek, épületrészek, tulajdoni hányadok bruttó értéke",
1238,"Épületek, épületrészek, tulajdoni hányadok terven felüli értékcsökkenése és annak visszaírása",asset,unspecified,debit,0,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Épületek, épületrészek, tulajdoni hányadok",,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Épületek, épületrészek, tulajdoni hányadok / Épületek, épületrészek, tulajdoni hányadok terven felüli értékcsökkenése és annak visszaírása",
1239,"Épületek, épületrészek, tulajdoni hányadok terv szerinti értékcsökkenése",asset,unspecified,debit,0,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Épületek, épületrészek, tulajdoni hányadok",,,,"SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Épületek, épületrészek, tulajdoni hányadok / Épületek, épületrészek, tulajdoni hányadok terv szerinti értékcsökkenése",
124,Egyéb ingatlanok,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Egyéb ingatlanok,
1241,Egyéb ingatlanok bruttó értéke,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Egyéb ingatlanok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Egyéb ingatlanok / Egyéb ingatlanok bruttó értéke,
1248,Egyéb ingatlanok terven felüli értékcsökkenése és annak visszaírása,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Egyéb ingatlanok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Egyéb ingatlanok / Egyéb ingatlanok terven felüli értékcsökkenése és annak visszaírása,
1249,Egyéb ingatlanok terv szerinti értékcsökkenése,asset,unspecified,debit,0,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Egyéb ingatlanok,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Egyéb ingatlanok / Egyéb ingatlanok terv szerinti értékcsökkenése,
129,Kis értékű ingatlanok,asset,group,debit,1,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK,,,,SZÁMLAOSZTÁLY BEFEKTETETT ESZKÖZÖK / INGATLANOK ÉS KAPCSOLÓDÓ VAGYONI ÉRTÉKŰ JOGOK / Kis értékű ingatlanok,
