code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1000.000,Aktiva,asset,group,debit,1,,,,,,Aktiva,
1100.000,Aktiva Lancar,asset,group,debit,1,,Aktiva,,,,Aktiva / Aktiva Lancar,
1170.000,Akun sementara,asset,group,debit,1,,Aktiva / Aktiva Lancar,,,,Aktiva / Aktiva Lancar / Akun sementara,
1171.000,Pembukaan sementara,asset,temporary,debit,0,,Aktiva / Aktiva Lancar / Akun sementara,Temporary,,,Aktiva / Aktiva Lancar / Akun sementara / Pembukaan sementara,
1120.000,Bank,asset,bank,debit,1,,Aktiva / Aktiva Lancar,Bank,,,Aktiva / Aktiva Lancar / Bank,
1122.000,Bank Other Currency,asset,group,debit,1,,Aktiva / Aktiva Lancar / Bank,,,,Aktiva / Aktiva Lancar / Bank / Bank Other Currency,
1121.000,Bank Rupiah,asset,group,debit,1,,Aktiva / Aktiva Lancar / Bank,,,,Aktiva / Aktiva Lancar / Bank / Bank Rupiah,
1150.000,Biaya di Bayar di Muka,asset,group,debit,1,,Aktiva / Aktiva Lancar,,,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka,
1151.000,Biaya di Bayar di Muka,asset,group,debit,1,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka,,,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Biaya di Bayar di Muka,
1151.001,Biaya di Bayar di Muka,asset,group,debit,1,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Biaya di Bayar di Muka,,,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Biaya di Bayar di Muka / Biaya di Bayar di Muka,
1151.00111,Biaya d Bayar di Muka,asset,unspecified,debit,0,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Biaya di Bayar di Muka / Biaya di Bayar di Muka,,,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Biaya di Bayar di Muka / Biaya di Bayar di Muka / Biaya d Bayar di Muka,
1152.000,Pajak Dibayar di Muka,asset,group,debit,1,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka,,,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Pajak Dibayar di Muka,
1152.001,PPN Masukan,asset,tax,debit,0,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Pajak Dibayar di Muka,Tax,,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Pajak Dibayar di Muka / PPN Masukan,
1152.002,PPh 23 Dibayar di Muka,asset,tax,debit,0,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Pajak Dibayar di Muka,Tax,,,Aktiva / Aktiva Lancar / Biaya di Bayar di Muka / Pajak Dibayar di Muka / PPh 23 Dibayar di Muka,
1110.000,Kas,asset,group,debit,1,,Aktiva / Aktiva Lancar,,,,Aktiva / Aktiva Lancar / Kas,
1112.000,Kas Mata Uang Lain,asset,group,debit,1,,Aktiva / Aktiva Lancar / Kas,,,,Aktiva / Aktiva Lancar / Kas / Kas Mata Uang Lain,
1112.001,Kas USD,asset,cash,debit,0,cash_bank,Aktiva / Aktiva Lancar / Kas / Kas Mata Uang Lain,Cash,,,Aktiva / Aktiva Lancar / Kas / Kas Mata Uang Lain / Kas USD,
1111.000,Kas Rupiah,asset,cash,debit,1,,Aktiva / Aktiva Lancar / Kas,Cash,,,Aktiva / Aktiva Lancar / Kas / Kas Rupiah,
1111.002,Kas Besar,asset,cash,debit,0,cash_bank,Aktiva / Aktiva Lancar / Kas / Kas Rupiah,Cash,,,Aktiva / Aktiva Lancar / Kas / Kas Rupiah / Kas Besar,
1111.001,Kas Kecil,asset,cash,debit,0,cash_bank,Aktiva / Aktiva Lancar / Kas / Kas Rupiah,Cash,,,Aktiva / Aktiva Lancar / Kas / Kas Rupiah / Kas Kecil,
1160.000,Pendapatan Yang Akan di Terima,asset,group,debit,1,,Aktiva / Aktiva Lancar,,,,Aktiva / Aktiva Lancar / Pendapatan Yang Akan di Terima,
1161.000,Pendapatan Yang di Terima,asset,group,debit,1,,Aktiva / Aktiva Lancar / Pendapatan Yang Akan di Terima,,,,Aktiva / Aktiva Lancar / Pendapatan Yang Akan di Terima / Pendapatan Yang di Terima,
1161.001,Pendapatan Yang Akan di Terima,asset,unspecified,debit,0,,Aktiva / Aktiva Lancar / Pendapatan Yang Akan di Terima / Pendapatan Yang di Terima,,,,Aktiva / Aktiva Lancar / Pendapatan Yang Akan di Terima / Pendapatan Yang di Terima / Pendapatan Yang Akan di Terima,
1140.000,Persediaan Barang,asset,group,debit,1,,Aktiva / Aktiva Lancar,,,,Aktiva / Aktiva Lancar / Persediaan Barang,
1141.000,Persediaan Barang,asset,inventory,debit,0,,Aktiva / Aktiva Lancar / Persediaan Barang,Stock,,,Aktiva / Aktiva Lancar / Persediaan Barang / Persediaan Barang,
1142.000,Uang Muka Pembelian,asset,group,debit,1,,Aktiva / Aktiva Lancar / Persediaan Barang,,,,Aktiva / Aktiva Lancar / Persediaan Barang / Uang Muka Pembelian,
1142.001,Uang Muka Pembelian,asset,bank,debit,0,cash_bank,Aktiva / Aktiva Lancar / Persediaan Barang / Uang Muka Pembelian,Bank,,,Aktiva / Aktiva Lancar / Persediaan Barang / Uang Muka Pembelian / Uang Muka Pembelian,
1130.000,Piutang,asset,group,debit,1,,Aktiva / Aktiva Lancar,,,,Aktiva / Aktiva Lancar / Piutang,
1131.000,Piutang Dagang,asset,group,debit,1,,Aktiva / Aktiva Lancar / Piutang,,,,Aktiva / Aktiva Lancar / Piutang / Piutang Dagang,
1131.0010,Piutang Dagang,asset,receivable,debit,0,receivables,Aktiva / Aktiva Lancar / Piutang / Piutang Dagang,Receivable,,,Aktiva / Aktiva Lancar / Piutang / Piutang Dagang / Piutang Dagang,
1132.000,Piutang Lain lain,asset,group,debit,1,,Aktiva / Aktiva Lancar / Piutang,,,,Aktiva / Aktiva Lancar / Piutang / Piutang Lain lain,
1132.001,Piutang Lain-lain 1,asset,receivable,debit,0,receivables,Aktiva / Aktiva Lancar / Piutang / Piutang Lain lain,Receivable,,,Aktiva / Aktiva Lancar / Piutang / Piutang Lain lain / Piutang Lain-lain 1,
1200.000,Aktiva Tetap,asset,group,debit,1,,Aktiva,,,,Aktiva / Aktiva Tetap,
1210.000,Aktiva,asset,group,debit,1,,Aktiva / Aktiva Tetap,,,,Aktiva / Aktiva Tetap / Aktiva,
1211.000,Aktiva,asset,group,debit,1,,Aktiva / Aktiva Tetap / Aktiva,,,,Aktiva / Aktiva Tetap / Aktiva / Aktiva,
1211.001,Aktiva,asset,fixed_asset,debit,0,,Aktiva / Aktiva Tetap / Aktiva / Aktiva,Fixed Asset,,,Aktiva / Aktiva Tetap / Aktiva / Aktiva / Aktiva,
1212.000,Akumulasi Penyusutan Aktiva,asset,group,debit,1,,Aktiva / Aktiva Tetap / Aktiva,,,,Aktiva / Aktiva Tetap / Aktiva / Akumulasi Penyusutan Aktiva,
1212.001,Akumulasi Penyusutan Aktiva,asset,accumulated_depreciation,credit,0,,Aktiva / Aktiva Tetap / Aktiva / Akumulasi Penyusutan Aktiva,Accumulated Depreciation,,,Aktiva / Aktiva Tetap / Aktiva / Akumulasi Penyusutan Aktiva / Akumulasi Penyusutan Aktiva,contra
1230.000,Investasi,asset,group,debit,1,,Aktiva / Aktiva Tetap,,,,Aktiva / Aktiva Tetap / Investasi,
1231.000,Investasi,asset,group,debit,1,,Aktiva / Aktiva Tetap / Investasi,,,,Aktiva / Aktiva Tetap / Investasi / Investasi,
1231.300,Deposito,asset,group,debit,1,,Aktiva / Aktiva Tetap / Investasi / Investasi,,,,Aktiva / Aktiva Tetap / Investasi / Investasi / Deposito,
1231.100,Investasi Saham,asset,group,debit,1,,Aktiva / Aktiva Tetap / Investasi / Investasi,,,,Aktiva / Aktiva Tetap / Investasi / Investasi / Investasi Saham,
1231.101,Investasi Saham,asset,unspecified,debit,0,,Aktiva / Aktiva Tetap / Investasi / Investasi / Investasi Saham,,,,Aktiva / Aktiva Tetap / Investasi / Investasi / Investasi Saham / Investasi Saham,
1231.200,Investasi Perumahan,asset,group,debit,1,,Aktiva / Aktiva Tetap / Investasi / Investasi,,,,Aktiva / Aktiva Tetap / Investasi / Investasi / Investasi Perumahan,
1231.201,Investasi Perumahan,asset,unspecified,debit,0,,Aktiva / Aktiva Tetap / Investasi / Investasi / Investasi Perumahan,,,,Aktiva / Aktiva Tetap / Investasi / Investasi / Investasi Perumahan / Investasi Perumahan,
5000.000,Beban,expense,group,debit,1,,,,,,Beban,
5500.000,Beban Lain lain,expense,group,debit,1,,Beban,,,,Beban / Beban Lain lain,
5510.000,Beban Lain lain,expense,group,debit,1,,Beban / Beban Lain lain,,,,Beban / Beban Lain lain / Beban Lain lain,
5510.001,Beban Adm Bank,expense,unspecified,debit,0,,Beban / Beban Lain lain / Beban Lain lain,,,,Beban / Beban Lain lain / Beban Lain lain / Beban Adm Bank,
5510.004,Beban Bunga Kredit Rekening Koran Bank,expense,unspecified,debit,0,,Beban / Beban Lain lain / Beban Lain lain,,,,Beban / Beban Lain lain / Beban Lain lain / Beban Bunga Kredit Rekening Koran Bank,
