code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Application of Funds (Assets),asset,group,debit,1,,,,,,Application of Funds (Assets),
,Current Assets,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Current Assets,
,Accounts Receivable,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Accounts Receivable,
,Debtors,asset,receivable,debit,0,receivables,Application of Funds (Assets) / Current Assets / Accounts Receivable,Receivable,,,Application of Funds (Assets) / Current Assets / Accounts Receivable / Debtors,
,Bank Accounts,asset,bank,debit,1,,Application of Funds (Assets) / Current Assets,Bank,,,Application of Funds (Assets) / Current Assets / Bank Accounts,
,Cash In Hand,asset,cash,debit,1,,Application of Funds (Assets) / Current Assets,Cash,,,Application of Funds (Assets) / Current Assets / Cash In Hand,
,Cash,asset,cash,debit,0,cash_bank,Application of Funds (Assets) / Current Assets / Cash In Hand,Cash,,,Application of Funds (Assets) / Current Assets / Cash In Hand / Cash,
,Loans and Advances (Assets),asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Loans and Advances (Assets),
,Securities and Deposits,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Securities and Deposits,
,Earnest Money,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets / Securities and Deposits,,,,Application of Funds (Assets) / Current Assets / Securities and Deposits / Earnest Money,
,Stock Assets,asset,inventory,debit,1,,Application of Funds (Assets) / Current Assets,Stock,,,Application of Funds (Assets) / Current Assets / Stock Assets,
,Stock In Hand,asset,inventory,debit,0,,Application of Funds (Assets) / Current Assets / Stock Assets,Stock,,,Application of Funds (Assets) / Current Assets / Stock Assets / Stock In Hand,
,Tax Assets,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Tax Assets,
,Fixed Assets,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Fixed Assets,
,Capital Equipment,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Capital Equipment,
,Electronic Equipment,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Electronic Equipment,
,Furniture and Fixtures,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Furniture and Fixtures,
,Office Equipment,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Office Equipment,
,Plants and Machineries,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Plants and Machineries,
,Buildings,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Buildings,
,Accumulated Depreciations,asset,accumulated_depreciation,credit,0,,Application of Funds (Assets) / Fixed Assets,Accumulated Depreciation,,,Application of Funds (Assets) / Fixed Assets / Accumulated Depreciations,contra
,Investments,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Investments,
,Temporary Accounts,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Temporary Accounts,
,Temporary Opening,asset,temporary,debit,0,,Application of Funds (Assets) / Temporary Accounts,Temporary,,,Application of Funds (Assets) / Temporary Accounts / Temporary Opening,
,Expenses,expense,group,debit,1,,,,,,Expenses,
,Direct Expenses,expense,group,debit,1,,Expenses,,,,Expenses / Direct Expenses,
,Stock Expenses,expense,group,debit,1,,Expenses / Direct Expenses,,,,Expenses / Direct Expenses / Stock Expenses,
,Cost of Goods Sold,expense,direct_cost,debit,0,,Expenses / Direct Expenses / Stock Expenses,Cost of Goods Sold,,,Expenses / Direct Expenses / Stock Expenses / Cost of Goods Sold,
,Expenses Included In Valuation,expense,valuation_expense,debit,0,,Expenses / Direct Expenses / Stock Expenses,Expenses Included In Valuation,,,Expenses / Direct Expenses / Stock Expenses / Expenses Included In Valuation,
,Stock Adjustment,expense,stock_adjustment,debit,0,,Expenses / Direct Expenses / Stock Expenses,Stock Adjustment,,,Expenses / Direct Expenses / Stock Expenses / Stock Adjustment,
,Indirect Expenses,expense,group,debit,1,,Expenses,,,,Expenses / Indirect Expenses,
,Administrative Expenses,expense,unspecified,debit,0,,Expenses / Indirect Expenses,,,,Expenses / Indirect Expenses / Administrative Expenses,
,Commission on Sales,expense,unspecified,debit,0,,Expenses / Indirect Expenses,,,,Expenses / Indirect Expenses / Commission on Sales,
,Depreciation,expense,depreciation,debit,0,,Expenses / Indirect Expenses,Depreciation,,,Expenses / Indirect Expenses / Depreciation,
,Entertainment Expenses,expense,unspecified,debit,0,,Expenses / Indirect Expenses,,,,Expenses / Indirect Expenses / Entertainment Expenses,
,Freight and Forwarding Charges,expense,chargeable,debit,0,,Expenses / Indirect Expenses,Chargeable,,,Expenses / Indirect Expenses / Freight and Forwarding Charges,
,Legal Expenses,expense,unspecified,debit,0,,Expenses / Indirect Expenses,,,,Expenses / Indirect Expenses / Legal Expenses,
,Marketing Expenses,expense,chargeable,debit,0,,Expenses / Indirect Expenses,Chargeable,,,Expenses / Indirect Expenses / Marketing Expenses,
,Miscellaneous Expenses,expense,chargeable,debit,0,,Expenses / Indirect Expenses,Chargeable,,,Expenses / Indirect Expenses / Miscellaneous Expenses,
