code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,ACTIVO,asset,group,debit,1,,,,,,ACTIVO,
,ACTIVO CIRCULANTE,asset,group,debit,1,,ACTIVO,,,,ACTIVO / ACTIVO CIRCULANTE,
,DOCUMENTOS Y CUENTAS  POR COBRAR,asset,group,debit,1,,ACTIVO / ACTIVO CIRCULANTE,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,
,COMPAÑIAS AFILIADAS Y RELACIONADAS 1,asset,unspecified,debit,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / COMPAÑIAS AFILIADAS Y RELACIONADAS 1,
,CUENTAS POR COBRAR ACCIONISTAS,asset,group,debit,1,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR ACCIONISTAS,
,CUENTAS POR COBRAR SOCIOS 1,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR ACCIONISTAS,Receivable,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR ACCIONISTAS / CUENTAS POR COBRAR SOCIOS 1,
,CUENTAS POR COBRAR EMPLEADOS,asset,group,debit,1,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,
,ANTICIPO DE NOMINA,asset,unspecified,debit,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / ANTICIPO DE NOMINA,
,CUENTAS POR COBRAR EMPLEADOS 1,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,Receivable,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / CUENTAS POR COBRAR EMPLEADOS 1,
,CUENTAS POR COBRAR SOCIOS,asset,receivable,debit,0,receivables,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,Receivable,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / CUENTAS POR COBRAR SOCIOS,
,PRESTAMOS PERSONALES,asset,unspecified,debit,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / PRESTAMOS PERSONALES,
,SEGURO DE VEHICULOS,asset,unspecified,debit,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / SEGURO DE VEHICULOS,
,UTILIDADES 1,asset,unspecified,debit,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / UTILIDADES 1,
,VACACIONES 1,asset,unspecified,debit,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / VACACIONES 1,
,VIATICOS VENDEDORES,asset,unspecified,debit,0,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS,,,,ACTIVO / ACTIVO CIRCULANTE / DOCUMENTOS Y CUENTAS  POR COBRAR / CUENTAS POR COBRAR EMPLEADOS / VIATICOS VENDEDORES,
