code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Activo,asset,group,debit,1,,,,,,Activo,
,Activo Corriente,asset,group,debit,1,,Activo,,,,Activo / Activo Corriente,
,Activos Financieros Realizables a Corto Plazo,asset,group,debit,1,,Activo / Activo Corriente,,,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo,
,Bonos y Acciones Disponibles para la Venta,asset,unspecified,debit,0,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo,,,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo / Bonos y Acciones Disponibles para la Venta,
,Certificados Bancarios,asset,unspecified,debit,0,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo,,,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo / Certificados Bancarios,
,Inversiones a Corto Plazo,asset,unspecified,debit,0,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo,,,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo / Inversiones a Corto Plazo,
,Otros Valores Negociables a Corto Plazo,asset,unspecified,debit,0,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo,,,,Activo / Activo Corriente / Activos Financieros Realizables a Corto Plazo / Otros Valores Negociables a Corto Plazo,
,Cuentas y Documentos por Cobrar a Clientes,asset,group,debit,1,,Activo / Activo Corriente,,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes,
,Cuentas por Cobrar Moneda Extrangera,asset,receivable,debit,0,receivables,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes,Receivable,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes / Cuentas por Cobrar Moneda Extrangera,
,Cuentas por Cobrar Moneda Nacional,asset,receivable,debit,0,receivables,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes,Receivable,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes / Cuentas por Cobrar Moneda Nacional,
,Cuentas por Cobrar por Exportaciones,asset,receivable,debit,0,receivables,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes,Receivable,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes / Cuentas por Cobrar por Exportaciones,
,Documentos por Cobrar Moneda Extrangera,asset,receivable,debit,0,receivables,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes,Receivable,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes / Documentos por Cobrar Moneda Extrangera,
,Documentos por Cobrar Moneda Nacional,asset,receivable,debit,0,receivables,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes,Receivable,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes / Documentos por Cobrar Moneda Nacional,
,Estimacion para Cuentas Incobrables,asset,unspecified,debit,0,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes,,,,Activo / Activo Corriente / Cuentas y Documentos por Cobrar a Clientes / Estimacion para Cuentas Incobrables,
,Efectivo en Caja y Bancos,asset,group,debit,1,,Activo / Activo Corriente,,,,Activo / Activo Corriente / Efectivo en Caja y Bancos,
,Caja,asset,group,debit,1,,Activo / Activo Corriente / Efectivo en Caja y Bancos,,,,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja,
,Caja Chica Moneda Extrangera,asset,cash,debit,0,cash_bank,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja,Cash,,,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja / Caja Chica Moneda Extrangera,
,Caja Chica Moneda Nacional,asset,cash,debit,0,cash_bank,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja,Cash,,,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja / Caja Chica Moneda Nacional,
,Caja General Moneda Extrangera,asset,cash,debit,0,cash_bank,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja,Cash,,,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja / Caja General Moneda Extrangera,
,Caja General Moneda Nacional,asset,cash,debit,0,cash_bank,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja,Cash,,,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja / Caja General Moneda Nacional,
,Fondos por Depositar,asset,cash,debit,0,cash_bank,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja,Cash,,,Activo / Activo Corriente / Efectivo en Caja y Bancos / Caja / Fondos por Depositar,
