code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN",asset,group,debit,1,,,,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN",
,Bank,asset,bank,debit,1,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN",Bank,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / Bank",
,RABO Bank,asset,bank,debit,0,cash_bank,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / Bank",Bank,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / Bank / RABO Bank",
,LIQUIDE MIDDELEN,asset,cash,debit,1,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN",Cash,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",
,ABN-AMRO bank,asset,unspecified,debit,0,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / ABN-AMRO bank",
,Bankbetaalkaarten,asset,unspecified,debit,0,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Bankbetaalkaarten",
,Effecten,asset,unspecified,debit,0,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Effecten",
,Girobetaalkaarten,asset,unspecified,debit,0,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Girobetaalkaarten",
,Kas,asset,cash,debit,0,cash_bank,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",Cash,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Kas",
,Kas  valuta,asset,cash,debit,0,cash_bank,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",Cash,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Kas  valuta",
,Kleine kas,asset,cash,debit,0,cash_bank,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",Cash,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Kleine kas",
,Kruisposten,asset,unspecified,debit,0,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Kruisposten",
,Postbank,asset,cash,debit,0,cash_bank,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN",Cash,,,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN / LIQUIDE MIDDELEN / Postbank",
