code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
10000,Application of Funds (Assets),asset,group,debit,1,,,,,,Application of Funds (Assets),
11000,Current Assets,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Current Assets,
11010,Bank Accounts,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Bank Accounts,
11011,Business Transaction Account,asset,bank,debit,0,cash_bank,Application of Funds (Assets) / Current Assets / Bank Accounts,Bank,,,Application of Funds (Assets) / Current Assets / Bank Accounts / Business Transaction Account,
11012,Business Savings Account,asset,bank,debit,0,cash_bank,Application of Funds (Assets) / Current Assets / Bank Accounts,Bank,,,Application of Funds (Assets) / Current Assets / Bank Accounts / Business Savings Account,
11020,Cash on Hand,asset,cash,debit,0,cash_bank,Application of Funds (Assets) / Current Assets,Cash,,,Application of Funds (Assets) / Current Assets / Cash on Hand,
11200,Accounts Receivable,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Accounts Receivable,
11210,Debtors,asset,receivable,debit,0,receivables,Application of Funds (Assets) / Current Assets / Accounts Receivable,Receivable,,,Application of Funds (Assets) / Current Assets / Accounts Receivable / Debtors,
11220,Provision for Doubtful Debts,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets / Accounts Receivable,,,,Application of Funds (Assets) / Current Assets / Accounts Receivable / Provision for Doubtful Debts,
11310,Inventory,asset,inventory,debit,1,,Application of Funds (Assets) / Current Assets,Stock,,,Application of Funds (Assets) / Current Assets / Inventory,
11311,Stock on Hand,asset,inventory,debit,0,,Application of Funds (Assets) / Current Assets / Inventory,Stock,,,Application of Funds (Assets) / Current Assets / Inventory / Stock on Hand,
11312,Work In Progress,asset,inventory,debit,0,,Application of Funds (Assets) / Current Assets / Inventory,Stock,,,Application of Funds (Assets) / Current Assets / Inventory / Work In Progress,
11410,Prepayments,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Prepayments,
11411,Prepayments,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets / Prepayments,,,,Application of Funds (Assets) / Current Assets / Prepayments / Prepayments,
11412,Supplier Advances,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets / Prepayments,,,,Application of Funds (Assets) / Current Assets / Prepayments / Supplier Advances,
11413,Deferred Expense,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets / Prepayments,,,,Application of Funds (Assets) / Current Assets / Prepayments / Deferred Expense,
11510,GST Receivable,asset,tax,debit,0,,Application of Funds (Assets) / Current Assets,Tax,,,Application of Funds (Assets) / Current Assets / GST Receivable,
