code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1000,Asset,asset,group,debit,1,,,,,,Asset,
1001,Current Assets,asset,group,debit,1,,Asset,,,,Asset / Current Assets,
1100,Cash,asset,cash,debit,1,,Asset / Current Assets,Cash,,,Asset / Current Assets / Cash,
1101,Cash on Hand,asset,cash,debit,0,cash_bank,Asset / Current Assets / Cash,Cash,,,Asset / Current Assets / Cash / Cash on Hand,
1110,Petty Cash Fund,asset,cash,debit,1,,Asset / Current Assets / Cash,Cash,,,Asset / Current Assets / Cash / Petty Cash Fund,
1111,Petty Cash Fund,asset,cash,debit,0,cash_bank,Asset / Current Assets / Cash / Petty Cash Fund,Cash,,,Asset / Current Assets / Cash / Petty Cash Fund / Petty Cash Fund,
1200,Bank Accounts,asset,bank,debit,1,,Asset / Current Assets,Bank,,,Asset / Current Assets / Bank Accounts,
1201,Cash in Bank - Checking Account,asset,bank,debit,0,cash_bank,Asset / Current Assets / Bank Accounts,Bank,,,Asset / Current Assets / Bank Accounts / Cash in Bank - Checking Account,
1290,Advances to Officers & Employees,asset,group,debit,1,,Asset / Current Assets,,,,Asset / Current Assets / Advances to Officers & Employees,
1291,Advances to Officers & Employees,asset,unspecified,debit,0,,Asset / Current Assets / Advances to Officers & Employees,,,,Asset / Current Assets / Advances to Officers & Employees / Advances to Officers & Employees,
1300,Accounts Receivable Trade,asset,group,debit,1,,Asset / Current Assets,,,,Asset / Current Assets / Accounts Receivable Trade,
1301,Accounts Receivable - Trade,asset,receivable,debit,0,receivables,Asset / Current Assets / Accounts Receivable Trade,Receivable,,,Asset / Current Assets / Accounts Receivable Trade / Accounts Receivable - Trade,
1310,Accounts Receivable - Affiliates,asset,group,debit,1,,Asset / Current Assets,,,,Asset / Current Assets / Accounts Receivable - Affiliates,
1311,Due from Company,asset,unspecified,debit,0,,Asset / Current Assets / Accounts Receivable - Affiliates,,,,Asset / Current Assets / Accounts Receivable - Affiliates / Due from Company,
1400,Accounts Receivable - Others,asset,group,debit,1,,Asset / Current Assets,,,,Asset / Current Assets / Accounts Receivable - Others,
1401,Accounts Receivable - Others,asset,unspecified,debit,0,,Asset / Current Assets / Accounts Receivable - Others,,,,Asset / Current Assets / Accounts Receivable - Others / Accounts Receivable - Others,
1500,"Parts, Materials and Supplies",asset,group,debit,1,,Asset / Current Assets,,,,"Asset / Current Assets / Parts, Materials and Supplies",
1501,"Parts, Materials and Supplies",asset,unspecified,debit,0,,"Asset / Current Assets / Parts, Materials and Supplies",,,,"Asset / Current Assets / Parts, Materials and Supplies / Parts, Materials and Supplies",
1502,Raw Materials - Demo,asset,unspecified,debit,0,,"Asset / Current Assets / Parts, Materials and Supplies",,,,"Asset / Current Assets / Parts, Materials and Supplies / Raw Materials - Demo",
1510,Project in Progress,asset,group,debit,1,,Asset / Current Assets,,,,Asset / Current Assets / Project in Progress,
1511,Project in Progress,asset,unspecified,debit,0,,Asset / Current Assets / Project in Progress,,,,Asset / Current Assets / Project in Progress / Project in Progress,
1540,Finished Goods,asset,group,debit,1,,Asset / Current Assets,,,,Asset / Current Assets / Finished Goods,
1541,Finished Goods Inventory,asset,inventory,debit,0,,Asset / Current Assets / Finished Goods,Stock,,,Asset / Current Assets / Finished Goods / Finished Goods Inventory,
