code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,1 - Meios financeiros líquidos,asset,group,debit,1,,,,,,1 - Meios financeiros líquidos,
11,Caixa,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Caixa,
12,Depósitos à ordem,asset,bank,debit,0,cash_bank,1 - Meios financeiros líquidos,Bank,,,1 - Meios financeiros líquidos / Depósitos à ordem,
13,Outros depósitos bancários,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Outros depósitos bancários,
14,Outros instrumentos financeiros,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Outros instrumentos financeiros,
141,Derivados,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Derivados,
1411,Potencialmente favoráveis,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Potencialmente favoráveis,
1412,Potencialmente desfavoráveis,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Potencialmente desfavoráveis,
142,Instrumentos financeiros detidos para negociação,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Instrumentos financeiros detidos para negociação,
1421,Activos financeiros,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Activos financeiros,
1422,Passivos financeiros,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Passivos financeiros,
143,Outros activos e passivos financeiros,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Outros activos e passivos financeiros,
1431,Outros activos financeiros,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Outros activos financeiros,
1432,Outros passivos financeiros,asset,cash,debit,0,cash_bank,1 - Meios financeiros líquidos,Cash,,,1 - Meios financeiros líquidos / Outros passivos financeiros,
,2 - Contas a receber e a pagar,liability,group,credit,1,,,,,,2 - Contas a receber e a pagar,
21,Clientes,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes,
211,Clientes c/c,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes c/c,
2111,Clientes gerais,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes gerais,
2112,Clientes empresa mãe,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes empresa mãe,
2113,Clientes empresas subsidiárias,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes empresas subsidiárias,
2114,Clientes empresas associadas,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes empresas associadas,
2115,Clientes empreendimentos conjuntos,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes empreendimentos conjuntos,
2116,Clientes outras partes relacionadas,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes outras partes relacionadas,
212,Clientes títulos a receber,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes títulos a receber,
2121,Clientes gerais,liability,receivable,credit,0,receivables,2 - Contas a receber e a pagar,Receivable,,,2 - Contas a receber e a pagar / Clientes gerais,
