code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,1 Tillgångar,asset,fixed_asset,debit,1,,,Fixed Asset,,,1 Tillgångar,
,10 Immateriella anläggningstillgångar,asset,group,debit,1,,1 Tillgångar,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar,
,101 Utvecklingsutgifter,asset,group,debit,1,,1 Tillgångar / 10 Immateriella anläggningstillgångar,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter,
1010,Utvecklingsutgifter,asset,unspecified,debit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter / Utvecklingsutgifter,
1011,Balanserade utgifter för forskning och utveckling,asset,unspecified,debit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter / Balanserade utgifter för forskning och utveckling,
1012,Balanserade utgifter för programvaror,asset,unspecified,debit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter / Balanserade utgifter för programvaror,
1018,Ackumulerade nedskrivningar på balanserade utgifter,asset,accumulated_depreciation,credit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter,Accumulated Depreciation,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter / Ackumulerade nedskrivningar på balanserade utgifter,contra
1019,Ackumulerade avskrivningar på balanserade utgifter,asset,accumulated_depreciation,credit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter,Accumulated Depreciation,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 101 Utvecklingsutgifter / Ackumulerade avskrivningar på balanserade utgifter,contra
,102 Koncessioner m.m.,asset,group,debit,1,,1 Tillgångar / 10 Immateriella anläggningstillgångar,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 102 Koncessioner m.m.,
1020,Koncessioner m.m.,asset,unspecified,debit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 102 Koncessioner m.m.,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 102 Koncessioner m.m. / Koncessioner m.m.,
1028,Ackumulerade nedskrivningar på koncessioner m.m.,asset,accumulated_depreciation,credit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 102 Koncessioner m.m.,Accumulated Depreciation,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 102 Koncessioner m.m. / Ackumulerade nedskrivningar på koncessioner m.m.,contra
1029,Ackumulerade avskrivningar på koncessioner m.m.,asset,accumulated_depreciation,credit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 102 Koncessioner m.m.,Accumulated Depreciation,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 102 Koncessioner m.m. / Ackumulerade avskrivningar på koncessioner m.m.,contra
,103 Patent,asset,group,debit,1,,1 Tillgångar / 10 Immateriella anläggningstillgångar,,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 103 Patent,
1030,Patent,asset,fixed_asset,debit,0,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 103 Patent,Fixed Asset,,,1 Tillgångar / 10 Immateriella anläggningstillgångar / 103 Patent / Patent,
