code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Assets,asset,group,debit,1,,,,,,Assets,
,Current assets,asset,group,debit,1,,Assets,,,,Assets / Current assets,
,Accounts Receivable,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Accounts Receivable,
,Credit Cards,asset,group,debit,1,,Assets / Current assets / Accounts Receivable,,,,Assets / Current assets / Accounts Receivable / Credit Cards,
,AMEX Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / AMEX Receivable,
,CUP Receivale,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / CUP Receivale,
,MC Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / MC Receivable,
,NETS Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / NETS Receivable,
,VISA Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / VISA Receivable,
,Debtors,asset,receivable,debit,0,receivables,Assets / Current assets / Accounts Receivable,Receivable,,,Assets / Current assets / Accounts Receivable / Debtors,
,Bank Accounts,asset,bank,debit,1,,Assets / Current assets,Bank,,,Assets / Current assets / Bank Accounts,
,Paypal Account,asset,bank,debit,0,cash_bank,Assets / Current assets / Bank Accounts,Bank,,,Assets / Current assets / Bank Accounts / Paypal Account,
,Cash in Hand,asset,cash,debit,1,,Assets / Current assets,Cash,,,Assets / Current assets / Cash in Hand,
,Cash in Transit,asset,cash,debit,0,cash_bank,Assets / Current assets / Cash in Hand,Cash,,,Assets / Current assets / Cash in Hand / Cash in Transit,
,Petty Cash,asset,cash,debit,0,cash_bank,Assets / Current assets / Cash in Hand,Cash,,,Assets / Current assets / Cash in Hand / Petty Cash,
,Loans and Advances-Assets,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Loans and Advances-Assets,
,Prepayments,asset,unspecified,debit,0,,Assets / Current assets / Loans and Advances-Assets,,,,Assets / Current assets / Loans and Advances-Assets / Prepayments,
,Securities and Deposits,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Securities and Deposits,
,Bank Deposits,asset,unspecified,debit,0,,Assets / Current assets / Securities and Deposits,,,,Assets / Current assets / Securities and Deposits / Bank Deposits,
,Bank Guarantees,asset,unspecified,debit,0,,Assets / Current assets / Securities and Deposits,,,,Assets / Current assets / Securities and Deposits / Bank Guarantees,
,Rental Deposits,asset,unspecified,debit,0,,Assets / Current assets / Securities and Deposits,,,,Assets / Current assets / Securities and Deposits / Rental Deposits,
,Stock Assets,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Stock Assets,
,Stock in Hand,asset,inventory,debit,0,,Assets / Current assets / Stock Assets,Stock,,,Assets / Current assets / Stock Assets / Stock in Hand,
,Tax Assets,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Tax Assets,
,GST-Input,asset,unspecified,debit,0,,Assets / Current assets / Tax Assets,,,,Assets / Current assets / Tax Assets / GST-Input,
,Non-current assets,asset,group,debit,1,,Assets,,,,Assets / Non-current assets,
,Fixed Assets,asset,fixed_asset,debit,1,,Assets / Non-current assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets,
,Accumulated Depreciation,asset,accumulated_depreciation,credit,1,,Assets / Non-current assets / Fixed Assets,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,contra
,AccDep-Equipment-ICT,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-ICT,contra
,AccDep-Equipment-Office,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-Office,contra
,AccDep-Furniture and Fixtures,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Furniture and Fixtures,contra
,AccDep-Motor Vehicle,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Motor Vehicle,contra
,AccDep-Plant and Machinery,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Plant and Machinery,contra
,Equipment-ICT,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-ICT,
,Equipment-Office,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-Office,
,Furniture and Fixtures,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Furniture and Fixtures,
,Motor Vehicle,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Motor Vehicle,
,Plant and Machinery,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Plant and Machinery,
,Non-Fixed Assets,asset,group,debit,1,,Assets / Non-current assets,,,,Assets / Non-current assets / Non-Fixed Assets,
,Goodwill,asset,unspecified,debit,0,,Assets / Non-current assets / Non-Fixed Assets,,,,Assets / Non-current assets / Non-Fixed Assets / Goodwill,
,Investments,asset,group,debit,1,,Assets / Non-current assets / Non-Fixed Assets,,,,Assets / Non-current assets / Non-Fixed Assets / Investments,
,Investments-Associated Company,asset,unspecified,debit,0,,Assets / Non-current assets / Non-Fixed Assets / Investments,,,,Assets / Non-current assets / Non-Fixed Assets / Investments / Investments-Associated Company,
,Investments-Subsidiary,asset,unspecified,debit,0,,Assets / Non-current assets / Non-Fixed Assets / Investments,,,,Assets / Non-current assets / Non-Fixed Assets / Investments / Investments-Subsidiary,
,Shares,asset,group,debit,1,,Assets / Non-current assets,,,,Assets / Non-current assets / Shares,
,Shares-Quoted,asset,unspecified,debit,0,,Assets / Non-current assets / Shares,,,,Assets / Non-current assets / Shares / Shares-Quoted,
,Shares-Unquoted,asset,unspecified,debit,0,,Assets / Non-current assets / Shares,,,,Assets / Non-current assets / Shares / Shares-Unquoted,
,Temporary Accunts,asset,group,debit,1,,Assets,,,,Assets / Temporary Accunts,
,Temporary Opening,asset,temporary,debit,0,,Assets / Temporary Accunts,Temporary,,,Assets / Temporary Accunts / Temporary Opening,
,Equity,equity,group,credit,1,,,,,,Equity,
,Current Year Earnings,equity,unspecified,credit,0,,Equity,,,,Equity / Current Year Earnings,
,Proposed Dividends,equity,unspecified,credit,0,,Equity,,,,Equity / Proposed Dividends,
,Retained Earnings,equity,unspecified,credit,0,,Equity,,,,Equity / Retained Earnings,
,Share Capital,equity,unspecified,credit,0,,Equity,,,,Equity / Share Capital,
,Expenses,expense,group,debit,1,,,,,,Expenses,
,Expenses-Administrative,expense,group,debit,1,,Expenses,,,,Expenses / Expenses-Administrative,
,Audit Fees,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Audit Fees,
,Bank charges and interest,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Bank charges and interest,
,Currency Exchange Differences,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Currency Exchange Differences,
,Insurance,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Insurance,
,Interest on Loan,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Interest on Loan,
,Legal and Professional Fees,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Legal and Professional Fees,
,Loss on Disposal of FA,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Loss on Disposal of FA,
,Postal and Courier Charges,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Postal and Courier Charges,
,Printing and Stationery,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Printing and Stationery,
,Secretarial Fees,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Secretarial Fees,
,Tax Agent Fees,expense,unspecified,debit,0,,Expenses / Expenses-Administrative,,,,Expenses / Expenses-Administrative / Tax Agent Fees,
,Expenses-Direct,expense,group,debit,1,,Expenses,,,,Expenses / Expenses-Direct,
,Cost of Goods Sold,expense,direct_cost,debit,0,,Expenses / Expenses-Direct,Cost of Goods Sold,,,Expenses / Expenses-Direct / Cost of Goods Sold,
,Cost of Sales,expense,unspecified,debit,0,,Expenses / Expenses-Direct,,,,Expenses / Expenses-Direct / Cost of Sales,
,Expenses Included in Valuation,expense,valuation_expense,debit,0,,Expenses / Expenses-Direct,Expenses Included In Valuation,,,Expenses / Expenses-Direct / Expenses Included in Valuation,
,Stock Adjustment,expense,stock_adjustment,debit,0,,Expenses / Expenses-Direct,Stock Adjustment,,,Expenses / Expenses-Direct / Stock Adjustment,
,Expenses-Marketing,expense,group,debit,1,,Expenses,,,,Expenses / Expenses-Marketing,
,Advertising and Promotion,expense,unspecified,debit,0,,Expenses / Expenses-Marketing,,,,Expenses / Expenses-Marketing / Advertising and Promotion,
,Graphic Design Fees,expense,unspecified,debit,0,,Expenses / Expenses-Marketing,,,,Expenses / Expenses-Marketing / Graphic Design Fees,
,Internet Marketing,expense,unspecified,debit,0,,Expenses / Expenses-Marketing,,,,Expenses / Expenses-Marketing / Internet Marketing,
,Expenses-Operating,expense,group,debit,1,,Expenses,,,,Expenses / Expenses-Operating,
,Cleaning Costs,expense,unspecified,debit,0,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Cleaning Costs,
,Commission Charges,expense,group,debit,1,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Commission Charges,
,Comm-Credit Card,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Commission Charges,,,,Expenses / Expenses-Operating / Commission Charges / Comm-Credit Card,
,Comm-NETS,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Commission Charges,,,,Expenses / Expenses-Operating / Commission Charges / Comm-NETS,
,Comm-Paypal,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Commission Charges,,,,Expenses / Expenses-Operating / Commission Charges / Comm-Paypal,
,Communication Costs,expense,group,debit,1,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Communication Costs,
,Internet Connection,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Communication Costs,,,,Expenses / Expenses-Operating / Communication Costs / Internet Connection,
,Telephone Costs,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Communication Costs,,,,Expenses / Expenses-Operating / Communication Costs / Telephone Costs,
,Entertainment Expenses,expense,unspecified,debit,0,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Entertainment Expenses,
,General Expenses,expense,unspecified,debit,0,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / General Expenses,
,Licence Fees,expense,unspecified,debit,0,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Licence Fees,
,Rental Costs,expense,group,debit,1,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Rental Costs,
,Rental-Equipment,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Rental Costs,,,,Expenses / Expenses-Operating / Rental Costs / Rental-Equipment,
,Rental-Premises,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Rental Costs,,,,Expenses / Expenses-Operating / Rental Costs / Rental-Premises,
,Rental-Storage,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Rental Costs,,,,Expenses / Expenses-Operating / Rental Costs / Rental-Storage,
,Repairs and Maintenance,expense,group,debit,1,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Repairs and Maintenance,
,R&M-Building,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Repairs and Maintenance,,,,Expenses / Expenses-Operating / Repairs and Maintenance / R&M-Building,
,R&M-Fixtures & Furniture,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Repairs and Maintenance,,,,Expenses / Expenses-Operating / Repairs and Maintenance / R&M-Fixtures & Furniture,
,R&M-ICT,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Repairs and Maintenance,,,,Expenses / Expenses-Operating / Repairs and Maintenance / R&M-ICT,
,R&M-Office,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Repairs and Maintenance,,,,Expenses / Expenses-Operating / Repairs and Maintenance / R&M-Office,
,R&M-Plant & Machinery,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Repairs and Maintenance,,,,Expenses / Expenses-Operating / Repairs and Maintenance / R&M-Plant & Machinery,
,Service Fees,expense,unspecified,debit,0,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Service Fees,
,Subscription Fees,expense,group,debit,1,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Subscription Fees,
,Publication Subscriptions,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Subscription Fees,,,,Expenses / Expenses-Operating / Subscription Fees / Publication Subscriptions,
,TV Subscriptions,expense,unspecified,debit,0,,Expenses / Expenses-Operating / Subscription Fees,,,,Expenses / Expenses-Operating / Subscription Fees / TV Subscriptions,
,Travel Expenses,expense,unspecified,debit,0,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Travel Expenses,
,Utilities,expense,group,debit,1,,Expenses / Expenses-Operating,,,,Expenses / Expenses-Operating / Utilities,
