code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,Assets,asset,group,debit,1,,,,,,Assets,
,Current assets,asset,group,debit,1,,Assets,,,,Assets / Current assets,
,Accounts Receivable,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Accounts Receivable,
,Credit Cards,asset,group,debit,1,,Assets / Current assets / Accounts Receivable,,,,Assets / Current assets / Accounts Receivable / Credit Cards,
,AMEX Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / AMEX Receivable,
,CUP Receivale,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / CUP Receivale,
,MC Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / MC Receivable,
,NETS Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / NETS Receivable,
,VISA Receivable,asset,unspecified,debit,0,,Assets / Current assets / Accounts Receivable / Credit Cards,,,,Assets / Current assets / Accounts Receivable / Credit Cards / VISA Receivable,
,Debtors,asset,receivable,debit,0,receivables,Assets / Current assets / Accounts Receivable,Receivable,,,Assets / Current assets / Accounts Receivable / Debtors,
,Bank Accounts,asset,bank,debit,1,,Assets / Current assets,Bank,,,Assets / Current assets / Bank Accounts,
,Paypal Account,asset,bank,debit,0,cash_bank,Assets / Current assets / Bank Accounts,Bank,,,Assets / Current assets / Bank Accounts / Paypal Account,
,Cash in Hand,asset,cash,debit,1,,Assets / Current assets,Cash,,,Assets / Current assets / Cash in Hand,
,Cash in Transit,asset,cash,debit,0,cash_bank,Assets / Current assets / Cash in Hand,Cash,,,Assets / Current assets / Cash in Hand / Cash in Transit,
,Petty Cash,asset,cash,debit,0,cash_bank,Assets / Current assets / Cash in Hand,Cash,,,Assets / Current assets / Cash in Hand / Petty Cash,
,Loans and Advances-Assets,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Loans and Advances-Assets,
,Prepayments,asset,unspecified,debit,0,,Assets / Current assets / Loans and Advances-Assets,,,,Assets / Current assets / Loans and Advances-Assets / Prepayments,
,Securities and Deposits,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Securities and Deposits,
,Bank Guarantees,asset,unspecified,debit,0,,Assets / Current assets / Securities and Deposits,,,,Assets / Current assets / Securities and Deposits / Bank Guarantees,
,Bank Deposits,asset,unspecified,debit,0,,Assets / Current assets / Securities and Deposits,,,,Assets / Current assets / Securities and Deposits / Bank Deposits,
,Rental Deposits,asset,unspecified,debit,0,,Assets / Current assets / Securities and Deposits,,,,Assets / Current assets / Securities and Deposits / Rental Deposits,
,Stock Assets,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Stock Assets,
,Stock in Hand,asset,inventory,debit,0,,Assets / Current assets / Stock Assets,Stock,,,Assets / Current assets / Stock Assets / Stock in Hand,
,Tax Assets,asset,group,debit,1,,Assets / Current assets,,,,Assets / Current assets / Tax Assets,
,GST-Input,asset,unspecified,debit,0,,Assets / Current assets / Tax Assets,,,,Assets / Current assets / Tax Assets / GST-Input,
,Non-current assets,asset,group,debit,1,,Assets,,,,Assets / Non-current assets,
,Fixed Assets,asset,group,debit,1,,Assets / Non-current assets,,,,Assets / Non-current assets / Fixed Assets,
,Accumulated Depreciation,asset,group,debit,1,,Assets / Non-current assets / Fixed Assets,,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,
,AccDep-Equipment-AV,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-AV,contra
,AccDep-Equipment-Bar,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-Bar,contra
,AccDep-Equipment-ICT,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-ICT,contra
,AccDep-Equipment-Electrical,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-Electrical,contra
,AccDep-Furniture and Fixtures,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Furniture and Fixtures,contra
,AccDep-Equipment-Kitchen,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-Kitchen,contra
,AccDep-Equipment-Lighting,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-Lighting,contra
,AccDep-Equipment-Office,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Equipment-Office,contra
,AccDep-Motor Vehicle,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Motor Vehicle,contra
,AccDep-Plant and Machinery,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Plant and Machinery,contra
,AccDep-Renovation,asset,accumulated_depreciation,credit,0,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation,Accumulated Depreciation,,,Assets / Non-current assets / Fixed Assets / Accumulated Depreciation / AccDep-Renovation,contra
,Equipment-AV,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-AV,
,Equipment-Bar,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-Bar,
,Equipment-ICT,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-ICT,
,Equipment-Electrical,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-Electrical,
,Furniture and Fixtures,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Furniture and Fixtures,
,Equipment-Kitchen,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-Kitchen,
,Equipment-Lighting,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-Lighting,
,Equipment-Office,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Equipment-Office,
,Motor Vehicle,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Motor Vehicle,
,Plant and Machinery,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Plant and Machinery,
,Renovation,asset,fixed_asset,debit,0,,Assets / Non-current assets / Fixed Assets,Fixed Asset,,,Assets / Non-current assets / Fixed Assets / Renovation,
,Non-Fixed Assets,asset,group,debit,1,,Assets / Non-current assets,,,,Assets / Non-current assets / Non-Fixed Assets,
,Goodwill,asset,unspecified,debit,0,,Assets / Non-current assets / Non-Fixed Assets,,,,Assets / Non-current assets / Non-Fixed Assets / Goodwill,
,Investments,asset,group,debit,1,,Assets / Non-current assets / Non-Fixed Assets,,,,Assets / Non-current assets / Non-Fixed Assets / Investments,
,Investments-Associated Company,asset,unspecified,debit,0,,Assets / Non-current assets / Non-Fixed Assets / Investments,,,,Assets / Non-current assets / Non-Fixed Assets / Investments / Investments-Associated Company,
,Investments-Subsidiary,asset,unspecified,debit,0,,Assets / Non-current assets / Non-Fixed Assets / Investments,,,,Assets / Non-current assets / Non-Fixed Assets / Investments / Investments-Subsidiary,
,Shares,asset,group,debit,1,,Assets / Non-current assets,,,,Assets / Non-current assets / Shares,
,Shares-Quoted,asset,unspecified,debit,0,,Assets / Non-current assets / Shares,,,,Assets / Non-current assets / Shares / Shares-Quoted,
,Shares-Unquoted,asset,unspecified,debit,0,,Assets / Non-current assets / Shares,,,,Assets / Non-current assets / Shares / Shares-Unquoted,
,Temporary Accunts,asset,group,debit,1,,Assets,,,,Assets / Temporary Accunts,
,Temporary Opening,asset,temporary,debit,0,,Assets / Temporary Accunts,Temporary,,,Assets / Temporary Accunts / Temporary Opening,
,Liabilities,liability,group,credit,1,,,,,,Liabilities,
,Current liabilities,liability,group,credit,1,,Liabilities,,,,Liabilities / Current liabilities,
,Accounts Payable,liability,group,credit,1,,Liabilities / Current liabilities,,,,Liabilities / Current liabilities / Accounts Payable,
,Creditors,liability,payable,credit,0,payables,Liabilities / Current liabilities / Accounts Payable,Payable,,,Liabilities / Current liabilities / Accounts Payable / Creditors,
,Payroll Payable,liability,unspecified,credit,0,,Liabilities / Current liabilities / Accounts Payable,,,,Liabilities / Current liabilities / Accounts Payable / Payroll Payable,
,Duties and Taxes,liability,tax,credit,1,,Liabilities / Current liabilities,Tax,,,Liabilities / Current liabilities / Duties and Taxes,
,Deferred Tax Liabilities-Current,liability,unspecified,credit,0,,Liabilities / Current liabilities / Duties and Taxes,,,,Liabilities / Current liabilities / Duties and Taxes / Deferred Tax Liabilities-Current,
,GST-Output,liability,unspecified,credit,0,,Liabilities / Current liabilities / Duties and Taxes,,,,Liabilities / Current liabilities / Duties and Taxes / GST-Output,
,Income Tax Payable,liability,unspecified,credit,0,,Liabilities / Current liabilities / Duties and Taxes,,,,Liabilities / Current liabilities / Duties and Taxes / Income Tax Payable,
,Loans-Current,liability,group,credit,1,,Liabilities / Current liabilities,,,,Liabilities / Current liabilities / Loans-Current,
,Amount Owing to Directors,liability,unspecified,credit,0,,Liabilities / Current liabilities / Loans-Current,,,,Liabilities / Current liabilities / Loans-Current / Amount Owing to Directors,
,Bank Overdaft Account,liability,unspecified,credit,0,,Liabilities / Current liabilities / Loans-Current,,,,Liabilities / Current liabilities / Loans-Current / Bank Overdaft Account,
,Secured Loans,liability,unspecified,credit,0,,Liabilities / Current liabilities / Loans-Current,,,,Liabilities / Current liabilities / Loans-Current / Secured Loans,
,Unsecured Loans,liability,unspecified,credit,0,,Liabilities / Current liabilities / Loans-Current,,,,Liabilities / Current liabilities / Loans-Current / Unsecured Loans,
,Provision and Accruals,liability,group,credit,1,,Liabilities / Current liabilities,,,,Liabilities / Current liabilities / Provision and Accruals,
,Accruals,liability,group,credit,1,,Liabilities / Current liabilities / Provision and Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals,
,Accr-CPF,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals / Accr-CPF,
,Accr-Incentives,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals / Accr-Incentives,
,Accr-OCR Employee Card,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals / Accr-OCR Employee Card,
,Accr-Paypal Credit,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals / Accr-Paypal Credit,
,Accr-Sundry,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals / Accr-Sundry,
,Accr-Tips,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals / Accr-Tips,
,Accr-Withholding Tax,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Accruals / Accr-Withholding Tax,
,Provisions,liability,group,credit,1,,Liabilities / Current liabilities / Provision and Accruals,,,,Liabilities / Current liabilities / Provision and Accruals / Provisions,
,Prov-Audit Fee,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Provisions,,,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Audit Fee,
,Prov-Others,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Provisions,,,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Others,
,Prov-Tax Fee,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Provisions,,,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Tax Fee,
,Prov-Bonus,liability,group,credit,1,,Liabilities / Current liabilities / Provision and Accruals / Provisions,,,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Bonus,
,Prov-Bonus-Executive,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Bonus,,,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Bonus / Prov-Bonus-Executive,
,Prov-Bonus-Non Executive,liability,unspecified,credit,0,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Bonus,,,,Liabilities / Current liabilities / Provision and Accruals / Provisions / Prov-Bonus / Prov-Bonus-Non Executive,
