code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1000,Application of Funds (Assets),asset,group,debit,1,,,,,,Application of Funds (Assets),
1100-1600,Current Assets,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Current Assets,
1300,Accounts Receivable,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Accounts Receivable,
1310,Debtors,asset,receivable,debit,0,receivables,Application of Funds (Assets) / Current Assets / Accounts Receivable,Receivable,,,Application of Funds (Assets) / Current Assets / Accounts Receivable / Debtors,
1200,Bank Accounts,asset,bank,debit,1,,Application of Funds (Assets) / Current Assets,Bank,,,Application of Funds (Assets) / Current Assets / Bank Accounts,
1100,Cash In Hand,asset,cash,debit,1,,Application of Funds (Assets) / Current Assets,Cash,,,Application of Funds (Assets) / Current Assets / Cash In Hand,
1110,Cash,asset,cash,debit,0,cash_bank,Application of Funds (Assets) / Current Assets / Cash In Hand,Cash,,,Application of Funds (Assets) / Current Assets / Cash In Hand / Cash,
1600,Loans and Advances (Assets),asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Loans and Advances (Assets),
1610,Employee Advances,asset,payable,debit,0,payables,Application of Funds (Assets) / Current Assets / Loans and Advances (Assets),Payable,,,Application of Funds (Assets) / Current Assets / Loans and Advances (Assets) / Employee Advances,
1650,Securities and Deposits,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Securities and Deposits,
1651,Earnest Money,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets / Securities and Deposits,,,,Application of Funds (Assets) / Current Assets / Securities and Deposits / Earnest Money,
1660,Prepaid Expenses,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Prepaid Expenses,
1670,Short-term Investments,asset,unspecified,debit,0,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Short-term Investments,
1400,Stock Assets,asset,inventory,debit,1,,Application of Funds (Assets) / Current Assets,Stock,,,Application of Funds (Assets) / Current Assets / Stock Assets,
1410,Stock In Hand,asset,inventory,debit,0,,Application of Funds (Assets) / Current Assets / Stock Assets,Stock,,,Application of Funds (Assets) / Current Assets / Stock Assets / Stock In Hand,
1500,Tax Assets,asset,group,debit,1,,Application of Funds (Assets) / Current Assets,,,,Application of Funds (Assets) / Current Assets / Tax Assets,
1700,Fixed Assets,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Fixed Assets,
1710,Capital Equipment,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Capital Equipment,
1720,Electronic Equipment,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Electronic Equipment,
1730,Furniture and Fixtures,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Furniture and Fixtures,
1740,Office Equipment,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Office Equipment,
1750,Plants and Machineries,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Plants and Machineries,
1760,Buildings,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Buildings,
1770,Software,asset,fixed_asset,debit,0,,Application of Funds (Assets) / Fixed Assets,Fixed Asset,,,Application of Funds (Assets) / Fixed Assets / Software,
1780,Accumulated Depreciation,asset,accumulated_depreciation,credit,0,,Application of Funds (Assets) / Fixed Assets,Accumulated Depreciation,,,Application of Funds (Assets) / Fixed Assets / Accumulated Depreciation,contra
1790,CWIP Account,asset,capital_work_in_progress,debit,0,,Application of Funds (Assets) / Fixed Assets,Capital Work in Progress,,,Application of Funds (Assets) / Fixed Assets / CWIP Account,
1800,Investments,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Investments,
1900,Temporary Accounts,asset,group,debit,1,,Application of Funds (Assets),,,,Application of Funds (Assets) / Temporary Accounts,
1910,Temporary Opening,asset,temporary,debit,0,,Application of Funds (Assets) / Temporary Accounts,Temporary,,,Application of Funds (Assets) / Temporary Accounts / Temporary Opening,
5000,Expenses,expense,group,debit,1,,,,,,Expenses,
5100,Direct Expenses,expense,group,debit,1,,Expenses,,,,Expenses / Direct Expenses,
5110,Stock Expenses,expense,group,debit,1,,Expenses / Direct Expenses,,,,Expenses / Direct Expenses / Stock Expenses,
5111,Cost of Goods Sold,expense,direct_cost,debit,0,,Expenses / Direct Expenses / Stock Expenses,Cost of Goods Sold,,,Expenses / Direct Expenses / Stock Expenses / Cost of Goods Sold,
5112,Expenses Included In Asset Valuation,expense,asset_valuation_expense,debit,0,,Expenses / Direct Expenses / Stock Expenses,Expenses Included In Asset Valuation,,,Expenses / Direct Expenses / Stock Expenses / Expenses Included In Asset Valuation,
