code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
,1-Comptes de ressources durables,equity,group,credit,1,,,,,,1-Comptes de ressources durables,
,10-Capital,equity,group,credit,1,,1-Comptes de ressources durables,,,,1-Comptes de ressources durables / 10-Capital,
,101-Capital social,equity,group,credit,1,,1-Comptes de ressources durables / 10-Capital,,,,1-Comptes de ressources durables / 10-Capital / 101-Capital social,
,"1011-Capital souscrit, non appelé",equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 101-Capital social,,,,"1-Comptes de ressources durables / 10-Capital / 101-Capital social / 1011-Capital souscrit, non appelé",
,"1012-Capital souscrit, appelé, non versé",equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 101-Capital social,,,,"1-Comptes de ressources durables / 10-Capital / 101-Capital social / 1012-Capital souscrit, appelé, non versé",
,"1013-Capital souscrit, appelé, versé, non amorti",equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 101-Capital social,,,,"1-Comptes de ressources durables / 10-Capital / 101-Capital social / 1013-Capital souscrit, appelé, versé, non amorti",
,"1014-Capital souscrit, appelé, versé, amorti",equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 101-Capital social,,,,"1-Comptes de ressources durables / 10-Capital / 101-Capital social / 1014-Capital souscrit, appelé, versé, amorti",
,1018-Capital souscrit soumis à des conditions particulières,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 101-Capital social,,,,1-Comptes de ressources durables / 10-Capital / 101-Capital social / 1018-Capital souscrit soumis à des conditions particulières,
,102-Capital par dotation,equity,group,credit,1,,1-Comptes de ressources durables / 10-Capital,,,,1-Comptes de ressources durables / 10-Capital / 102-Capital par dotation,
,1021-Dotation initiale,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 102-Capital par dotation,,,,1-Comptes de ressources durables / 10-Capital / 102-Capital par dotation / 1021-Dotation initiale,
,1022-Dotations complémentaires,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 102-Capital par dotation,,,,1-Comptes de ressources durables / 10-Capital / 102-Capital par dotation / 1022-Dotations complémentaires,
,1028-Autres dotations,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 102-Capital par dotation,,,,1-Comptes de ressources durables / 10-Capital / 102-Capital par dotation / 1028-Autres dotations,
,103-Capital personnel,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital,,,,1-Comptes de ressources durables / 10-Capital / 103-Capital personnel,
,104-Compte de l’exploitant,equity,group,credit,1,,1-Comptes de ressources durables / 10-Capital,,,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant,
,1041-Apports temporaires,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant,,,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant / 1041-Apports temporaires,
,1042-Opérations courantes,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant,,,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant / 1042-Opérations courantes,
,"1043-Rémunérations, impôts et autres charges personnelles",equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant,,,,"1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant / 1043-Rémunérations, impôts et autres charges personnelles",
,1047-Prélèvements d’autoconsommation,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant,,,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant / 1047-Prélèvements d’autoconsommation,
,1048-Autres prélèvements,equity,unspecified,credit,0,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant,,,,1-Comptes de ressources durables / 10-Capital / 104-Compte de l’exploitant / 1048-Autres prélèvements,
,105-Primes liées au capital social,equity,group,credit,1,,1-Comptes de ressources durables / 10-Capital,,,,1-Comptes de ressources durables / 10-Capital / 105-Primes liées au capital social,
