code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,Comptes de ressources durables,equity,group,credit,1,,,,,,Comptes de ressources durables,
10,Capital,equity,group,credit,1,,Comptes de ressources durables,,,,Comptes de ressources durables / Capital,
101,Capital social,equity,group,credit,1,,Comptes de ressources durables / Capital,,,,Comptes de ressources durables / Capital / Capital social,
1011,"Capital souscrit, non appelé",equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital social,,,,"Comptes de ressources durables / Capital / Capital social / Capital souscrit, non appelé",
1012,"Capital souscrit, appelé, non versé",equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital social,,,,"Comptes de ressources durables / Capital / Capital social / Capital souscrit, appelé, non versé",
1013,"Capital souscrit, appelé, versé, non amorti",equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital social,,,,"Comptes de ressources durables / Capital / Capital social / Capital souscrit, appelé, versé, non amorti",
1014,"Capital souscrit, appelé, versé, amorti",equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital social,,,,"Comptes de ressources durables / Capital / Capital social / Capital souscrit, appelé, versé, amorti",
1018,Capital souscrit soumis à des conditions particulières,equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital social,,,,Comptes de ressources durables / Capital / Capital social / Capital souscrit soumis à des conditions particulières,
102,Capital par dotation,equity,group,credit,1,,Comptes de ressources durables / Capital,,,,Comptes de ressources durables / Capital / Capital par dotation,
1021,Dotation initiale,equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital par dotation,,,,Comptes de ressources durables / Capital / Capital par dotation / Dotation initiale,
1022,Dotations complémentaires,equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital par dotation,,,,Comptes de ressources durables / Capital / Capital par dotation / Dotations complémentaires,
1028,Autres dotations,equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Capital par dotation,,,,Comptes de ressources durables / Capital / Capital par dotation / Autres dotations,
103,Capital personnel,equity,unspecified,credit,0,,Comptes de ressources durables / Capital,,,,Comptes de ressources durables / Capital / Capital personnel,
104,Compte de l’exploitant,equity,group,credit,1,,Comptes de ressources durables / Capital,,,,Comptes de ressources durables / Capital / Compte de l’exploitant,
1041,Apports temporaires,equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Compte de l’exploitant,,,,Comptes de ressources durables / Capital / Compte de l’exploitant / Apports temporaires,
1042,Opérations courantes,equity,unspecified,credit,0,,Comptes de ressources durables / Capital / Compte de l’exploitant,,,,Comptes de ressources durables / Capital / Compte de l’exploitant / Opérations courantes,
