code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1,DÖNEN VARLIKLAR,asset,group,debit,1,,,,,,DÖNEN VARLIKLAR,
10,HAZIR DEĞERLER,asset,group,debit,1,,DÖNEN VARLIKLAR,,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER,
100,KASA,asset,cash,debit,1,,DÖNEN VARLIKLAR / HAZIR DEĞERLER,Cash,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / KASA,
100.01,TL KASA,asset,cash,debit,0,cash_bank,DÖNEN VARLIKLAR / HAZIR DEĞERLER / KASA,Cash,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / KASA / TL KASA,
100.02,EUR KASA,asset,cash,debit,0,cash_bank,DÖNEN VARLIKLAR / HAZIR DEĞERLER / KASA,Cash,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / KASA / EUR KASA,
100.03,USD KASA,asset,cash,debit,0,cash_bank,DÖNEN VARLIKLAR / HAZIR DEĞERLER / KASA,Cash,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / KASA / USD KASA,
101,ALINAN ÇEKLER,asset,group,debit,1,,DÖNEN VARLIKLAR / HAZIR DEĞERLER,,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / ALINAN ÇEKLER,
102,BANKALAR,asset,bank,debit,1,,DÖNEN VARLIKLAR / HAZIR DEĞERLER,Bank,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / BANKALAR,
103,VERİLEN ÇEKLER VE ÖDEME EMİRLERİ(-),asset,group,debit,1,,DÖNEN VARLIKLAR / HAZIR DEĞERLER,,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / VERİLEN ÇEKLER VE ÖDEME EMİRLERİ(-),
108,DİĞER HAZIR DEĞERLER,asset,group,debit,1,,DÖNEN VARLIKLAR / HAZIR DEĞERLER,,,,DÖNEN VARLIKLAR / HAZIR DEĞERLER / DİĞER HAZIR DEĞERLER,
11,MENKUL KIYMETLER,asset,group,debit,1,,DÖNEN VARLIKLAR,,,,DÖNEN VARLIKLAR / MENKUL KIYMETLER,
110,HİSSE SENETLERİ,asset,group,debit,1,,DÖNEN VARLIKLAR / MENKUL KIYMETLER,,,,DÖNEN VARLIKLAR / MENKUL KIYMETLER / HİSSE SENETLERİ,
111,ÖZEL KESİM TAHVİL SENET VE BONOLARI,asset,group,debit,1,,DÖNEN VARLIKLAR / MENKUL KIYMETLER,,,,DÖNEN VARLIKLAR / MENKUL KIYMETLER / ÖZEL KESİM TAHVİL SENET VE BONOLARI,
112,"KAMU KESİMİ TAHVİL, SENET VE BONOLARI",asset,group,debit,1,,DÖNEN VARLIKLAR / MENKUL KIYMETLER,,,,"DÖNEN VARLIKLAR / MENKUL KIYMETLER / KAMU KESİMİ TAHVİL, SENET VE BONOLARI",
118,DİĞER MENKUL KIYMETLER,asset,group,debit,1,,DÖNEN VARLIKLAR / MENKUL KIYMETLER,,,,DÖNEN VARLIKLAR / MENKUL KIYMETLER / DİĞER MENKUL KIYMETLER,
119,MENKUL KIYMETLER DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI(-),asset,group,debit,1,,DÖNEN VARLIKLAR / MENKUL KIYMETLER,,,,DÖNEN VARLIKLAR / MENKUL KIYMETLER / MENKUL KIYMETLER DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI(-),
12,TİCARİ ALACAKLAR,asset,group,debit,1,,DÖNEN VARLIKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,
120,ALICILAR,asset,group,debit,1,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / ALICILAR,
120.01,ALICILAR,asset,receivable,debit,0,receivables,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / ALICILAR,Receivable,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / ALICILAR / ALICILAR,
121,ALACAK SENETLERİ,asset,group,debit,1,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / ALACAK SENETLERİ,
122,ALACAK SENETLERİ REESKONTU(-),asset,group,debit,1,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / ALACAK SENETLERİ REESKONTU(-),
124,KAZANILMAMIŞ FİNANSAL KİRALAMA FAİZ GELİRLERİ (-),asset,group,debit,1,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / KAZANILMAMIŞ FİNANSAL KİRALAMA FAİZ GELİRLERİ (-),
126,VERİLEN DEPOZİTO VE TEMİNATLAR,asset,group,debit,1,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / VERİLEN DEPOZİTO VE TEMİNATLAR,
127,DİĞER TİCARİ ALACAKLAR,asset,group,debit,1,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / DİĞER TİCARİ ALACAKLAR,
128,ŞÜPHELİ TİCARİ ALACAKLAR,asset,group,debit,1,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR,,,,DÖNEN VARLIKLAR / TİCARİ ALACAKLAR / ŞÜPHELİ TİCARİ ALACAKLAR,
