code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
8,所得稅費用(利益),expense,group,debit,1,,,,,,所得稅費用(利益),
81,所得稅費用(利益),expense,group,debit,1,,所得稅費用(利益),,,,所得稅費用(利益) / 所得稅費用(利益),
811,所得稅費用(利益),expense,group,debit,1,,所得稅費用(利益) / 所得稅費用(利益),,,,所得稅費用(利益) / 所得稅費用(利益) / 所得稅費用(利益),
8111,所得稅費用(利益),expense,unspecified,debit,0,,所得稅費用(利益) / 所得稅費用(利益) / 所得稅費用(利益),,,,所得稅費用(利益) / 所得稅費用(利益) / 所得稅費用(利益) / 所得稅費用(利益),
3,業主權益,equity,group,credit,1,,,,,,業主權益,
33,保留盈餘(累積虧損),equity,group,credit,1,,業主權益,,,,業主權益 / 保留盈餘(累積虧損),
335,未分配盈餘(累積虧損),equity,group,credit,1,,業主權益 / 保留盈餘(累積虧損),,,,業主權益 / 保留盈餘(累積虧損) / 未分配盈餘(累積虧損),
331,法定盈餘公積,equity,group,credit,1,,業主權益 / 保留盈餘(累積虧損),,,,業主權益 / 保留盈餘(累積虧損) / 法定盈餘公積,
3311,法定盈餘公積,equity,unspecified,credit,0,,業主權益 / 保留盈餘(累積虧損) / 法定盈餘公積,,,,業主權益 / 保留盈餘(累積虧損) / 法定盈餘公積 / 法定盈餘公積,
332,特別盈餘公積,equity,group,credit,1,,業主權益 / 保留盈餘(累積虧損),,,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積,
3323,償債準備,equity,unspecified,credit,0,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積,,,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積 / 償債準備,
3328,其他特別盈餘公積,equity,unspecified,credit,0,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積,,,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積 / 其他特別盈餘公積,
3321,意外損失準備,equity,unspecified,credit,0,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積,,,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積 / 意外損失準備,
3322,改良擴充準備,equity,unspecified,credit,0,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積,,,,業主權益 / 保留盈餘(累積虧損) / 特別盈餘公積 / 改良擴充準備,
36,少數股權,equity,group,credit,1,,業主權益,,,,業主權益 / 少數股權,
361,少數股權,equity,group,credit,1,,業主權益 / 少數股權,,,,業主權益 / 少數股權 / 少數股權,
3611,少數股權,equity,unspecified,credit,0,,業主權益 / 少數股權 / 少數股權,,,,業主權益 / 少數股權 / 少數股權 / 少數股權,
35,庫藏股,equity,group,credit,1,,業主權益,,,,業主權益 / 庫藏股,
351,庫藏股,equity,group,credit,1,,業主權益 / 庫藏股,,,,業主權益 / 庫藏股 / 庫藏股,
3511,庫藏股,equity,unspecified,credit,0,,業主權益 / 庫藏股 / 庫藏股,,,,業主權益 / 庫藏股 / 庫藏股 / 庫藏股,
34,權益調整,equity,group,credit,1,,業主權益,,,,業主權益 / 權益調整,
343,未認列為退休金成本之淨損失,equity,group,credit,1,,業主權益 / 權益調整,,,,業主權益 / 權益調整 / 未認列為退休金成本之淨損失,
3431,未認列為退休金成本之淨損失,equity,unspecified,credit,0,,業主權益 / 權益調整 / 未認列為退休金成本之淨損失,,,,業主權益 / 權益調整 / 未認列為退休金成本之淨損失 / 未認列為退休金成本之淨損失,
342,累積換算調整數,equity,group,credit,1,,業主權益 / 權益調整,,,,業主權益 / 權益調整 / 累積換算調整數,
3421,累積換算調整數,equity,unspecified,credit,0,,業主權益 / 權益調整 / 累積換算調整數,,,,業主權益 / 權益調整 / 累積換算調整數 / 累積換算調整數,
341,長期股權投資未實現跌價損失,equity,group,credit,1,,業主權益 / 權益調整,,,,業主權益 / 權益調整 / 長期股權投資未實現跌價損失,
3411,長期股權投資未實現跌價損失,equity,unspecified,credit,0,,業主權益 / 權益調整 / 長期股權投資未實現跌價損失,,,,業主權益 / 權益調整 / 長期股權投資未實現跌價損失 / 長期股權投資未實現跌價損失,
31,資本,equity,group,credit,1,,業主權益,,,,業主權益 / 資本,
311,資本（股本）,equity,group,credit,1,,業主權益 / 資本,,,,業主權益 / 資本 / 資本（股本）,
3114,待分配股票股利,equity,unspecified,credit,0,,業主權益 / 資本 / 資本（股本）,,,,業主權益 / 資本 / 資本（股本） / 待分配股票股利,
3111,普通股股本,equity,unspecified,credit,0,,業主權益 / 資本 / 資本（股本）,,,,業主權益 / 資本 / 資本（股本） / 普通股股本,
3112,特別股股本,equity,unspecified,credit,0,,業主權益 / 資本 / 資本（股本）,,,,業主權益 / 資本 / 資本（股本） / 特別股股本,
3115,資本,equity,unspecified,credit,0,,業主權益 / 資本 / 資本（股本）,,,,業主權益 / 資本 / 資本（股本） / 資本,
3113,預收股本,equity,unspecified,credit,0,,業主權益 / 資本 / 資本（股本）,,,,業主權益 / 資本 / 資本（股本） / 預收股本,
32,資本公積,equity,group,credit,1,,業主權益,,,,業主權益 / 資本公積,
328,其他資本公積,equity,group,credit,1,,業主權益 / 資本公積,,,,業主權益 / 資本公積 / 其他資本公積,
3281,權益法長期股權投資資本公積,equity,unspecified,credit,0,,業主權益 / 資本公積 / 其他資本公積,,,,業主權益 / 資本公積 / 其他資本公積 / 權益法長期股權投資資本公積,
3282,資本公積— 庫藏股票交易,equity,unspecified,credit,0,,業主權益 / 資本公積 / 其他資本公積,,,,業主權益 / 資本公積 / 其他資本公積 / 資本公積— 庫藏股票交易,
326,受贈公積,equity,group,credit,1,,業主權益 / 資本公積,,,,業主權益 / 資本公積 / 受贈公積,
3261,受贈公積,equity,unspecified,credit,0,,業主權益 / 資本公積 / 受贈公積,,,,業主權益 / 資本公積 / 受贈公積 / 受贈公積,
325,合併公積,equity,group,credit,1,,業主權益 / 資本公積,,,,業主權益 / 資本公積 / 合併公積,
3251,合併公積,equity,unspecified,credit,0,,業主權益 / 資本公積 / 合併公積,,,,業主權益 / 資本公積 / 合併公積 / 合併公積,
321,股票溢價,equity,group,credit,1,,業主權益 / 資本公積,,,,業主權益 / 資本公積 / 股票溢價,
3211,普通股股票溢價,equity,unspecified,credit,0,,業主權益 / 資本公積 / 股票溢價,,,,業主權益 / 資本公積 / 股票溢價 / 普通股股票溢價,
3212,特別股股票溢價,equity,unspecified,credit,0,,業主權益 / 資本公積 / 股票溢價,,,,業主權益 / 資本公積 / 股票溢價 / 特別股股票溢價,
324,處分資產溢價公積,equity,group,credit,1,,業主權益 / 資本公積,,,,業主權益 / 資本公積 / 處分資產溢價公積,
3241,處分資產溢價公積,equity,unspecified,credit,0,,業主權益 / 資本公積 / 處分資產溢價公積,,,,業主權益 / 資本公積 / 處分資產溢價公積 / 處分資產溢價公積,
323,資產重估增值準備,equity,group,credit,1,,業主權益 / 資本公積,,,,業主權益 / 資本公積 / 資產重估增值準備,
3231,資產重估增值準備,equity,unspecified,credit,0,,業主權益 / 資本公積 / 資產重估增值準備,,,,業主權益 / 資本公積 / 資產重估增值準備 / 資產重估增值準備,
7,營業外收入及費用,income,group,credit,1,,,,,,營業外收入及費用,
71~74,營業外收入,income,group,credit,1,,營業外收入及費用,,,,營業外收入及費用 / 營業外收入,
713,兌換利益,income,group,credit,1,,營業外收入及費用 / 營業外收入,,,,營業外收入及費用 / 營業外收入 / 兌換利益,
7131,兌換利益,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 兌換利益,,,,營業外收入及費用 / 營業外收入 / 兌換利益 / 兌換利益,
748,其他營業外收入,income,group,credit,1,,營業外收入及費用 / 營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入,
7483,佣金收入,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 佣金收入,
7488,其他營業外收入—其他,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 其他營業外收入—其他,
7484,出售下腳及廢料收入,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 出售下腳及廢料收入,
7487,壞帳轉回利益,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 壞帳轉回利益,
7485,存貨盤盈,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 存貨盤盈,
7486,存貨跌價回升利益,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 存貨跌價回升利益,
7481,捐贈收入,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 捐贈收入,
7482,租金收入,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 其他營業外收入,,,,營業外收入及費用 / 營業外收入 / 其他營業外收入 / 租金收入,
711,利息收入,income,group,credit,1,,營業外收入及費用 / 營業外收入,,,,營業外收入及費用 / 營業外收入 / 利息收入,
7111,利息收入,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 利息收入,,,,營業外收入及費用 / 營業外收入 / 利息收入 / 利息收入,
712,投資收益,income,group,credit,1,,營業外收入及費用 / 營業外收入,,,,營業外收入及費用 / 營業外收入 / 投資收益,
7121,權益法認列之投資收益,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 投資收益,,,,營業外收入及費用 / 營業外收入 / 投資收益 / 權益法認列之投資收益,
7123,短期投資市價回升利益,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 投資收益,,,,營業外收入及費用 / 營業外收入 / 投資收益 / 短期投資市價回升利益,
7122,股利收入,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 投資收益,,,,營業外收入及費用 / 營業外收入 / 投資收益 / 股利收入,
714,處分投資收益,income,group,credit,1,,營業外收入及費用 / 營業外收入,,,,營業外收入及費用 / 營業外收入 / 處分投資收益,
7141,處分投資收益,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 處分投資收益,,,,營業外收入及費用 / 營業外收入 / 處分投資收益 / 處分投資收益,
715,處分資產溢價收入,income,group,credit,1,,營業外收入及費用 / 營業外收入,,,,營業外收入及費用 / 營業外收入 / 處分資產溢價收入,
7151,處分資產溢價收入,income,unspecified,credit,0,,營業外收入及費用 / 營業外收入 / 處分資產溢價收入,,,,營業外收入及費用 / 營業外收入 / 處分資產溢價收入 / 處分資產溢價收入,
75~78,營業外費用,income,group,credit,1,,營業外收入及費用,,,,營業外收入及費用 / 營業外費用,
753,兌換損失,income,group,credit,1,,營業外收入及費用 / 營業外費用,,,,營業外收入及費用 / 營業外費用 / 兌換損失,
7531,兌換損失,income,unspecified,credit,0,,營業外收入及費用 / 營業外費用 / 兌換損失,,,,營業外收入及費用 / 營業外費用 / 兌換損失 / 兌換損失,
788,其他營業外費用,income,group,credit,1,,營業外收入及費用 / 營業外費用,,,,營業外收入及費用 / 營業外費用 / 其他營業外費用,
7881,停工損失,income,unspecified,credit,0,,營業外收入及費用 / 營業外費用 / 其他營業外費用,,,,營業外收入及費用 / 營業外費用 / 其他營業外費用 / 停工損失,
7888,其他營業外費用—其他,income,unspecified,credit,0,,營業外收入及費用 / 營業外費用 / 其他營業外費用,,,,營業外收入及費用 / 營業外費用 / 其他營業外費用 / 其他營業外費用—其他,
7885,存貨盤損,income,unspecified,credit,0,,營業外收入及費用 / 營業外費用 / 其他營業外費用,,,,營業外收入及費用 / 營業外費用 / 其他營業外費用 / 存貨盤損,
7886,存貨跌價及呆滯損失,income,unspecified,credit,0,,營業外收入及費用 / 營業外費用 / 其他營業外費用,,,,營業外收入及費用 / 營業外費用 / 其他營業外費用 / 存貨跌價及呆滯損失,
7882,災害損失,income,unspecified,credit,0,,營業外收入及費用 / 營業外費用 / 其他營業外費用,,,,營業外收入及費用 / 營業外費用 / 其他營業外費用 / 災害損失,
751,利息費用,income,group,credit,1,,營業外收入及費用 / 營業外費用,,,,營業外收入及費用 / 營業外費用 / 利息費用,
