code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1.1.1.02.010,Third Party Checks,asset,cash_bank,debit,0,cash_bank,Active / Current Assets / Banks and savings / Banks,asset_cash,0,,base_cheques_de_terceros,
1.1.1.02.020,Rejected Third Party Checks,asset,current_asset,debit,0,,Active / Current Assets / Banks and savings / Banks,asset_current,0,,base_cheques_de_terceros_rechazados,
1.1.2.01.010,Mutual fund,asset,current_asset,debit,0,,Active / Current Assets / Investments,asset_current,0,,base_fondo_comun_de_inversion,
1.1.2.01.020,Fixed term,asset,current_asset,debit,0,,Active / Current Assets / Investments,asset_current,0,,base_plazo_fijo,
1.1.3.01.010,Sales receivables,asset,receivable,debit,0,receivables,Active / Current Assets / Sales receivables,asset_receivable,1,,base_deudores_por_ventas,
1.1.3.01.020,Sales receivables (PoS),asset,receivable,debit,0,receivables,Active / Current Assets / Sales receivables,asset_receivable,1,,base_deudores_por_ventas_pos,
1.1.4.01.010,Ret/Perception Municipal Tax,asset,current_asset,debit,0,,Active / Current Assets / Tax credits / Municipal Tax Credits,asset_current,0,,base_ret_percepcion_tasa_municipal,
1.1.4.01.020,Balance in favor Municipal Tax,asset,current_asset,debit,0,,Active / Current Assets / Tax credits / Municipal Tax Credits,asset_current,0,,base_saldo_a_favor_tasa_municipal,
1.1.4.02.010,Balance in favor IIBB CABA,asset,current_asset,debit,0,,Active / Current Assets / Tax credits / IIBB Tax Credits,asset_current,0,,base_saldo_favor_iibb_caba,
1.1.4.02.020,IIBB CABA withholding incurred,asset,current_asset,debit,0,,Active / Current Assets / Tax credits / IIBB Tax Credits,asset_current,0,,base_retencion_iibb_caba_sufrida,
1.1.4.02.030,Perception of IIBB CABA incurred,asset,current_asset,debit,0,,Active / Current Assets / Tax credits / IIBB Tax Credits,asset_current,0,,base_percepcion_iibb_caba_sufrida,
1.1.4.02.040,Balance in favor IIBB Buenos Aires,asset,current_asset,debit,0,,Active / Current Assets / Tax credits / IIBB Tax Credits,asset_current,0,,base_saldo_favor_iibb_ba,
1.1.4.02.050,IIBB Buenos Aires withholding tax incurred,asset,current_asset,debit,0,,Active / Current Assets / Tax credits / IIBB Tax Credits,asset_current,0,,base_retencion_iibb_ba_sufrida,
