code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
11110,Bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,au_11110,
11130,Petty Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,au_11130,
11140,Cash Drawer,asset,cash_bank,debit,0,cash_bank,,asset_cash,0,,au_11140,
11180,Undeposited Funds,asset,current_asset,debit,0,,,asset_current,1,,au_11180,
11190,Electronic Clearing,asset,current_asset,debit,0,,,asset_current,1,,au_11190,
11200,Trade Debtors,asset,receivable,debit,0,receivables,,asset_receivable,1,,au_11200,
11201,Trade Debtors (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,au_11201,
11210,Less Prov'n for Doubtful Debts,asset,current_asset,debit,0,,,asset_current,0,,au_11210,
11310,Raw Materials,asset,current_asset,debit,0,,,asset_current,0,,au_11310,
11320,Finished Goods,asset,current_asset,debit,0,,,asset_current,0,,au_11320,
11330,Trading Stock on Hand,asset,current_asset,debit,0,,,asset_current,0,,au_11330,
11340,Goods Shipped not Invoiced,asset,current_asset,debit,0,,,asset_current,0,,au_11340,
11350,Work In Process (Inventory),asset,current_asset,debit,0,,,asset_current,0,,au_11350,
12100,Deposits Paid,asset,prepayment,debit,0,,,asset_prepayments,0,,au_12100,
12200,Prepaid Expenses,asset,current_asset,debit,0,,,asset_current,0,,au_12200,
13110,Manufacturing Plant at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13110,
13120,Manufac. Plant Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13120,
13130,Manufacturing Equipment Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13130,
13140,Manufac. Equip Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13140,
13210,Furniture & Fixtures at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13210,
13220,Furniture & Fixtures Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13220,
13310,Office Equip at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13310,
13320,Office Equip Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13320,
13410,Motor Vehicles at Cost,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13410,
13420,Motor Vehicles Accum Dep,asset,fixed_asset,debit,0,,,asset_fixed,0,,au_13420,
21110,Credit Card,liability,current_liability,credit,0,,,liability_current,0,,au_21110,
21200,Trade Creditors,liability,payable,credit,0,payables,,liability_payable,1,,au_21200,
21210,Goods Received not Billed,liability,current_liability,credit,0,,,liability_current,0,,au_21210,
21300,Wages & Salaries,liability,current_liability,credit,0,,,liability_current,1,,au_21300,
21310,GST Collected,liability,current_liability,credit,0,,,liability_current,0,,au_21310,
21320,BAS Payments,liability,payable,credit,0,payables,,liability_payable,1,,au_21320,
21330,GST Paid,asset,current_asset,debit,0,,,asset_current,0,,au_21330,
21340,Deferred GST Liability,liability,current_liability,credit,0,,,liability_current,0,,au_21340,
21350,Fuel Tax Credits,liability,current_liability,credit,0,,,liability_current,0,,au_21350,
21355,WET Payable,liability,current_liability,credit,0,,,liability_current,0,,au_21355,
21360,Import Duty Payable,liability,current_liability,credit,0,,,liability_current,0,,au_21360,
21365,PAYG Income Tax Liability,liability,current_liability,credit,0,,,liability_current,,,au_21365,
21370,Voluntary Withholdings Payable,liability,current_liability,credit,0,,,liability_current,0,,au_21370,
21380,ABN Withholdings Payable,liability,current_liability,credit,0,,,liability_current,0,,au_21380,
21390,Fringe Benefits Tax Liability,liability,current_liability,credit,0,,,liability_current,0,,au_21390,
21395,Luxury Car Tax Liability,liability,current_liability,credit,0,,,liability_current,0,,au_21395,
21400,Superannuation,liability,current_liability,credit,0,,,liability_current,1,,au_21400,
21410,Payroll Accruals Payable,liability,current_liability,credit,0,,,liability_current,0,,au_21410,
21420,PAYG Withholding Payable,liability,current_liability,credit,0,,,liability_current,0,,au_21420,
21500,Child Support,liability,current_liability,credit,0,,,liability_current,0,,au_21500,
21600,Customer Deposits,liability,current_liability,credit,0,,,liability_current,0,,au_21600,
21700,Other Current Liabilities,liability,current_liability,credit,0,,,liability_current,0,,au_21700,
21760,Unearned Income from System,liability,current_liability,credit,0,,,liability_current,0,,au_21760,
21800,Deductions,liability,current_liability,credit,0,,,liability_current,1,,au_21800,
22100,Mortgages Payable,liability,non_current_liability,credit,0,,,liability_non_current,0,,au_22100,
22200,Notes Payable,liability,non_current_liability,credit,0,,,liability_non_current,0,,au_22200,
22300,Other Long Term Liabilities,liability,non_current_liability,credit,0,,,liability_non_current,0,,au_22300,
31100,Capital Investment,equity,equity,credit,0,,,equity,0,,au_31100,
31200,Capital Drawings,equity,equity,credit,0,,,equity,0,,au_31200,
38000,Retained Earnings,equity,equity,credit,0,,,equity,0,,au_38000,
39000,Current Year Earnings,equity,retained_earnings,credit,0,,,equity_unaffected,0,,au_39000,
39999,Historical Balancing,equity,equity,credit,0,,,equity,0,,au_39999,
41110,Sales Product #1,income,income,credit,0,income,,income,0,,au_41110,default_for_income
41120,Sales Product #2,income,income,credit,0,,,income,0,,au_41120,
41130,Sales Product #3,income,income,credit,0,,,income,0,,au_41130,
42000,Wholesale Sales,income,income,credit,0,,,income,0,,au_42000,
43000,Consignment Sales,income,income,credit,0,,,income,0,,au_43000,
44000,Freight Income,income,income,credit,0,,,income,0,,au_44000,
45000,Late Fees Collected,income,other_income,credit,0,,,income_other,0,,au_45000,
46000,Miscellaneous Income,income,other_income,credit,0,,,income_other,0,,au_46000,
47000,Fuel Tax Credits,income,other_income,credit,0,,,income_other,0,,au_47000,
