code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
100101,Liquidity Transfer,asset,current_asset,debit,0,,Liquidity,asset_current,1,,l10n_bd_100101,
100102,Bank Suspense Account,asset,current_asset,debit,0,,Liquidity,asset_current,1,,l10n_bd_100102,
100103,Outstanding Receipts,asset,current_asset,debit,0,,Liquidity,asset_current,1,,l10n_bd_100103,
100104,Outstanding Payments,asset,current_asset,debit,0,,Liquidity,asset_current,1,,l10n_bd_100104,
100106,Credit cards,asset,current_asset,debit,0,,Liquidity,asset_current,1,,l10n_bd_100106,
100107,Post Dated Cheques Received,asset,current_asset,debit,0,,Liquidity,asset_current,1,,l10n_bd_100107,
100201,Account Receivable,asset,receivable,debit,0,receivables,Receivables,asset_receivable,1,,l10n_bd_100201,
100202,Accounts Receivable (PoS),asset,receivable,debit,0,receivables,Receivables,asset_receivable,1,,l10n_bd_100202,
100203,Other Receivable,asset,current_asset,debit,0,,Receivables,asset_current,0,,l10n_bd_100203,
100301,Deposit - Office Rent,asset,current_asset,debit,0,,Deposits,asset_current,0,,l10n_bd_100301,
100302,Deposits - Customs,asset,current_asset,debit,0,,Deposits,asset_current,0,,l10n_bd_100302,
100303,Deposit to Immigration (Visa),asset,current_asset,debit,0,,Deposits,asset_current,0,,l10n_bd_100303,
100304,Deposit Others,asset,current_asset,debit,0,,Deposits,asset_current,0,,l10n_bd_100304,
100401,Prepaid Medical Insurance,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100401,
100402,Prepaid Life Insurance,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100402,
100403,Prepaid Office Rent,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100403,
100404,Prepaid Other Insurance,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100404,
100405,Prepaid License Fees,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100405,
100406,Prepaid Maintenance,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100406,
100407,Prepaid Employees Housing,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100407,
100408,Prepaid Schooling Fees,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100408,
100409,Prepaid Consultancy Fees,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100409,
100410,Prepaid Legal Fees,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100410,
100411,Prepaid Sponsorship Fees,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100411,
100412,PrePaid Advertisement Expenses,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100412,
100413,Prepaid Bank Guarantee,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100413,
100414,Prepaid Finance charge for Loans,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100414,
100415,Other Prepayments,asset,current_asset,debit,0,,Prepaid Expenses,asset_current,0,,l10n_bd_100415,
100501,Handling Difference in Inventory,asset,current_asset,debit,0,,Inventory,asset_current,0,,l10n_bd_100501,
100502,Inventory Valuation,asset,current_asset,debit,0,,Inventory,asset_current,0,,l10n_bd_100502,
100503,Stock Incoming,asset,current_asset,debit,0,,Inventory,asset_current,0,,l10n_bd_100503,
100504,Stock Outgoing,asset,current_asset,debit,0,,Inventory,asset_current,0,,l10n_bd_100504,
100601,Acc. Depreciation of Motor Vehicles,asset,fixed_asset,debit,0,,Company Assets & Depreciation,asset_fixed,0,,l10n_bd_100601,
100602,Amortisation on Leasehold Improvement,asset,fixed_asset,debit,0,,Company Assets & Depreciation,asset_fixed,0,,l10n_bd_100602,
100603,Leasehold Improvement,asset,fixed_asset,debit,0,,Company Assets & Depreciation,asset_fixed,0,,l10n_bd_100603,
100604,Furniture and Equipment,asset,fixed_asset,debit,0,,Company Assets & Depreciation,asset_fixed,0,,l10n_bd_100604,
100605,Computer Hardware & Software,asset,fixed_asset,debit,0,,Company Assets & Depreciation,asset_fixed,0,,l10n_bd_100605,
100606,Acc.Deprn.of Furniture & Office Equipment,asset,fixed_asset,debit,0,,Company Assets & Depreciation,asset_fixed,0,,l10n_bd_100606,
100607,Acc. Deprn.Computer Hardware & Software,asset,fixed_asset,debit,0,,Company Assets & Depreciation,asset_fixed,0,,l10n_bd_100607,
100701,Registration of Trademarks,asset,current_asset,debit,0,,Licensing and Copyrights,asset_current,0,,l10n_bd_100701,
100801,Right of use Asset (IFRS 16),asset,fixed_asset,debit,0,,IFRS16 Assets & Depreciation,asset_fixed,0,,l10n_bd_100801,
100802,Accumulated Depreciation right use asset (IFRS 16),asset,fixed_asset,debit,0,,IFRS16 Assets & Depreciation,asset_fixed,0,,l10n_bd_100802,
200101,Account Payable,liability,payable,credit,0,payables,Payables,liability_payable,1,,l10n_bd_200101,
200102,Trade Payables,liability,payable,credit,0,payables,Payables,liability_payable,1,,l10n_bd_200102,
200103,Employees Payables,liability,payable,credit,0,payables,Payables,liability_payable,1,,l10n_bd_200103,
200104,Credit Notes to Customers,liability,current_liability,credit,0,,Payables,liability_current,0,,l10n_bd_200104,
200201,Accrued - Salaries,liability,current_liability,credit,0,,Accrued Employee Expenses,liability_current,0,,l10n_bd_200201,
200202,Accrued - Commissions,liability,current_liability,credit,0,,Accrued Employee Expenses,liability_current,0,,l10n_bd_200202,
200203,Accrued-Staff Bonus,liability,current_liability,credit,0,,Accrued Employee Expenses,liability_current,0,,l10n_bd_200203,
200204,Accrued Other Personnel Cost,liability,current_liability,credit,0,,Accrued Employee Expenses,liability_current,0,,l10n_bd_200204,
200205,Accrued - Sponsorship,liability,current_liability,credit,0,,Accrued Employee Expenses,liability_current,0,,l10n_bd_200205,
200301,Accrued - Utilities,liability,current_liability,credit,0,,Accrued Expenses,liability_current,0,,l10n_bd_200301,
200302,Accrued - Telephone,liability,current_liability,credit,0,,Accrued Expenses,liability_current,0,,l10n_bd_200302,
200303,Accrued - Audit Fees,liability,current_liability,credit,0,,Accrued Expenses,liability_current,0,,l10n_bd_200303,
200304,Accrued - Office Rent,liability,current_liability,credit,0,,Accrued Expenses,liability_current,0,,l10n_bd_200304,
200305,Accrued Others,liability,current_liability,credit,0,,Accrued Expenses,liability_current,0,,l10n_bd_200305,
200306,Accrued Bangladesh Customs,liability,current_liability,credit,0,,Accrued Expenses,liability_current,0,,l10n_bd_200306,
200401,Deferred income,liability,current_liability,credit,0,,Deferrals,liability_current,0,,l10n_bd_200401,
200501,Leave Tickets Provision,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,l10n_bd_200501,
200502,Leave Days Provision,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,l10n_bd_200502,
200503,End of Service Provision,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,l10n_bd_200503,
200504,Income Tax Provision,liability,non_current_liability,credit,0,,Provisions,liability_non_current,0,,l10n_bd_200504,
200901,VAT Input,asset,current_asset,debit,0,,VAT,asset_current,0,,l10n_bd_200901,
200902,VAT Output,liability,current_liability,credit,0,,VAT,liability_current,0,,l10n_bd_200902,
200903,VAT Receivable,asset,receivable,debit,0,receivables,VAT,asset_receivable,1,,l10n_bd_200903,
200904,VAT Payable,liability,payable,credit,0,payables,VAT,liability_payable,1,,l10n_bd_200904,
200905,Tax Payable,liability,current_liability,credit,0,,VAT,liability_current,1,,l10n_bd_200905,
200906,Tax Receivable,asset,current_asset,debit,0,,VAT,asset_current,1,,l10n_bd_200906,
300100,Retained Earnings,equity,equity,credit,0,,,equity,0,,l10n_bd_300100,
300200,Undistributed Profits/Losses,equity,retained_earnings,credit,0,,,equity_unaffected,0,,l10n_bd_300200,
400100,Income Clearing Account,income,income,credit,0,income,Operating Income,income,0,,l10n_bd_400100,default_for_income
400101,Sales Account,income,income,credit,0,,Operating Income,income,0,,l10n_bd_400101,
400102,Sales of I/C,income,income,credit,0,,Operating Income,income,0,,l10n_bd_400102,
400103,Sales from Other Region,income,income,credit,0,,Operating Income,income,0,,l10n_bd_400103,
400104,Management Consultancy Fees,income,income,credit,0,,Operating Income,income,0,,l10n_bd_400104,
400105,Advertising Income,income,income,credit,0,,Operating Income,income,0,,l10n_bd_400105,
400201,income_other,income,other_income,credit,0,,Non-Operating Income,income_other,0,,l10n_bd_400201,
400301,Gain On Difference Of Exchange,income,other_income,credit,0,,Other gains & losses - Other Income,income_other,0,,l10n_bd_400301,
400302,Cash Difference Gain,income,other_income,credit,0,,Other gains & losses - Other Income,income_other,0,,l10n_bd_400302,
400303,Excess In Till,income,other_income,credit,0,,Other gains & losses - Other Income,income_other,0,,l10n_bd_400303,
400304,Cash Discount Gain,income,other_income,credit,0,,Other gains & losses - Other Income,income_other,0,,l10n_bd_400304,
500101,Cost of Goods Sold in Trading,expense,direct_cost,debit,0,,Cost of Sales,expense_direct_cost,0,,l10n_bd_500101,
500102,Cost Of Goods Sold I/C Sales,expense,direct_cost,debit,0,,Cost of Sales,expense_direct_cost,0,,l10n_bd_500102,
500200,Expense Clearing Account,expense,expense,debit,0,expense,Employees Expenses,expense,0,,l10n_bd_500200,default_for_expense
500201,Medical Insurance,expense,expense,debit,0,,Employees Expenses,expense,0,,l10n_bd_500201,
500202,End Of Service Indemnity,expense,expense,debit,0,,Employees Expenses,expense,0,,l10n_bd_500202,
500203,Sponsorship Fees,expense,expense,debit,0,,Employees Expenses,expense,0,,l10n_bd_500203,
500301,Basic Salary,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500301,
500302,Housing Allowance,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500302,
500303,Transportation Allowance,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500303,
500304,Leave Ticket,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500304,
500305,Leave Salary,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500305,
500306,Sales Commission,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500306,
500307,Visa Expenses,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500307,
500308,Staff Other Allowances,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500308,
500309,Air tickets,expense,expense,debit,0,,Payroll Expenses,expense,0,,l10n_bd_500309,
500401,Office Rent,expense,expense,debit,0,,Office and Location Expenses,expense,0,,l10n_bd_500401,
500402,Warehouse Rent,expense,expense,debit,0,,Office and Location Expenses,expense,0,,l10n_bd_500402,
500403,Water & Electricity,expense,expense,debit,0,,Office and Location Expenses,expense,0,,l10n_bd_500403,
500404,Other Utility Cahrges,expense,expense,debit,0,,Office and Location Expenses,expense,0,,l10n_bd_500404,
500501,Audit Fees,expense,expense,debit,0,,Company Expenses,expense,0,,l10n_bd_500501,
500502,Legal fees,expense,expense,debit,0,,Company Expenses,expense,0,,l10n_bd_500502,
500503,Trade License Fees,expense,expense,debit,0,,Company Expenses,expense,0,,l10n_bd_500503,
500504,Others - Professional Fees,expense,expense,debit,0,,Company Expenses,expense,0,,l10n_bd_500504,
500505,Insurance,expense,expense,debit,0,,Company Expenses,expense,0,,l10n_bd_500505,
500506,Previous Year Adjustments Account,expense,expense,debit,0,,Company Expenses,expense,0,,l10n_bd_500506,
500601,Credit Card Charges,expense,expense,debit,0,,Finance Expenses,expense,0,,l10n_bd_500601,
500602,Other Bank Charges,expense,expense,debit,0,,Finance Expenses,expense,0,,l10n_bd_500602,
500603,Bank Finance & Loan Charges,expense,expense,debit,0,,Finance Expenses,expense,0,,l10n_bd_500603,
500651,Income Tax Expense,expense,expense,debit,0,,Income Tax,expense,0,,l10n_bd_500651,
500701,Other - Advertising Expenses,expense,expense,debit,0,,Misc. Company Expenses,expense,0,,l10n_bd_500701,
500702,Training,expense,expense,debit,0,,Misc. Company Expenses,expense,0,,l10n_bd_500702,
500703,Consultancy Fees,expense,expense,debit,0,,Misc. Company Expenses,expense,0,,l10n_bd_500703,
500801,Amortisation on Leasehold Improvement,expense,depreciation,debit,0,,Assets Depreciation Expenses,expense_depreciation,0,,l10n_bd_500801,
500802,Vehicle Expenses,expense,depreciation,debit,0,,Assets Depreciation Expenses,expense_depreciation,0,,l10n_bd_500802,
