code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
101,Fixed capital required for registration,equity,equity,credit,0,,Capital accounts / Capital,equity,0,,l10n_bg_101,
102,Fixed capital that does not require registration,equity,equity,credit,0,,Capital accounts / Capital,equity,0,,l10n_bg_102,
103,Liquidation capital in case of insolvency and liquidation,equity,equity,credit,0,,Capital accounts / Capital,equity,0,,l10n_bg_103,
104,Capital of non-profit enterprises,equity,equity,credit,0,,Capital accounts / Capital,equity,0,,l10n_bg_104,
105,Capital premiums,equity,equity,credit,0,,Capital accounts / Capital,equity,0,,l10n_bg_105,
106,Deductions (discount) related to capital,equity,equity,credit,0,,Capital accounts / Capital,equity,0,,l10n_bg_106,
111,General reserves,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_111,
112,Reserves from subsequent valuation of fixed assets,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_112,
113,Reserves from subsequent valuation of current assets,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_113,
114,Reserves from subsequent valuation of financial instruments,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_114,
115,Reserves from share issue,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_115,
116,Reserve related to repurchased own shares,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_116,
117,Reserve according to constitutive act,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_117,
119,Other reserves,equity,equity,credit,0,,Capital accounts / Capital reserves,equity,0,,l10n_bg_119,
121,Uncovered loss from previous years,equity,equity,credit,0,,Capital accounts / Financial results,equity,0,,l10n_bg_121,
122,Retained earnings from previous years,equity,equity,credit,0,,Capital accounts / Financial results,equity,0,,l10n_bg_122,
123,Profit and loss from the current year,equity,retained_earnings,credit,0,,Capital accounts / Financial results,equity_unaffected,0,,l10n_bg_123,
124,Result in bankruptcy and liquidation,equity,equity,credit,0,,Capital accounts / Financial results,equity,0,,l10n_bg_124,
125,Result of the activity of non-profit enterprises,equity,equity,credit,0,,Capital accounts / Financial results,equity,0,,l10n_bg_125,
131,Life insurance reserves,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_131,
132,Transmission-premium reserves,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_132,
133,Reserves for forthcoming payments,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_133,
134,Reserves for reserve fund,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_134,
135,Reinsurance reserves,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_135,
136,Other reserves under insurance contracts,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_136,
137,Reserves of investment companies,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_137,
138,Reserves of pension companies,equity,equity,credit,0,,Capital accounts / Specific non-capital reserves,equity,0,,l10n_bg_138,
141,Banknotes for circulation,equity,equity,credit,0,,Capital accounts / Cash issues,equity,0,,l10n_bg_141,
142,Coins in circulation,equity,equity,credit,0,,Capital accounts / Cash issues,equity,0,,l10n_bg_142,
151,Received short-term loans,liability,current_liability,credit,0,,Capital accounts / Loans received,liability_current,0,,l10n_bg_151,
152,Long-term loans received,liability,current_liability,credit,0,,Capital accounts / Loans received,liability_current,0,,l10n_bg_152,
153,Debt instruments,liability,current_liability,credit,0,,Capital accounts / Loans received,liability_current,0,,l10n_bg_153,
159,Other loans and debts,liability,current_liability,credit,0,,Capital accounts / Loans received,liability_current,0,,l10n_bg_159,
201,Lands (terrains),asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_201,
202,Land improvements,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_202,
203,Buildings and structures,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_203,
204,Computer equipment,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_204,
205,Facilities,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_205,
206,Machinery and equipment,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_206,
207,Vehicles,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_207,
208,Office furniture,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_208,
209,Other tangible fixed assets,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_209,
211,Development products,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_211,
212,Software products,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_212,
213,Intellectual property rights,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_213,
214,Industrial property rights,asset,fixed_asset,debit,0,,Accounts for fixed assets / Tangible fixed assets,asset_fixed,0,,l10n_bg_214,
