code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1112,Petty Cash,asset,cash_bank,debit,0,cash_bank,Activos / Activos Corrientes / Efectivo y Equivalentes de Efectivo,asset_cash,0,,l10n_bo_1112,
1114,Temporary Investments,asset,cash_bank,debit,0,cash_bank,Activos / Activos Corrientes / Efectivo y Equivalentes de Efectivo,asset_cash,0,,l10n_bo_1114,
1121,Commercial Accounts Receivable,asset,receivable,debit,0,receivables,Activos / Activos Corrientes / Cuentas por Cobrar,asset_receivable,1,,l10n_bo_1121,
11211,Commercial Accounts Receivable - PoS,asset,receivable,debit,0,receivables,Activos / Activos Corrientes / Cuentas por Cobrar,asset_receivable,1,,l10n_bo_11211,
1122,Other Accounts Receivable,asset,receivable,debit,0,receivables,Activos / Activos Corrientes / Cuentas por Cobrar,asset_receivable,1,,l10n_bo_1122,
1123,Accounts Receivable from Related Companies,asset,receivable,debit,0,receivables,Activos / Activos Corrientes / Cuentas por Cobrar,asset_receivable,1,,l10n_bo_1123,
1124,Advances to Suppliers,asset,prepayment,debit,0,,Activos / Activos Corrientes / Cuentas por Cobrar,asset_prepayments,0,,l10n_bo_1124,
1125,Provision for Bad Accounts,asset,receivable,debit,0,receivables,Activos / Activos Corrientes / Cuentas por Cobrar,asset_receivable,1,,l10n_bo_1125,
1131,Inventory - Finished Products,asset,current_asset,debit,0,,Activos / Activos Corrientes / Inventarios,asset_current,0,,l10n_bo_1131,
1132,Inventory - Work in Process,asset,current_asset,debit,0,,Activos / Activos Corrientes / Inventarios,asset_current,0,,l10n_bo_1132,
1133,Inventory - Raw Materials,asset,current_asset,debit,0,,Activos / Activos Corrientes / Inventarios,asset_current,0,,l10n_bo_1133,
11341,Stock Interim (Received),asset,current_asset,debit,0,,Activos / Activos Corrientes / Inventarios,asset_current,0,,l10n_bo_11341,
11342,Stock Interim (Delivered),asset,current_asset,debit,0,,Activos / Activos Corrientes / Inventarios,asset_current,0,,l10n_bo_11342,
1135,Inventory - Provision for Obsolescence,asset,current_asset,debit,0,,Activos / Activos Corrientes / Inventarios,asset_current,0,,l10n_bo_1135,
1141,IVA Tax Credit,asset,current_asset,debit,0,,Activos / Activos Corrientes / Other Current Assets,asset_current,0,,l10n_bo_1141,
1142,Taxes to Recover,asset,receivable,debit,0,receivables,Activos / Activos Corrientes / Other Current Assets,asset_receivable,1,,l10n_bo_1142,
1143,Advance Payments,asset,current_asset,debit,0,,Activos / Activos Corrientes / Other Current Assets,asset_current,0,,l10n_bo_1143,
1144,Other Current Assets,asset,current_asset,debit,0,,Activos / Activos Corrientes / Other Current Assets,asset_current,0,,l10n_bo_1144,
1211,Commercial Accounts Receivable - Long Term,asset,receivable,debit,0,receivables,Activos / Activos no Corrientes / Cuentas por Cobrar a Largo Plazo,asset_receivable,1,,l10n_bo_1211,
1212,Other Accounts Receivable - Long Term,asset,receivable,debit,0,receivables,Activos / Activos no Corrientes / Cuentas por Cobrar a Largo Plazo,asset_receivable,1,,l10n_bo_1212,
1213,Long-Term Accounts Receivable from Related and/or Linked Companies,asset,receivable,debit,0,receivables,Activos / Activos no Corrientes / Cuentas por Cobrar a Largo Plazo,asset_receivable,1,,l10n_bo_1213,
1221,Inventory - Spare Parts,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Inventarios no Corrientes,asset_non_current,1,,l10n_bo_1221,
1222,Other Inventory,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Inventarios no Corrientes,asset_non_current,1,,l10n_bo_1222,
1231,Land,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_1231,
1232,Buildings,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_1232,
12321,Accumulated Depreciation Buildings,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_12321,
1233,Machinery,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_1233,
12331,Accumulated Depreciation Machinery,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_12331,
1234,Vehicles,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_1234,
12341,Accumulated Depreciation Vehicles,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_12341,
1235,Furniture and Fixtures,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_1235,
12351,Accumulated Depreciation Furniture and Fixtures,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_12351,
1236,Computer Equipment,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_1236,
12361,Accumulated Depreciation Computer Equipment,asset,fixed_asset,debit,0,,Activos / Activos no Corrientes / Propriedad Planta y Equipo,asset_fixed,0,,l10n_bo_12361,
124,Investment Properties,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Investment Properties,asset_non_current,0,,l10n_bo_124,
1251,Patents and Trademarks,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Activos Intangibles,asset_non_current,0,,l10n_bo_1251,
12511,Accumulated Amortization Patents and Trademarks,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Activos Intangibles,asset_non_current,0,,l10n_bo_12511,
1252,Rights of Use,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Activos Intangibles,asset_non_current,0,,l10n_bo_1252,
12521,Accumulated Amortization Rights of Use,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Activos Intangibles,asset_non_current,0,,l10n_bo_12521,
126,Permanent Investments,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Permanent Investments,asset_non_current,0,,l10n_bo_126,
127,Other Non-Current Assets,asset,non_current_asset,debit,0,,Activos / Activos no Corrientes / Otros Activos no Corrientes,asset_non_current,0,,l10n_bo_127,
2111,Bank loans,liability,current_liability,credit,0,,Pasivos / Pasivos Corrientes / Obligaciones Bancarias y Financieras,liability_current,0,,l10n_bo_2111,
2112,Other Financial Liabilities,liability,current_liability,credit,0,,Pasivos / Pasivos Corrientes / Obligaciones Bancarias y Financieras,liability_current,0,,l10n_bo_2112,
2113,Interest Payable,liability,current_liability,credit,0,,Pasivos / Pasivos Corrientes / Obligaciones Bancarias y Financieras,liability_current,0,,l10n_bo_2113,
